env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
5400,,,50,-61.3242,93.3314,,,,,,,
5450,,,50,-62.0086,93.365,,,,,,,
5500,,,,,,103.1733,219.2465,5005.8955,103.1733,0.075,1.4056,0.5937
5500,,,50,-60.8984,93.292,,,,,,,
5550,,,50,-59.6949,93.7442,,,,,,,
5600,,,50,-51.1104,99.8345,,,,,,,
5650,,,50,-69.1561,99.8038,,,,,,,
5700,,,50,-58.0929,99.8124,,,,,,,
5750,,,50,-55.5219,100.148,,,,,,,
5800,,,50,-65.0932,98.1147,,,,,,,
5850,,,50,-70.7277,99.842,,,,,,,
5900,,,50,-49.2431,99.7694,,,,,,,
5950,,,50,-58.6622,99.9109,,,,,,,
6000,,,,,,102.2517,217.8128,6993.8022,102.2517,0.0649,1.3133,0.8444
6000,,,50,-63.875,99.6209,,,,,,,
6050,,,50,-61.0998,99.877,,,,,,,
6100,,,50,-60.0717,99.7593,,,,,,,
6150,,,50,-56.5087,100.0569,,,,,,,
6200,,,50,-52.9321,99.7901,,,,,,,
6250,,,50,-57.3598,99.8283,,,,,,,
6300,,,50,-46.4554,99.7826,,,,,,,
6350,,,50,-66.3593,99.7402,,,,,,,
6400,,,50,-59.3973,98.3664,,,,,,,
6450,,,50,-54.2975,93.2606,,,,,,,
6500,,,,,,110.0691,233.666,8987.2969,110.0691,0.0892,4.4498,0.4819
6500,,,50,-57.5645,93.3357,,,,,,,
6550,,,50,-58.1868,93.2834,,,,,,,
6600,,,50,-62.9935,93.7999,,,,,,,
6650,,,50,-58.0736,94.8877,,,,,,,
6700,,,50,-58.3578,99.6128,,,,,,,
6750,,,50,-67.0098,99.9669,,,,,,,
6800,,,50,-59.5609,93.8988,,,,,,,
6850,,,50,-61.9769,93.5594,,,,,,,
6900,,,50,-57.5513,95.6326,,,,,,,
6950,,,50,-53.4967,99.6692,,,,,,,
7000,,,,,,69.7482,153.3302,4416.0781,69.7482,0.043,1.1121,0.5659
7000,,,50,-61.3944,99.5895,,,,,,,
7050,,,50,-61.6217,99.8379,,,,,,,
7100,,,50,-60.9986,99.7083,,,,,,,
7150,,,50,-62.7531,99.9461,,,,,,,
7200,,,50,-60.6292,100.0205,,,,,,,
7250,,,50,-52.4643,96.0743,,,,,,,
7300,,,50,-54.7791,93.5427,,,,,,,
7350,,,50,-47.4396,93.2276,,,,,,,
7400,,,50,-58.3578,92.6271,,,,,,,
7450,,,50,-50.5096,97.0697,,,,,,,
7500,,,,,,114.377,242.8437,8020.9478,114.377,0.059,1.4019,0.6548
7500,,,50,-52.7032,99.0853,,,,,,,
7550,,,50,-56.3061,98.1303,,,,,,,
7600,,,50,-64.359,99.6069,,,,,,,
7650,,,50,-61.2142,99.7063,,,,,,,
7700,,,50,-64.7361,99.8607,,,,,,,
7750,,,50,-58.4603,99.7045,,,,,,,
7800,,,50,-63.6194,92.7811,,,,,,,
7850,,,50,-54.4024,93.3717,,,,,,,
7900,,,50,-55.8065,92.4765,,,,,,,
7950,,,50,-50.384,93.6604,,,,,,,
8000,,,,,,83.8986,182.2135,4288.457,83.8986,0.0523,1.0811,0.8563
8000,,,50,-56.7524,93.9603,,,,,,,
8050,,,50,-58.3831,93.137,,,,,,,
8100,,,50,-54.2569,93.2514,,,,,,,
8150,,,50,-57.4533,93.2822,,,,,,,
8200,,,50,-60.1326,93.5062,,,,,,,
8250,,,50,-63.5437,92.7102,,,,,,,
8300,,,50,-52.8094,93.7489,,,,,,,
8350,,,50,-62.8001,93.1722,,,,,,,
8400,,,50,-50.5621,93.554,,,,,,,
8450,,,50,-59.3698,93.7558,,,,,,,
8500,,,,,,128.1721,271.073,8069.8354,128.1721,0.0696,2.2946,0.7171
8500,,,50,-51.0244,93.4683,,,,,,,
8550,,,50,-51.4913,93.6243,,,,,,,
8600,,,50,-61.5108,93.1498,,,,,,,
8650,,,50,-61.5131,93.6466,,,,,,,
8700,,,50,-52.0073,93.5691,,,,,,,
8750,,,50,-61.247,93.7447,,,,,,,
8800,,,50,-53.6388,93.4607,,,,,,,
8850,,,50,-47.0306,93.4481,,,,,,,
8900,,,50,-57.8711,93.4339,,,,,,,
8950,,,50,-59.0119,92.588,,,,,,,
9000,,,,,,101.5483,218.0748,7259.7012,101.5483,0.0631,1.7812,1.0807
9000,,,50,-62.5442,93.8767,,,,,,,
9050,,,50,-56.494,93.7827,,,,,,,
9100,,,50,-52.1285,93.5779,,,,,,,
9150,,,50,-62.4314,93.0853,,,,,,,
9200,,,50,-50.7096,88.7913,,,,,,,
9250,,,50,-57.4423,93.5832,,,,,,,
9300,,,50,-56.3867,93.1624,,,,,,,
9350,,,50,-61.0937,93.6025,,,,,,,
9400,,,50,-59.5657,93.6053,,,,,,,
9450,,,50,-55.4077,93.7609,,,,,,,
9500,,,,,,89.5471,194.2691,5758.1797,89.5471,0.0693,1.7251,0.967
9500,,,50,-55.175,93.5439,,,,,,,
9550,,,50,-58.0014,93.8266,,,,,,,
9600,,,50,-60.5753,93.6981,,,,,,,
9650,,,50,-54.6065,95.5772,,,,,,,
9700,,,50,-63.4474,99.807,,,,,,,
9750,,,50,-56.8148,99.7138,,,,,,,
9800,,,50,-61.332,95.6945,,,,,,,
9850,,,50,-53.8007,92.332,,,,,,,
9900,,,50,-51.9132,93.5707,,,,,,,
9950,,,50,-54.9831,94.4831,,,,,,,
10000,,,,,,119.5943,254.7133,7551.1343,119.5943,0.0815,3.2072,1.0386
10000,-5.8833,50.0,,,,,,,,,,
10000,,,50,-52.7229,82.1328,,,,,,,
10050,,,50,-54.2016,99.7851,,,,,,,
10100,,,50,-54.8196,99.8156,,,,,,,
10150,,,50,-53.3292,99.7285,,,,,,,
10200,,,50,-64.0118,99.8057,,,,,,,
10250,,,50,-48.2209,94.432,,,,,,,
10300,,,50,-61.5255,93.3866,,,,,,,
10350,,,50,-49.6425,93.6889,,,,,,,
10400,,,50,-50.8492,93.5949,,,,,,,
10450,,,50,-57.7685,93.7427,,,,,,,
10500,,,,,,123.3267,262.3204,4214.3804,123.3267,0.0846,1.7808,0.6694
10500,,,50,-57.6326,93.4578,,,,,,,
10550,,,50,-59.0305,93.6875,,,,,,,
10600,,,50,-58.0627,93.0205,,,,,,,
10650,,,50,-51.3411,93.5268,,,,,,,
10700,,,50,-54.1637,93.1199,,,,,,,
10750,,,50,-52.842,93.5906,,,,,,,
10800,,,50,-58.8018,93.4369,,,,,,,
10850,,,50,-57.2457,93.1792,,,,,,,
10900,,,50,-56.6653,92.8773,,,,,,,
10950,,,50,-50.0772,93.7076,,,,,,,
11000,,,,,,127.739,271.487,6648.8535,127.739,0.1115,1.7968,1.1273
11000,,,50,-63.0124,93.3958,,,,,,,
11050,,,50,-57.4872,93.4736,,,,,,,
11100,,,50,-55.8502,93.6367,,,,,,,
11150,,,50,-57.4083,93.2957,,,,,,,
11200,,,50,-56.5765,93.3558,,,,,,,
11250,,,50,-52.798,93.4549,,,,,,,
11300,,,50,-57.6821,93.3642,,,,,,,
11350,,,50,-53.1296,93.4629,,,,,,,
11400,,,50,-52.2017,93.4908,,,,,,,
11450,,,50,-47.8186,93.216,,,,,,,
11500,,,,,,67.4917,151.1727,5329.1714,67.4917,0.0719,1.9577,0.828
11500,,,50,-54.2714,93.2945,,,,,,,
11550,,,50,-46.8339,93.3954,,,,,,,
11600,,,50,-54.6871,93.1813,,,,,,,
11650,,,50,-53.8462,93.6283,,,,,,,
11700,,,50,-53.6342,93.7112,,,,,,,
11750,,,50,-52.3938,93.5059,,,,,,,
11800,,,50,-58.716,93.2825,,,,,,,
11850,,,50,-57.4711,93.2823,,,,,,,
11900,,,50,-50.6214,93.1284,,,,,,,
