env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
23000,,,1.3623,0.7389,0.1417,-46.7944,4.0176,0.3334,2.1748,15.0815,1.0881,,,
23000,,,,,,,,,,,,1000,485.6871,101.0581
23500,,,1.3657,0.736,0.1427,-47.5631,4.1455,0.3423,2.125,8.2397,0.8088,,,
24000,,,1.3677,0.7409,0.1426,-49.1859,4.7577,0.3505,2.034,21.2411,1.4719,,,
24000,,,,,,,,,,,,1000,597.3671,100.244
24500,,,1.3853,0.7344,0.1459,-52.0133,7.4957,0.3628,2.2417,10.1024,1.1078,,,
25000,,,1.3779,0.7403,0.1442,-51.8922,5.5028,0.3431,2.1187,24.4562,1.2202,,,
25000,1858.4772,1000.0,,,,,,,,,,,,
25000,,,,,,,,,,,,1000,479.2991,83.9066
25500,,,1.4176,0.7495,0.1495,-55.0378,4.4072,0.378,2.6797,17.37,1.2858,,,
26000,,,1.4136,0.7436,0.1481,-58.1923,4.5864,0.3851,2.5307,17.3759,1.2419,,,
26000,,,,,,,,,,,,1000,1200.5032,99.9676
26500,,,1.4282,0.7484,0.15,-59.9549,4.7915,0.3981,2.2171,10.6009,1.8599,,,
27000,,,1.4443,0.75,0.1532,-61.9141,4.8183,0.4098,2.7075,35.0183,1.7148,,,
27000,,,,,,,,,,,,1000,1025.8375,99.6658
27500,,,1.4443,0.7494,0.1523,-64.6778,5.3359,0.4089,2.9302,18.9891,2.0115,,,
28000,,,1.4718,0.7495,0.1567,-66.7362,5.3258,0.4504,3.019,17.7166,1.2976,,,
28000,,,,,,,,,,,,1000,317.9741,99.7027
28500,,,1.432,0.7429,0.1508,-64.9151,5.5776,0.4187,2.6282,17.9275,1.8685,,,
29000,,,1.4902,0.751,0.1594,-71.0634,4.8376,0.475,2.9893,31.046,1.2624,,,
29000,,,,,,,,,,,,1000,1355.7573,99.3393
29500,,,1.4848,0.7492,0.158,-72.4215,6.3599,0.4711,3.7485,14.2468,1.7639,,,
30000,,,1.4972,0.7539,0.1598,-75.2883,6.4147,0.4609,3.2763,22.3829,2.4627,,,
30000,2137.7484,1000.0,,,,,,,,,,,,
30000,,,,,,,,,,,,1000,895.9236,81.605
30500,,,1.4677,0.7512,0.1553,-73.3937,5.2775,0.4505,3.0323,16.546,1.4677,,,
31000,,,1.489,0.763,0.1586,-77.7735,5.1251,0.4544,3.0244,24.6598,1.2084,,,
31000,,,,,,,,,,,,1000,512.6459,99.44
31500,,,1.5175,0.7619,0.1618,-81.7136,5.5621,0.4913,3.4424,17.4012,1.3748,,,
32000,,,1.4826,0.7615,0.1585,-84.7576,5.0613,0.4339,2.7291,34.065,1.6905,,,
32000,,,,,,,,,,,,1000,1367.1606,102.2691
32500,,,1.5324,0.7688,0.1631,-84.2076,6.8042,0.4928,2.7031,19.5818,2.2908,,,
33000,,,1.5315,0.7666,0.1635,-86.9624,5.4257,0.5117,2.9722,15.0053,1.2828,,,
33000,,,,,,,,,,,,1000,435.3219,103.0123
33500,,,1.5138,0.7667,0.161,-88.7669,7.3245,0.4897,3.0815,26.478,1.7938,,,
34000,,,1.5252,0.7637,0.1632,-92.1068,6.3043,0.4864,2.8646,14.1082,1.1682,,,
34000,,,,,,,,,,,,1000,1530.0336,100.2819
34500,,,1.5112,0.7685,0.1614,-91.5825,5.3854,0.4747,4.414,30.5772,1.7028,,,
35000,,,1.468,0.7616,0.1552,-89.8485,7.0448,0.4447,2.8782,26.8997,1.7701,,,
35000,2488.2088,1000.0,,,,,,,,,,,,
