env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
22500,,,1.0134,0.728,0.0973,-34.066,5.2712,0.2513,2.0386,11.2924,0.9794,,,
23000,,,0.9916,0.7183,0.0957,-34.5245,6.0419,0.2406,2.5333,23.3004,1.8256,,,
23000,,,,,,,,,,,,1000,67.0016,93.0492
23500,,,1.0429,0.7201,0.101,-36.2143,5.9308,0.2922,2.3357,24.8029,2.0078,,,
24000,,,1.0373,0.7405,0.1001,-38.8147,5.5552,0.2702,2.3592,14.9278,1.4483,,,
24000,,,,,,,,,,,,1000,215.0403,93.133
24500,,,1.0441,0.7251,0.1015,-38.894,6.6445,0.2929,3.0499,16.211,1.8578,,,
25000,,,1.0149,0.7269,0.0994,-39.251,5.1341,0.2596,2.3036,11.9389,1.0666,,,
25000,1240.7843,1000.0,,,,,,,,,,,,
25000,,,,,,,,,,,,1000,388.8423,77.8204
25500,,,1.0665,0.7291,0.1047,-42.7238,6.1695,0.3118,2.3766,21.3645,1.5012,,,
26000,,,1.0302,0.7187,0.1012,-41.747,6.6364,0.2838,2.5273,21.6435,1.3117,,,
26000,,,,,,,,,,,,1000,314.0742,93.9636
26500,,,1.0676,0.7342,0.1054,-44.3867,6.7812,0.3069,2.3306,20.8097,1.6037,,,
27000,,,1.0539,0.7333,0.1038,-43.7782,6.1484,0.299,3.3185,21.4156,1.3838,,,
27000,,,,,,,,,,,,1000,137.1893,94.7084
27500,,,1.0455,0.7331,0.1026,-46.1325,6.6211,0.2918,2.7486,14.5362,1.9532,,,
28000,,,1.0515,0.7357,0.1031,-46.2419,6.1326,0.2937,3.3276,35.1146,1.0044,,,
28000,,,,,,,,,,,,1000,308.4425,93.1172
28500,,,1.0471,0.7326,0.1023,-48.8229,5.8576,0.2913,2.8946,18.2228,1.7116,,,
29000,,,1.0273,0.7322,0.1024,-47.94,5.6317,0.2701,2.5812,9.6336,1.3536,,,
29000,,,,,,,,,,,,1000,359.9514,94.7998
29500,,,1.081,0.7459,0.1074,-54.1889,6.8609,0.3171,3.2888,25.1081,1.4667,,,
30000,,,1.0553,0.7375,0.1044,-51.9303,7.111,0.3005,2.5376,21.1991,1.6215,,,
30000,1771.0316,1000.0,,,,,,,,,,,,
30000,,,,,,,,,,,,1000,498.7778,77.0165
30500,,,1.0363,0.7354,0.1005,-52.6994,5.9009,0.2828,3.377,29.3824,1.9032,,,
31000,,,1.058,0.736,0.1041,-56.6017,6.3722,0.2967,2.8304,17.2298,1.4314,,,
31000,,,,,,,,,,,,1000,953.452,92.9192
31500,,,1.091,0.739,0.108,-57.4052,8.2832,0.3361,2.9626,36.2337,1.7853,,,
32000,,,1.0717,0.7414,0.1061,-56.6042,6.5431,0.3137,2.2985,12.0749,1.8146,,,
32000,,,,,,,,,,,,1000,384.0566,92.5372
32500,,,1.06,0.7324,0.1058,-61.3691,7.1632,0.3098,3.3291,17.5148,1.9756,,,
33000,,,1.0604,0.7394,0.1055,-59.5215,6.1439,0.3127,3.0028,24.4138,1.2383,,,
33000,,,,,,,,,,,,1000,749.9245,92.5667
33500,,,1.0893,0.7431,0.108,-61.7477,6.6028,0.3377,3.7218,30.4704,1.261,,,
34000,,,1.0837,0.7387,0.1059,-65.226,7.1595,0.3208,3.8895,19.4777,1.7962,,,
34000,,,,,,,,,,,,1000,1054.1196,93.2364
34500,,,1.0611,0.7452,0.1042,-65.7493,7.3696,0.3016,2.6906,15.4457,2.2338,,,
