env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
20500,,,0.4491,0.7645,0.1724,-95.492,6.0183,0.084,-0.3309,2.0487,88.6454,2.2289,,,
21000,,,0.4457,0.7623,0.1571,-97.6653,5.7421,0.0903,-0.3055,2.2068,90.139,1.8376,,,
21000,,,,,,,,,,,,,1000,-45.1238,82.1887
21500,,,0.4461,0.7537,0.1612,-96.0014,5.0632,0.0893,-0.3172,2.6261,71.4975,1.385,,,
22000,,,0.4537,0.7639,0.1598,-96.9997,4.72,0.0938,-0.3115,2.486,52.0516,1.1443,,,
22000,,,,,,,,,,,,,1000,-8.2037,83.1697
22500,,,0.4406,0.7694,0.1604,-97.0529,6.856,0.0868,-0.3254,2.0697,55.3583,1.8346,,,
23000,,,0.4569,0.7731,0.1758,-97.9918,6.3427,0.0868,-0.3487,2.3157,65.0403,1.9908,,,
23000,,,,,,,,,,,,,1000,1296.0464,81.6525
23500,,,0.4526,0.7697,0.1682,-101.8651,6.1521,0.0889,-0.3341,3.999,57.2883,1.852,,,
24000,,,0.4449,0.7594,0.1642,-101.4205,8.198,0.0867,-0.3293,2.5614,67.4089,2.5815,,,
24000,,,,,,,,,,,,,1000,17.5676,83.3279
24500,,,0.4556,0.7633,0.1721,-102.3617,5.9655,0.0881,-0.3381,2.9042,48.5298,1.5175,,,
25000,,,0.4614,0.7625,0.1611,-101.9525,5.6866,0.0985,-0.3183,3.3862,90.746,1.5008,,,
25000,2449.5965,1000.0,,,,,,,,,,,,,
25000,,,,,,,,,,,,,1000,501.7151,72.2795
25500,,,0.4638,0.7678,0.1687,-101.4673,7.045,0.0959,-0.3236,2.6059,75.3415,3.8318,,,
26000,,,0.4498,0.7791,0.1672,-104.3012,5.5547,0.0885,-0.3324,2.0671,78.9223,2.0228,,,
26000,,,,,,,,,,,,,1000,1230.1141,81.4389
26500,,,0.4567,0.771,0.1802,-110.771,4.7038,0.0846,-0.3432,2.6753,111.8835,1.9228,,,
27000,,,0.453,0.7702,0.1797,-106.9565,5.1843,0.083,-0.3534,2.0195,72.9188,2.1666,,,
27000,,,,,,,,,,,,,1000,1261.4119,84.4332
27500,,,0.4502,0.7723,0.1593,-109.4143,4.7807,0.093,-0.3106,2.2319,72.0435,1.5006,,,
28000,,,0.4489,0.7719,0.1636,-114.6701,6.0155,0.0896,-0.3246,2.5887,107.0602,1.8938,,,
28000,,,,,,,,,,,,,1000,1601.7129,83.9268
