env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,fkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm
0,841.0466,1000.0,,,,,,,,,,,,,,,
16,,,16,-21.2413,10.8706,,,,,,,,,,,,
53,,,37,-69.0255,25.7498,,,,,,,,,,,,
123,,,70,-127.9325,33.1083,,,,,,,,,,,,
500,,,,,,50,50,26,28.5518,73.4322,30.3221,-41.623,75.12,38.4134,0.6266,1.2138,0.1174
1000,,,,,,50,50,25,43.4569,84.2959,41.9223,-42.7939,86.6005,30.7928,1.0914,2.6692,0.1881
1123,,,1000,-1559.8845,37.863,,,,,,,,,,,,
1164,,,41,-66.8809,38.473,,,,,,,,,,,,
1258,,,94,-53.0801,38.0222,,,,,,,,,,,,
1367,,,109,-234.3771,38.4155,,,,,,,,,,,,
1455,,,88,-100.4032,38.3793,,,,,,,,,,,,
1500,,,,,,50,50,26,44.8742,84.3901,39.7219,-43.7494,86.9845,53.2086,1.5603,7.3555,0.4473
1532,,,77,-129.5676,37.8254,,,,,,,,,,,,
2000,,,,,,50,50,26,51.7554,83.4073,39.6466,-43.9917,86.4066,47.5633,1.5197,12.8882,0.6492
2500,,,,,,50,50,28,50.4429,83.5645,38.6319,-44.125,86.4917,63.6527,1.7037,18.0069,0.8081
2532,,,1000,-1309.6529,38.2426,,,,,,,,,,,,
3000,,,,,,50,50,28,52.8221,85.7114,40.4971,-44.1565,88.4136,74.1518,1.7613,32.8238,1.0039
3500,,,,,,50,50,28,52.2224,84.9778,41.0501,-44.1653,87.6772,74.7925,1.8184,29.5451,1.3247
3532,,,1000,-1243.7365,34.7395,,,,,,,,,,,,
3664,,,132,-173.2216,39.4669,,,,,,,,,,,,
3697,,,33,-38.7563,39.3804,,,,,,,,,,,,
4000,,,,,,50,50,28,51.9766,88.3238,44.3652,-44.1745,90.6794,86.1097,1.4999,28.5102,1.503
4500,,,,,,50,50,28,52.7905,91.5693,45.5737,-44.1787,92.9547,73.7782,1.4483,41.2921,1.0723
