env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-74.1996,693.1,,,,,,,,,,,,,,,,,,
61,,,61,-105.7295,14.4646,,,,,,,,,,,,,,,
130,,,69,-117.8665,15.3643,,,,,,,,,,,,,,,
178,,,48,-117.3518,15.1481,,,,,,,,,,,,,,,
317,,,139,-123.5313,14.8291,,,,,,,,,,,,,,,
443,,,126,-115.5421,14.3116,,,,,,,,,,,,,,,
492,,,49,-120.3037,13.9577,,,,,,,,,,,,,,,
500,,,,,,50,2,1,688.0523,0.7936,0.0122,4.2656,0.4388,2.713,1.9403,0.8413,-3.6054,6.9017,16.5944,0.0464
559,,,67,-116.725,14.0291,,,,,,,,,,,,,,,
633,,,74,-120.8918,15.5414,,,,,,,,,,,,,,,
719,,,86,-118.5218,14.9254,,,,,,,,,,,,,,,
829,,,110,-124.0079,14.6823,,,,,,,,,,,,,,,
876,,,47,-116.341,14.5644,,,,,,,,,,,,,,,
924,,,48,-116.5376,14.8834,,,,,,,,,,,,,,,
966,,,42,-115.0153,15.078,,,,,,,,,,,,,,,
1000,,,,,,31,2,1,1329.1421,1.6856,0.4065,8.0065,1.2071,37.9501,15.043,35.6239,-8.2778,3.6327,11.3376,0.0
1010,,,44,-114.8553,14.3199,,,,,,,,,,,,,,,
1060,,,50,-117.2937,13.4996,,,,,,,,,,,,,,,
1126,,,66,-116.7516,15.0403,,,,,,,,,,,,,,,
1227,,,101,-116.3362,16.0004,,,,,,,,,,,,,,,
1296,,,69,-113.1174,14.0583,,,,,,,,,,,,,,,
1387,,,91,-117.1272,13.8987,,,,,,,,,,,,,,,
1463,,,76,-112.6895,14.6019,,,,,,,,,,,,,,,
1500,,,,,,7,2,1,2145.7332,1.96,1.5716,8.3029,2.4019,103.4271,82.3512,100.6212,-8.497,19.6521,10.8776,0.0
1550,,,87,-116.2707,15.0118,,,,,,,,,,,,,,,
1664,,,114,-116.656,13.7239,,,,,,,,,,,,,,,
1750,,,86,-115.8864,14.2408,,,,,,,,,,,,,,,
1855,,,105,-112.9955,14.5731,,,,,,,,,,,,,,,
1959,,,104,-114.9268,15.097,,,,,,,,,,,,,,,
2000,,,,,,4,3,1,2550.6562,1.5738,1.1815,7.368,1.9183,83.5245,58.8403,80.2725,-7.8868,38.3694,138.4405,0.1083
2500,,,,,,5,3,1,2817.3708,1.902,1.5701,7.88,2.3581,106.4514,106.1616,102.6244,-7.9431,37.8864,260.2251,0.0201
3000,,,,,,5,3,1,2782.4097,0.997,1.5717,5.3218,2.1038,137.9573,27.8004,133.4079,-5.8642,1.7199,131.4975,0.0
3500,,,,,,5,3,1,2802.0928,0.8597,1.1803,4.5446,1.6347,82.9757,58.3112,77.5467,-4.4284,18.847,638.377,0.0
3559,,,1600,-118.4292,14.8255,,,,,,,,,,,,,,,
4000,,,,,,6,3,1,2782.4724,1.2321,1.5684,5.7978,2.1481,116.9436,25.3073,110.7804,-5.9223,1.2283,199.4088,0.0412
4500,,,,,,6,2,1,2768.1343,0.8822,0.4032,3.0664,0.7098,29.7478,31.4635,24.6227,-3.2937,3.3623,281.899,0.0035
5000,,,,,,7,2,1,2753.1787,0.5089,0.4052,2.638,0.669,51.3051,30.5592,43.8323,-2.8255,2.61,423.3272,0.0
5000,-178.594,1600.0,,,,,,,,,,,,,,,,,,
5159,,,1600,-126.1537,14.2001,,,,,,,,,,,,,,,
5500,,,,,,7,2,1,2837.8748,1.2265,0.7912,5.6756,1.3588,54.8852,50.9589,44.2314,-5.9275,7.4241,2966.4536,0.0
6000,,,,,,6,2,1,2853.3396,0.5413,0.402,2.4597,0.6479,26.6632,16.3315,15.1441,-2.7607,2.6872,899.8549,0.0
6500,,,,,,6,2,1,2768.4055,0.4915,0.404,1.811,0.5851,28.2791,11.5464,15.5383,-2.3945,5.7071,1841.0602,0.0011
6759,,,1600,-130.6925,14.8147,,,,,,,,,,,,,,,
7000,,,,,,6,2,1,2750.8384,0.9727,0.4015,3.949,0.7964,47.6349,21.7756,34.4672,-4.2345,2.8367,410.7767,0.0
7500,,,,,,6,2,1,2776.2747,0.6239,0.7867,1.7297,0.9596,70.0817,34.3817,55.4149,-1.9981,1.0931,447.0304,0.0
8000,,,,,,6,2,1,2761.4258,0.5357,0.0134,1.8669,0.2001,21.6111,44.2131,4.5915,-2.1063,0.9456,118.5875,0.0
8359,,,1600,-128.8157,15.2124,,,,,,,,,,,,,,,
8500,,,,,,8,2,1,2825.0696,0.6058,0.4015,3.2937,0.7309,45.3834,64.1701,26.2357,-3.5765,1.1473,179.3604,0.0
9000,,,,,,6,2,1,2836.8066,0.69,0.3987,1.6605,0.5647,41.1318,56.2132,22.0295,-1.9329,3.2704,188.9317,0.0
9500,,,,,,6,2,1,2799.8555,0.6026,0.0105,3.4649,0.357,30.4842,22.4441,10.617,-3.8072,2.2948,256.0879,0.0
9959,,,1600,-130.9351,15.223,,,,,,,,,,,,,,,
10000,,,,,,6,2,1,2911.4788,0.2761,0.3982,2.1902,0.6172,61.9208,5.1885,39.4647,-2.5729,6.3492,1877.8823,0.0
10000,-178.5713,1600.0,,,,,,,,,,,,,,,,,,
10500,,,,,,5,3,1,2925.6528,0.5171,0.7873,0.6166,0.849,57.4782,14.0629,34.3381,-0.5367,7.328,640.9361,0.0
11000,,,,,,5,2,1,2869.5488,0.235,0.0117,2.2083,0.2326,24.8101,8.0579,1.8464,-4.0054,3.8793,895.9138,0.0
11500,,,,,,9,2,1,2863.6252,0.2692,0.0083,3.7471,0.383,26.2985,32.2368,1.9915,-3.7471,4.1869,1339.2678,0.0
11559,,,1600,-125.087,14.0311,,,,,,,,,,,,,,,
11914,,,355,-151.4226,15.409,,,,,,,,,,,,,,,
11968,,,54,-108.2358,15.9636,,,,,,,,,,,,,,,
12000,,,,,,21,2,1,2756.3865,0.5594,0.0102,19.1777,1.9279,36.1142,49.2873,12.111,-20.8477,0.8688,122.1074,0.0018
12017,,,49,-102.3588,15.2097,,,,,,,,,,,,,,,
12074,,,57,-101.5211,15.6547,,,,,,,,,,,,,,,
12125,,,51,-103.025,16.0432,,,,,,,,,,,,,,,
12188,,,63,-102.8499,16.2221,,,,,,,,,,,,,,,
12262,,,74,-102.0841,15.074,,,,,,,,,,,,,,,
12323,,,61,-103.5886,15.3752,,,,,,,,,,,,,,,
12375,,,52,-104.5846,15.8876,,,,,,,,,,,,,,,
12442,,,67,-103.8566,15.9946,,,,,,,,,,,,,,,
12490,,,48,-106.8734,15.3963,,,,,,,,,,,,,,,
12500,,,,,,30,24,1,2508.8333,1.8216,0.0102,73.6123,7.3715,79.7161,74.4268,53.3993,-77.3286,4.6769,223.7145,0.0
12557,,,67,-106.382,14.6748,,,,,,,,,,,,,,,
12606,,,49,-106.0406,15.4892,,,,,,,,,,,,,,,
12679,,,73,-102.8385,15.0289,,,,,,,,,,,,,,,
12747,,,68,-106.8397,14.6255,,,,,,,,,,,,,,,
12859,,,112,-106.6743,15.2695,,,,,,,,,,,,,,,
12919,,,60,-106.5889,15.1779,,,,,,,,,,,,,,,
12969,,,50,-105.2719,15.3266,,,,,,,,,,,,,,,
13000,,,,,,37,24,1,2042.8196,2.7908,0.7869,34.7731,4.2642,58.9525,36.5322,29.0929,-39.2852,2.9317,570.1754,0.0
13017,,,48,-106.7976,14.676,,,,,,,,,,,,,,,
13065,,,48,-106.9247,15.1901,,,,,,,,,,,,,,,
13120,,,55,-106.0349,14.3532,,,,,,,,,,,,,,,
13191,,,71,-105.3746,13.9976,,,,,,,,,,,,,,,
13241,,,50,-102.1413,14.6947,,,,,,,,,,,,,,,
13291,,,50,-103.3773,13.9945,,,,,,,,,,,,,,,
13374,,,83,-128.9058,14.4497,,,,,,,,,,,,,,,
