env_steps,return,length,train/length,train/return,FPS,rkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm
15000,,,,,,1378.8086,-44.1797,-44.1774,1381.652,5675.9336,3.5338,120.6967,0.4344
15000,-103.8838,86.5,,,,,,,,,,,
15500,,,,,,1318.1892,-44.1785,-44.1743,1320.1921,8666.9502,3.6582,81.5815,0.2678
16000,,,,,,1496.7646,-44.1814,-44.1817,1500.285,9684.0752,1.5759,66.2269,0.3889
16197,,,1600,-153.3602,79.8087,,,,,,,,
16266,,,69,-105.9072,84.202,,,,,,,,
16312,,,46,-105.8203,83.8666,,,,,,,,
16412,,,100,-108.3682,82.9741,,,,,,,,
16500,,,,,,1506.6213,-44.1814,-44.1814,1508.4309,9674.1816,2.7733,102.7349,0.3818
17000,,,,,,1525.6531,-44.179,-44.1798,1529.6436,8161.8799,2.2484,106.8906,0.267
17500,,,,,,1659.8624,-44.1815,-44.1819,1661.3655,15873.0127,3.2112,118.5641,0.4516
18000,,,,,,1727.5308,-44.1815,-44.1797,1730.5021,11224.5967,2.8064,130.0444,0.3196
18012,,,1600,-147.6819,82.8366,,,,,,,,
18086,,,74,-104.3562,82.9761,,,,,,,,
18155,,,69,-106.4812,82.39,,,,,,,,
18250,,,95,-108.6619,82.8596,,,,,,,,
18354,,,104,-105.976,83.3507,,,,,,,,
18493,,,139,-111.541,83.0936,,,,,,,,
18500,,,,,,1675.4561,-44.1816,-44.1794,1681.0907,13071.3828,4.0662,73.5533,0.6662
18555,,,62,-106.5089,84.0707,,,,,,,,
18663,,,108,-107.1671,83.2508,,,,,,,,
18742,,,79,-107.1205,83.8897,,,,,,,,
18810,,,68,-105.5584,83.5832,,,,,,,,
18869,,,59,-107.0296,83.8214,,,,,,,,
18972,,,103,-100.8766,84.3789,,,,,,,,
19000,,,,,,1717.9314,-44.1817,-44.1795,1720.054,12686.5898,4.2126,141.4536,0.5215
19043,,,71,-105.4911,82.782,,,,,,,,
19117,,,74,-102.6401,82.8996,,,,,,,,
19171,,,54,-106.0602,83.6901,,,,,,,,
19291,,,120,-106.4602,83.1252,,,,,,,,
19378,,,87,-102.2162,83.5028,,,,,,,,
19500,,,,,,1754.2697,-44.1815,-44.1818,1759.3086,10952.9531,3.2553,164.4778,0.4849
19531,,,153,-99.4874,83.5279,,,,,,,,
19713,,,182,-101.8376,83.5234,,,,,,,,
19824,,,111,-98.9465,83.7472,,,,,,,,
20000,,,,,,1741.1586,-44.1817,-44.1818,1745.2496,10855.7568,4.9795,139.7264,0.6046
20000,-108.6323,87.2,,,,,,,,,,,
20500,,,,,,1991.7626,-44.1816,-44.1783,1994.1196,11832.4775,2.601,80.3058,0.5108
21000,,,,,,1785.3119,-44.1806,-44.1776,1792.3683,11067.3779,3.14,139.2369,0.4442
21198,,,1374,-234.5853,80.3024,,,,,,,,
21257,,,59,-101.8355,81.1064,,,,,,,,
21500,,,,,,1931.7998,-44.1819,-44.1821,1937.303,13043.5264,3.5894,219.7073,0.3042
21622,,,365,-108.9067,81.1316,,,,,,,,
22000,,,,,,1793.1011,-44.1818,-44.1819,1796.8784,9791.5957,2.8088,143.8042,0.4467
22500,,,,,,2087.9165,-44.1817,-44.1822,2090.7285,15146.0967,2.3954,131.6802,0.6485
23000,,,,,,2011.0149,-44.1819,-44.1786,2015.3717,11533.6641,9.9032,241.3633,0.416
23222,,,1600,-106.247,82.6468,,,,,,,,
23500,,,,,,2117.7783,-44.1819,-44.1812,2125.0525,13407.1523,4.9736,162.1476,0.7975
24000,,,,,,2174.3982,-44.182,-44.1822,2180.4055,10816.6689,2.6949,160.9732,0.5656
24500,,,,,,2038.0653,-44.182,-44.182,2042.8691,9253.8271,3.2212,129.8367,0.4002
24822,,,1600,-115.5149,82.1213,,,,,,,,
24866,,,44,-111.6476,83.4932,,,,,,,,
24964,,,98,-102.0153,83.6944,,,,,,,,
25000,,,,,,1920.231,-44.182,-44.1796,1925.27,7298.8877,2.7305,114.4821,0.5652
25000,-138.126,1600.0,,,,,,,,,,,
25500,,,,,,2083.104,-44.182,-44.182,2088.6418,11612.1016,3.0516,199.5981,0.6623
26000,,,,,,2156.7222,-44.182,-44.1822,2161.2239,13238.5098,3.5687,262.625,1.1561
26500,,,,,,2241.135,-44.1821,-44.1814,2246.8918,13237.3896,1.9688,93.7278,1.2096
26564,,,1600,-135.9383,48.682,,,,,,,,
26682,,,118,-120.256,82.666,,,,,,,,
27000,,,,,,2259.313,-44.1821,-44.1786,2263.3503,9935.0205,2.4172,96.1596,0.5896
27033,,,351,-129.1825,81.7785,,,,,,,,
27500,,,,,,2270.6187,-44.1821,-44.1815,2278.2354,15548.0352,3.5722,237.1821,0.8247
28000,,,,,,2354.4663,-44.1822,-44.1813,2358.9204,12177.9316,2.5134,135.4541,0.8035
28500,,,,,,2292.792,-44.1821,-44.182,2294.6829,15323.8193,5.3748,229.9141,0.9953
28633,,,1600,-132.509,81.9742,,,,,,,,
29000,,,,,,2293.0977,-44.1822,-44.1816,2298.2407,13868.1729,2.799,96.2999,1.2322
29256,,,623,-146.2692,84.8522,,,,,,,,
29500,,,,,,2541.167,-44.1822,-44.1822,2543.9285,17296.5137,3.2078,99.6299,1.926
30000,,,,,,2423.8816,-44.1822,-44.1812,2428.5398,15604.5654,3.6522,194.4482,0.9009
30000,-112.9934,55.3,,,,,,,,,,,
30500,,,,,,2415.9287,-44.1822,-44.1818,2421.7449,13411.3652,2.128,81.8677,0.6857
30856,,,1600,-102.2252,80.5625,,,,,,,,
30910,,,54,-116.3535,82.7856,,,,,,,,
31000,,,,,,2280.5957,-44.1822,-44.1822,2285.9924,14077.1621,1.7866,112.7766,0.9874
31022,,,112,-111.5571,82.5113,,,,,,,,
31500,,,,,,2473.2886,-44.1822,-44.1806,2477.9277,11461.3623,3.1463,208.1922,1.2788
31560,,,538,-131.6794,82.7312,,,,,,,,
32000,,,,,,2708.9946,-44.1821,-44.1805,2712.4353,16242.1914,1.2997,92.852,0.9097
32500,,,,,,2846.0444,-44.1822,-44.1817,2850.1855,14339.0156,1.7038,91.6436,0.7378
33000,,,,,,2612.9746,-44.1822,-44.1813,2618.0647,18265.1426,2.2671,150.2606,1.2106
33160,,,1600,-98.9081,83.3797,,,,,,,,
33500,,,,,,2774.3013,-44.1822,-44.1788,2779.7585,15273.5918,1.5579,91.5303,0.7369
34000,,,,,,2752.0181,-44.1822,-44.1812,2756.668,14198.8945,2.0366,135.4112,1.3903
34500,,,,,,3000.2073,-44.1822,-44.1822,3005.7712,16148.7725,1.6252,62.0337,1.0623
34760,,,1600,-96.9914,82.3718,,,,,,,,
35000,,,,,,2806.4131,-44.1822,-44.1815,2812.1509,13886.0449,1.684,100.7672,0.9326
35000,-123.124,1181.7,,,,,,,,,,,
35500,,,,,,2961.4473,-44.1822,-44.1815,2964.9692,20533.5762,2.5312,117.9861,1.0415
36000,,,,,,3156.0554,-44.1823,-44.1822,3161.7048,24372.8945,1.6885,95.4964,0.7446
36360,,,1600,-81.5227,53.9288,,,,,,,,
36500,,,,,,3114.7173,-44.1822,-44.182,3119.4026,17792.0977,1.7722,121.124,1.1713
37000,,,,,,2922.314,-44.1823,-44.1823,2925.7568,20368.332,2.1131,59.5968,1.3824
37500,,,,,,2872.1077,-44.1823,-44.1823,2876.9626,15558.2686,1.4089,97.5518,0.7359
37960,,,1600,-100.1018,81.5379,,,,,,,,
38000,,,,,,3116.689,-44.1823,-44.1822,3120.2644,19987.4883,1.5402,82.3464,0.7689
38500,,,,,,3385.2778,-44.1823,-44.1823,3389.8931,21957.4883,1.4081,133.837,1.1548
39000,,,,,,3160.4131,-44.1823,-44.1823,3164.6477,22538.3945,1.3872,86.9334,0.7342
39500,,,,,,3364.8843,-44.1823,-44.1823,3370.3384,15829.7832,1.5297,67.5314,0.7669
39560,,,1600,-43.3446,82.6674,,,,,,,,
40000,,,,,,3568.7065,-44.1823,-44.1823,3572.3953,24420.1172,1.6856,93.6278,0.7341
40000,-115.6824,481.7,,,,,,,,,,,
40500,,,,,,3228.0225,-44.1823,-44.1823,3230.8945,14811.2861,2.286,90.2471,1.1483
41000,,,,,,3483.7207,-44.1822,-44.1822,3486.302,29955.4609,1.6522,65.3823,0.9579
41160,,,1600,-28.6756,68.2961,,,,,,,,
41269,,,109,-109.2478,82.6089,,,,,,,,
41500,,,,,,3765.928,-44.1823,-44.1816,3771.3323,23565.3281,1.6274,119.0841,0.6966
42000,,,,,,3641.9111,-44.1823,-44.1823,3645.5938,21922.0273,2.3151,86.8498,0.9556
42500,,,,,,3427.7705,-44.1823,-44.1812,3431.0884,20719.3027,1.1923,62.7139,0.8036
42869,,,1600,-45.6339,82.9011,,,,,,,,
43000,,,,,,3357.2588,-44.1823,-44.1823,3361.7329,22102.1445,1.9889,97.2661,0.7394
43500,,,,,,3592.0605,-44.1822,-44.1823,3597.5422,19930.9141,1.6442,70.2615,0.6587
43638,,,769,-169.0045,82.7125,,,,,,,,
