env_steps,return,length,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-63.2628,1000.0,,,,,,,,,,,,,,
500,,,50,50,8,29.1303,0.5318,0.5153,0.3694,-1.8397,0.188,1.0793,0.2232,,,
1000,,,50,50,7,43.8509,0.2126,0.8904,0.369,-2.3704,0.3272,1.6894,0.2724,,,
1000,,,,,,,,,,,,,,1000,-177.6828,7.0829
1500,,,50,50,7,43.6913,0.4523,0.9495,0.3418,-2.4334,0.3636,2.5917,0.301,,,
2000,,,50,50,9,43.1829,-0.0548,0.9047,0.3418,-2.5292,0.4045,3.9455,0.3909,,,
2000,,,,,,,,,,,,,,1000,-330.3266,7.1503
2500,,,50,50,10,41.3891,-0.1579,1.2872,0.3228,-2.4532,0.5891,3.0731,0.6198,,,
3000,,,50,50,10,44.4518,-0.9169,1.2385,0.3907,-2.5228,0.6107,5.1128,0.6249,,,
3000,,,,,,,,,,,,,,1000,-434.0105,7.015
3500,,,50,50,10,43.4346,-1.6214,1.1594,0.3733,-2.59,0.6513,3.6199,0.7876,,,
4000,,,50,50,11,40.4,-2.5026,1.7334,0.3441,-2.7565,0.7312,14.037,0.8523,,,
4000,,,,,,,,,,,,,,1000,-287.7641,7.0374
4500,,,50,50,10,42.6769,-3.3357,1.51,0.3675,-2.6575,0.66,8.258,0.9918,,,
5000,,,50,50,12,39.9321,-3.7626,1.381,0.3494,-2.6245,0.7396,16.4632,1.0129,,,
5000,-127.0954,1000.0,,,,,,,,,,,,,,
5000,,,,,,,,,,,,,,1000,-144.9301,6.3846
5500,,,50,50,12,38.1833,-5.193,1.5352,0.4147,-2.4865,0.5863,3.8892,0.7875,,,
6000,,,50,50,11,38.5921,-6.5881,1.2286,0.3557,-2.4343,0.5608,5.8462,0.9014,,,
6000,,,,,,,,,,,,,,1000,58.1469,6.8467
6500,,,50,50,13,39.0699,-5.7023,1.4636,0.3719,-2.4382,0.5723,7.2654,0.9202,,,
7000,,,50,50,12,40.7525,-7.9996,1.2604,0.3931,-2.5562,0.5356,7.581,0.6814,,,
7000,,,,,,,,,,,,,,1000,-88.3129,7.2783
7500,,,50,50,12,40.6821,-8.4818,1.2312,0.441,-2.7039,0.577,5.4907,0.7868,,,
8000,,,50,50,12,42.6023,-9.605,1.4262,0.3972,-2.6914,0.6795,5.3362,1.012,,,
8000,,,,,,,,,,,,,,1000,172.7873,6.897
8500,,,50,50,10,44.9641,-11.614,1.8751,0.4517,-2.662,0.5979,17.2293,1.3998,,,
9000,,,50,50,11,40.7853,-12.3322,1.6325,0.4511,-2.9274,0.7862,7.7131,1.0788,,,
9000,,,,,,,,,,,,,,1000,244.5769,7.109
9500,,,50,50,11,43.0339,-14.2127,1.942,0.3997,-3.0017,0.9494,12.0928,1.2083,,,
10000,,,50,50,10,43.6983,-16.2881,1.1243,0.4117,-2.7806,0.7178,9.6287,0.8529,,,
10000,865.5146,1000.0,,,,,,,,,,,,,,
10000,,,,,,,,,,,,,,1000,373.2523,6.4034
10500,,,50,50,10,44.3941,-17.0062,1.4927,0.4713,-3.1032,0.7134,12.3019,1.2569,,,
11000,,,50,50,10,46.3076,-18.7495,1.875,0.4398,-3.337,0.8954,15.606,1.2941,,,
11000,,,,,,,,,,,,,,1000,237.2346,7.1815
11500,,,50,50,9,47.7106,-21.1305,1.8436,0.4547,-3.1215,0.9221,13.2632,1.1982,,,
12000,,,50,50,9,51.9995,-21.958,1.71,0.489,-3.2915,1.0497,9.5515,1.1638,,,
12000,,,,,,,,,,,,,,1000,650.8145,7.1265
12500,,,50,50,9,52.5917,-25.4546,2.1596,0.4523,-3.5658,0.8466,8.1128,1.1997,,,
13000,,,50,50,9,48.2726,-24.5484,2.4556,0.5175,-3.5051,0.9132,16.2654,1.2596,,,
13000,,,,,,,,,,,,,,1000,210.9242,7.2227
13500,,,50,50,10,43.9702,-27.0026,1.8817,0.4745,-3.0803,1.1288,24.6804,1.0388,,,
14000,,,50,50,11,46.8406,-29.3365,2.2983,0.5299,-3.3509,1.0823,7.6343,1.1143,,,
14000,,,,,,,,,,,,,,1000,175.8273,7.0577
14500,,,50,50,11,43.7104,-30.4205,1.9328,0.5062,-3.3642,1.11,19.4379,1.0485,,,
15000,,,50,50,10,44.2597,-32.8813,2.1881,0.5469,-3.5352,1.1204,9.2093,1.2187,,,
15000,1772.6601,1000.0,,,,,,,,,,,,,,
15000,,,,,,,,,,,,,,1000,356.9545,6.2015
15500,,,50,50,10,45.7919,-34.6059,2.0244,0.5648,-3.5442,1.3893,59.5475,2.0603,,,
