env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5828,1000.0,,,,,,,,,,,,,
500,,,0.1657,0.6965,0.0532,-0.5126,1.4493,0.0145,-0.0977,0.2636,1.0482,0.1441,,,
1000,,,0.186,0.6965,0.0614,-0.6321,1.3249,0.0178,-0.1206,0.3997,2.1439,0.6302,,,
1000,,,,,,,,,,,,,1000,-244.1826,19.8468
1500,,,0.22,0.6976,0.0777,-1.8343,1.1205,0.0228,-0.1496,0.5543,3.9154,0.3076,,,
2000,,,0.2388,0.6898,0.0827,-2.3302,1.7738,0.0277,-0.1568,0.7347,3.8637,0.7072,,,
2000,,,,,,,,,,,,,1000,-352.6084,34.8766
2500,,,0.2534,0.6863,0.0799,-3.7355,2.338,0.0339,-0.1549,0.8948,4.7758,0.8145,,,
3000,,,0.2681,0.6896,0.104,-5.4822,4.0764,0.0311,-0.1723,1.0284,7.4507,1.4927,,,
3000,,,,,,,,,,,,,1000,-313.6689,32.2004
3500,,,0.2842,0.6972,0.0944,-6.9469,4.721,0.0399,-0.1739,0.9625,13.243,1.912,,,
4000,,,0.2847,0.6894,0.0907,-8.2613,5.0198,0.0418,-0.1787,1.16,13.5055,1.0775,,,
4000,,,,,,,,,,,,,1000,-289.773,36.3803
4500,,,0.292,0.6985,0.0942,-10.3209,7.0659,0.0437,-0.1862,1.1556,9.3645,1.5005,,,
5000,,,0.3024,0.6944,0.0978,-12.5453,5.343,0.0464,-0.1847,1.1805,24.2981,0.7323,,,
5000,43.9825,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-127.047,31.2462
5500,,,0.3117,0.6999,0.1021,-13.8435,6.9651,0.0478,-0.1927,1.1644,18.7459,0.8835,,,
6000,,,0.3104,0.7078,0.1097,-14.2966,8.0963,0.0449,-0.2174,1.2868,22.1441,1.4214,,,
6000,,,,,,,,,,,,,1000,-291.6844,36.2673
6500,,,0.314,0.6913,0.1059,-15.6346,8.3427,0.0477,-0.2086,1.3432,14.2905,1.3316,,,
7000,,,0.3153,0.6901,0.0963,-16.4639,8.0774,0.0525,-0.1968,1.2971,28.6128,1.1587,,,
7000,,,,,,,,,,,,,1000,-382.0321,35.67
7500,,,0.3267,0.7095,0.1093,-18.136,9.6387,0.0521,-0.2099,1.6413,18.4085,1.5847,,,
8000,,,0.3269,0.7028,0.1112,-18.9177,10.0247,0.0515,-0.2192,1.2484,16.1736,1.4518,,,
8000,,,,,,,,,,,,,1000,-365.0957,35.3071
8500,,,0.3328,0.7039,0.147,-21.2017,8.0368,0.04,-0.2511,1.6318,16.1846,1.0216,,,
9000,,,0.342,0.6998,0.1199,-21.7466,9.9258,0.0543,-0.2161,1.3535,24.0663,1.4151,,,
9000,,,,,,,,,,,,,1000,-225.652,35.3118
9500,,,0.3475,0.7129,0.1169,-24.8324,9.2884,0.0582,-0.227,1.6809,35.987,2.2124,,,
10000,,,0.3547,0.7061,0.1353,-25.5029,10.4417,0.0537,-0.2565,1.6849,28.4276,2.4175,,,
10000,253.2962,1000.0,,,,,,,,,,,,,
10000,,,,,,,,,,,,,1000,245.2469,30.7393
10500,,,0.3565,0.7176,0.1192,-29.7786,9.9125,0.0614,-0.2335,1.8044,40.1793,1.6879,,,
11000,,,0.3621,0.7128,0.126,-29.5974,6.2361,0.0613,-0.2535,1.648,24.5628,0.9566,,,
11000,,,,,,,,,,,,,1000,73.5679,35.2901
