env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
21000,,,1.225,0.7006,0.4539,114.3132,36.6766,1.4196,-0.4411,1.1981,13.8846,0.715,,,
21000,,,,,,,,,,,,,1000,-464.121,48.0643
21500,,,1.2364,0.7167,0.4645,119.8914,22.0863,1.4693,-0.4556,1.0683,14.1876,0.65,,,
22000,,,1.1873,0.6647,0.4369,98.4822,49.879,1.2458,-0.4357,1.2161,20.6415,0.7289,,,
22000,,,,,,,,,,,,,1000,-515.6795,48.582
22500,,,1.1645,0.6932,0.3484,91.2624,87.1564,1.1688,-0.3279,3.057,23.2881,1.7975,,,
23000,,,1.2632,0.7156,0.3681,83.6909,25.2621,1.0807,-0.3553,1.0323,7.2446,1.0575,,,
23000,,,,,,,,,,,,,1000,-281.1346,48.7913
23500,,,1.245,0.6847,0.3619,76.7995,33.8103,0.9952,-0.3592,1.1031,9.6384,0.501,,,
24000,,,1.2314,0.7127,0.3455,71.9524,18.1271,0.9266,-0.3311,0.842,4.8565,0.808,,,
24000,,,,,,,,,,,,,1000,-386.1195,48.7528
24500,,,1.2573,0.7038,0.3621,71.2013,17.0253,0.9185,-0.3435,0.3046,2.2416,0.2552,,,
25000,,,1.3003,0.6979,0.2793,48.5373,20.7668,0.686,-0.2496,0.5441,2.3243,0.1263,,,
25000,-545.3158,1000.0,,,,,,,,,,,,,
25000,,,,,,,,,,,,,1000,-257.1975,44.7656
25500,,,1.2379,0.7059,0.2622,45.8454,16.7135,0.6482,-0.2352,0.2659,2.6092,0.3153,,,
26000,,,1.2211,0.7209,0.2655,47.4042,25.8323,0.6569,-0.2368,0.3019,1.0639,0.2477,,,
26000,,,,,,,,,,,,,1000,-258.0693,48.7746
26500,,,1.3014,0.7188,0.3376,52.1581,18.2738,0.6942,-0.3173,0.2468,1.5056,0.2941,,,
27000,,,1.2755,0.6881,0.3625,76.7967,15.0405,0.9396,-0.3118,0.4016,3.065,0.1796,,,
27000,,,,,,,,,,,,,1000,-261.5715,48.163
27500,,,1.2158,0.6896,0.3172,45.6827,8.3067,0.6501,-0.3174,0.3908,5.2493,0.1525,,,
28000,,,1.1931,0.7027,0.3387,64.9533,15.34,0.8294,-0.3522,0.4972,2.5528,0.4178,,,
28000,,,,,,,,,,,,,1000,-225.439,48.1038
28500,,,1.1756,0.7009,0.3417,78.3351,18.8852,0.9648,-0.3272,1.0226,7.4396,0.992,,,
29000,,,1.2151,0.7155,0.3835,83.9734,11.9512,1.0163,-0.3645,0.4762,3.2353,0.3731,,,
29000,,,,,,,,,,,,,1000,-270.7757,47.9195
29500,,,1.2013,0.6756,0.3773,80.4383,16.5094,0.9761,-0.3824,0.4947,3.2306,0.171,,,
30000,,,1.2933,0.6717,0.2587,34.379,16.0439,0.51,-0.2311,0.4085,2.3445,0.3056,,,
30000,-107.112,1000.0,,,,,,,,,,,,,
30000,,,,,,,,,,,,,1000,-283.7653,44.5034
30500,,,1.3196,0.7057,0.3344,46.1918,14.3516,0.6333,-0.3223,0.1672,1.0844,0.3299,,,
31000,,,1.2563,0.6787,0.4208,86.0659,14.3418,1.0288,-0.4179,0.339,3.0311,0.3465,,,
31000,,,,,,,,,,,,,1000,-161.3574,48.425
31500,,,1.2308,0.6811,0.4795,123.1343,17.9933,1.4054,-0.4975,0.5216,8.3115,0.5735,,,
32000,,,1.2297,0.6793,0.4856,134.2779,31.8977,1.5233,-0.4804,0.5629,7.8457,0.2229,,,
32000,,,,,,,,,,,,,1000,-248.9215,47.9044
