env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
2380,,,6,6.0,94.6436,,,,,,,
2383,,,3,3.0,92.7738,,,,,,,
2390,,,7,7.0,94.0985,,,,,,,
2431,,,41,41.0,93.8533,,,,,,,
2435,,,4,4.0,94.6742,,,,,,,
2468,,,33,33.0,93.9689,,,,,,,
2478,,,10,10.0,94.2928,,,,,,,
2486,,,8,8.0,93.5073,,,,,,,
2500,,,,,,37.3763,63.6304,1965.8649,37.3763,1.0051,7.1621,0.2583
2503,,,17,17.0,92.018,,,,,,,
2508,,,5,5.0,92.6398,,,,,,,
2534,,,26,26.0,92.0685,,,,,,,
2542,,,8,8.0,94.9088,,,,,,,
2553,,,11,11.0,90.2806,,,,,,,
2560,,,7,7.0,94.521,,,,,,,
2617,,,57,57.0,93.9858,,,,,,,
2651,,,34,34.0,94.128,,,,,,,
2668,,,17,17.0,93.8982,,,,,,,
2687,,,19,19.0,93.5922,,,,,,,
2698,,,11,11.0,89.7542,,,,,,,
2719,,,21,21.0,93.3909,,,,,,,
2775,,,56,56.0,94.4098,,,,,,,
2826,,,51,51.0,100.8449,,,,,,,
2875,,,49,49.0,100.1112,,,,,,,
2892,,,17,17.0,100.8968,,,,,,,
2925,,,33,33.0,97.4664,,,,,,,
2950,,,25,25.0,94.0246,,,,,,,
2956,,,6,6.0,93.6047,,,,,,,
3000,,,,,,42.6035,72.236,1180.5243,42.6035,1.1865,11.7371,0.852
3005,,,49,49.0,93.9148,,,,,,,
3014,,,9,9.0,93.7656,,,,,,,
3018,,,4,4.0,93.7248,,,,,,,
3040,,,22,22.0,93.4747,,,,,,,
3048,,,8,8.0,93.7125,,,,,,,
3057,,,9,9.0,93.737,,,,,,,
3070,,,13,13.0,96.0596,,,,,,,
3078,,,8,8.0,100.0997,,,,,,,
3120,,,42,42.0,100.604,,,,,,,
3125,,,5,5.0,101.0632,,,,,,,
3151,,,26,26.0,99.9046,,,,,,,
3186,,,35,35.0,100.4612,,,,,,,
3191,,,5,5.0,99.7148,,,,,,,
3239,,,48,48.0,97.1349,,,,,,,
3308,,,69,69.0,91.377,,,,,,,
3337,,,29,29.0,93.5909,,,,,,,
3344,,,7,7.0,88.9369,,,,,,,
3351,,,7,7.0,93.3107,,,,,,,
3357,,,6,6.0,93.5633,,,,,,,
3360,,,3,3.0,91.7684,,,,,,,
3380,,,20,20.0,93.3789,,,,,,,
3384,,,4,4.0,93.9626,,,,,,,
3389,,,5,5.0,93.1017,,,,,,,
3402,,,13,13.0,93.6116,,,,,,,
3411,,,9,9.0,93.7002,,,,,,,
3436,,,25,25.0,90.3876,,,,,,,
3444,,,8,8.0,93.9532,,,,,,,
3451,,,7,7.0,93.7664,,,,,,,
3462,,,11,11.0,92.105,,,,,,,
3491,,,29,29.0,91.6377,,,,,,,
3496,,,5,5.0,94.0845,,,,,,,
3499,,,3,3.0,94.3855,,,,,,,
3500,,,,,,33.8758,52.547,3441.7068,33.8758,1.779,27.6716,0.6943
3523,,,24,24.0,93.0982,,,,,,,
3532,,,9,9.0,93.605,,,,,,,
3556,,,24,24.0,92.0369,,,,,,,
3569,,,13,13.0,93.7821,,,,,,,
3611,,,42,42.0,93.8174,,,,,,,
3619,,,8,8.0,93.6466,,,,,,,
3624,,,5,5.0,92.6382,,,,,,,
3659,,,35,35.0,93.5987,,,,,,,
3664,,,5,5.0,92.6238,,,,,,,
3678,,,14,14.0,93.8994,,,,,,,
3695,,,17,17.0,93.0438,,,,,,,
3750,,,55,55.0,93.3531,,,,,,,
3760,,,10,10.0,93.9483,,,,,,,
3809,,,49,49.0,91.4036,,,,,,,
3863,,,54,54.0,92.5494,,,,,,,
3871,,,8,8.0,93.6116,,,,,,,
3884,,,13,13.0,90.5726,,,,,,,
3890,,,6,6.0,89.1094,,,,,,,
3894,,,4,4.0,73.0877,,,,,,,
3928,,,34,34.0,91.0134,,,,,,,
3932,,,4,4.0,91.3319,,,,,,,
3935,,,3,3.0,93.9423,,,,,,,
3979,,,44,44.0,93.1769,,,,,,,
4000,,,,,,43.0582,68.6465,1712.3521,43.0582,1.7496,19.0465,0.4499
4037,,,58,58.0,93.2239,,,,,,,
4044,,,7,7.0,91.423,,,,,,,
4056,,,12,12.0,93.0859,,,,,,,
4061,,,5,5.0,94.1766,,,,,,,
4106,,,45,45.0,92.975,,,,,,,
4150,,,44,44.0,93.2751,,,,,,,
4154,,,4,4.0,91.9814,,,,,,,
4200,,,46,46.0,91.8281,,,,,,,
4207,,,7,7.0,93.9254,,,,,,,
4210,,,3,3.0,94.8208,,,,,,,
4253,,,43,43.0,92.654,,,,,,,
4298,,,45,45.0,93.336,,,,,,,
4306,,,8,8.0,93.7186,,,,,,,
4310,,,4,4.0,92.3535,,,,,,,
4362,,,52,52.0,93.5037,,,,,,,
4392,,,30,30.0,93.5721,,,,,,,
4426,,,34,34.0,93.2652,,,,,,,
4444,,,18,18.0,92.8673,,,,,,,
4464,,,20,20.0,93.3385,,,,,,,
4495,,,31,31.0,92.6983,,,,,,,
4499,,,4,4.0,92.9275,,,,,,,
4500,,,,,,60.804,102.5772,1571.5754,60.804,2.6422,57.8826,0.1385
4543,,,44,44.0,93.0474,,,,,,,
4550,,,7,7.0,93.3983,,,,,,,
4589,,,39,39.0,92.5529,,,,,,,
