env_steps,return,length,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
21000,,,,,,,,,,500,-2182.0297,71.0494
21500,,,13174.5518,13606.3164,187344.2812,13174.5518,231.9276,4185.7422,1.6378,,,
21500,,,,,,,,,,500,-2484.066,75.8688
22000,,,12033.6641,12472.9238,128344.8828,12033.6641,589.6543,9529.5605,2.8795,,,
22000,,,,,,,,,,500,-2303.0205,73.7001
22500,,,12550.2148,12997.3408,159563.25,12550.2148,232.5937,9503.0674,1.3321,,,
22500,,,,,,,,,,500,-3031.0279,71.1888
23000,,,13108.8818,13558.5859,218064.125,13108.8818,303.1494,8877.6025,2.4584,,,
23000,,,,,,,,,,500,-5545.706,72.0922
23500,,,13385.8076,13839.2754,191002.3125,13385.8076,526.8455,9704.918,1.4892,,,
23500,,,,,,,,,,500,-1239.567,75.4326
24000,,,12403.7139,12850.5771,174754.75,12403.7139,603.1351,8956.8252,1.9247,,,
24000,,,,,,,,,,500,-4528.1973,76.9517
24500,,,12878.2383,13319.7031,227972.5156,12878.2383,273.6287,3549.9714,2.4719,,,
24500,,,,,,,,,,500,-4211.8368,73.061
25000,,,13116.0674,13575.5674,194668.8594,13116.0674,243.8334,4643.9097,1.7642,,,
25000,-11134.9243,500.0,,,,,,,,,,
25000,,,,,,,,,,500,-1477.0222,54.5414
25500,,,11370.9043,11828.4766,131975.875,11370.9043,74.0518,4606.0488,1.3526,,,
25500,,,,,,,,,,500,-3103.3212,76.4865
26000,,,12904.7646,13353.1875,302566.4375,12904.7646,428.7818,5553.2363,1.4454,,,
26000,,,,,,,,,,500,-2241.4125,71.9165
26500,,,13824.1816,14284.0781,212474.9844,13824.1816,292.3934,4114.4692,3.8911,,,
26500,,,,,,,,,,500,-3926.9693,75.355
27000,,,12254.5527,12718.3652,346880.1562,12254.5527,192.6727,6629.1685,2.1381,,,
27000,,,,,,,,,,500,-3010.6892,77.2667
27500,,,12094.9355,12553.167,207966.7656,12094.9355,250.4334,5933.748,2.5164,,,
27500,,,,,,,,,,500,-2981.6956,76.9582
28000,,,12909.7969,13370.21,290955.625,12909.7969,471.927,6286.8389,1.8733,,,
28000,,,,,,,,,,500,-3754.5456,72.4731
28500,,,12672.7949,13125.4424,295562.6562,12672.7949,228.8714,2347.7993,2.8487,,,
28500,,,,,,,,,,500,-2299.5659,77.6685
29000,,,12604.6504,13056.3438,202436.0625,12604.6504,499.7865,7880.2163,2.7379,,,
29000,,,,,,,,,,500,-2532.8991,71.6986
29500,,,12204.5098,12648.7832,213513.25,12204.5098,524.3751,6233.2212,1.8013,,,
29500,,,,,,,,,,500,-2218.353,70.5679
30000,,,12959.3906,13423.2012,230888.0938,12959.3906,307.3877,5827.7822,1.6645,,,
30000,-6415.3127,500.0,,,,,,,,,,
30000,,,,,,,,,,500,-1403.4315,55.2143
30500,,,13226.8643,13695.5156,189275.0312,13226.8643,137.1349,4663.144,2.2062,,,
30500,,,,,,,,,,500,-2264.1443,71.6882
31000,,,12365.3096,12818.2861,116384.6094,12365.3096,61.5885,3552.8743,2.5832,,,
31000,,,,,,,,,,500,-4117.101,70.6722
31500,,,12344.9668,12814.375,228952.7656,12344.9668,130.7827,7568.3042,1.7106,,,
31500,,,,,,,,,,500,-2810.9964,73.6991
32000,,,13842.6299,14287.0703,453938.0312,13842.6299,80.0614,6873.0376,1.5873,,,
32000,,,,,,,,,,500,-3008.8838,70.8544
32500,,,12875.793,13327.4707,162840.1406,12875.793,163.7903,6043.0059,2.5242,,,
32500,,,,,,,,,,500,-1729.2159,71.588
33000,,,12123.8486,12580.9795,233377.8125,12123.8486,217.1365,9164.5635,2.5634,,,
33000,,,,,,,,,,500,-3533.6601,71.1292
33500,,,13852.3506,14308.7852,286446.7188,13852.3506,255.5779,7600.4067,2.8787,,,
33500,,,,,,,,,,500,-1226.8476,71.5936
34000,,,12367.6523,12831.5059,293939.2812,12367.6523,88.1602,4730.0205,3.6706,,,
34000,,,,,,,,,,500,-3639.9303,73.9498
34500,,,12482.8145,12941.0566,297956.6875,12482.8145,304.6893,13632.54,2.324,,,
34500,,,,,,,,,,500,-2465.7721,71.9351
35000,,,13991.4795,14450.1016,345517.4062,13991.4795,76.0765,5366.2402,2.888,,,
35000,-7437.4952,500.0,,,,,,,,,,
35000,,,,,,,,,,500,-2187.0452,53.9622
35500,,,13429.8203,13887.0771,446730.7188,13429.8203,375.749,5531.5044,3.6132,,,
35500,,,,,,,,,,500,-583.209,71.8505
36000,,,11053.9092,11515.9658,252211.6562,11053.9092,190.4703,5734.3242,2.3599,,,
36000,,,,,,,,,,500,-1141.5424,74.5728
36500,,,12003.543,12453.1934,309083.7188,12003.543,200.2357,8217.4297,3.2305,,,
36500,,,,,,,,,,500,-1039.99,69.7083
37000,,,10710.8555,11173.0869,127779.1641,10710.8555,211.0977,2637.5029,1.5174,,,
37000,,,,,,,,,,500,-2595.437,68.7089
37500,,,12605.4395,13064.3623,457244.6562,12605.4395,122.483,7186.0737,2.9057,,,
37500,,,,,,,,,,500,-1011.316,72.15
38000,,,11963.8418,12416.7939,449317.5,11963.8418,179.0571,8360.6094,2.2967,,,
38000,,,,,,,,,,500,-1142.8109,78.1225
38500,,,12286.0977,12748.8779,461900.6562,12286.0977,290.7349,10724.248,2.7536,,,
38500,,,,,,,,,,500,-1479.7808,69.7902
39000,,,9396.1963,9842.9082,288843.8438,9396.1963,148.9951,8290.1406,3.8406,,,
39000,,,,,,,,,,500,-2035.3379,72.2218
39500,,,11935.0254,12378.7422,353591.75,11935.0254,88.0172,4742.896,3.3259,,,
39500,,,,,,,,,,500,-1274.8462,76.0157
40000,,,11765.6875,12214.3545,324661.0312,11765.6875,70.3185,6620.4414,3.2649,,,
40000,-10640.3143,500.0,,,,,,,,,,
40000,,,,,,,,,,500,-3205.4581,55.7081
40500,,,10210.1973,10647.7705,347876.4375,10210.1973,192.9692,11134.7676,2.2152,,,
40500,,,,,,,,,,500,-1461.6416,70.3758
41000,,,11454.8975,11894.0635,263504.3125,11454.8975,191.8459,4741.7339,3.3368,,,
41000,,,,,,,,,,500,-4280.1737,70.4813
41500,,,10804.3652,11237.9121,385361.5938,10804.3652,86.6988,7353.8442,3.2626,,,
41500,,,,,,,,,,500,-1750.1853,74.7395
42000,,,10787.9297,11229.4863,381394.4375,10787.9297,197.0777,8257.1328,2.2937,,,
42000,,,,,,,,,,500,-1898.1741,72.8671
42500,,,10936.5078,11367.1445,493707.125,10936.5078,473.6256,4393.6631,3.7615,,,
42500,,,,,,,,,,500,-2085.9479,73.9911
43000,,,10837.0273,11275.4424,272460.9062,10837.0273,385.5712,6725.978,2.6556,,,
43000,,,,,,,,,,500,-1455.3122,72.8917
43500,,,11091.0312,11517.6621,294030.875,11091.0312,109.7726,12189.5928,3.7039,,,
43500,,,,,,,,,,500,-2138.2432,76.8685
44000,,,10792.0869,11219.3828,278232.0625,10792.0869,145.9573,4097.3789,4.1168,,,
44000,,,,,,,,,,500,-1261.6595,75.1751
44500,,,10989.6582,11417.6152,468332.6875,10989.6582,55.7945,4740.5747,3.1166,,,
44500,,,,,,,,,,500,-1244.6694,72.4856
45000,,,10505.9258,10936.1826,378746.8125,10505.9258,149.7072,3738.2312,2.8364,,,
45000,-7462.4163,500.0,,,,,,,,,,
45000,,,,,,,,,,500,-2654.8041,55.2371
45500,,,10871.3271,11301.1318,507115.5625,10871.3271,305.0702,5485.0771,4.8424,,,
45500,,,,,,,,,,500,-2428.3986,73.9162
46000,,,10508.4521,10929.7988,565783.375,10508.4521,148.1155,5426.7705,4.2252,,,
46000,,,,,,,,,,500,-4224.472,74.2321
46500,,,9769.5176,10192.8604,377362.0938,9769.5176,58.1458,5958.646,3.8531,,,
46500,,,,,,,,,,500,-2141.6601,76.3383
47000,,,9927.2285,10342.7256,327104.9688,9927.2285,296.4052,9243.6113,2.9823,,,
47000,,,,,,,,,,500,-4163.5227,73.3283
47500,,,10599.8506,11013.4434,484824.25,10599.8506,180.0119,5178.272,3.8612,,,
47500,,,,,,,,,,500,-3280.884,73.2744
48000,,,9526.1631,9942.2695,330764.5,9526.1631,109.7305,3772.5449,3.9003,,,
48000,,,,,,,,,,500,-1067.5525,73.3011
48500,,,8984.1699,9393.7871,432231.5938,8984.1699,209.1635,6561.543,4.0357,,,
48500,,,,,,,,,,500,-3018.0106,73.5768
49000,,,10486.1875,10903.5049,448941.9062,10486.1875,73.7056,10308.0732,3.9089,,,
49000,,,,,,,,,,500,-4757.0969,73.0983
49500,,,9473.627,9885.377,377087.875,9473.627,186.4678,6573.1304,4.1986,,,
49500,,,,,,,,,,500,-1502.2299,78.4897
50000,,,10725.6416,11140.3594,353290.1562,10725.6416,172.6083,2280.8442,3.4411,,,
50000,-7037.9375,500.0,,,,,,,,,,
50000,,,,,,,,,,500,-2777.183,53.979
50500,,,9351.6689,9758.4492,451856.0312,9351.6689,106.0218,4707.4395,3.2176,,,
50500,,,,,,,,,,500,-3139.6683,71.3788
51000,,,9779.4756,10196.9258,242763.2969,9779.4756,142.8014,8147.1279,2.8561,,,
51000,,,,,,,,,,500,-994.289,75.8891
51500,,,9710.4043,10126.5801,418077.4062,9710.4043,160.9026,6746.4092,4.2304,,,
51500,,,,,,,,,,500,-5462.1433,72.6387
52000,,,9673.5361,10074.9854,328445.5312,9673.5361,246.9107,8961.5654,3.3565,,,
52000,,,,,,,,,,500,-2045.5228,72.0784
52500,,,10004.5195,10412.3076,687504.8125,10004.5195,250.9882,9146.3262,3.0379,,,
52500,,,,,,,,,,500,-920.5579,73.8524
53000,,,11058.5293,11455.0361,483073.3125,11058.5293,275.9371,6862.7964,3.2569,,,
53000,,,,,,,,,,500,-4865.282,71.5832
53500,,,10118.4961,10522.8887,440994.625,10118.4961,251.9044,5638.5557,4.134,,,
53500,,,,,,,,,,500,-2356.4094,73.331
54000,,,9148.7969,9553.2139,364523.3438,9148.7969,125.3975,5894.9326,3.7038,,,
54000,,,,,,,,,,500,-2418.9701,75.0993
54500,,,8671.166,9073.1152,303257.75,8671.166,68.0757,6355.124,5.9849,,,
54500,,,,,,,,,,500,-1925.628,70.1607
55000,,,9206.1318,9611.6377,451225.25,9206.1318,468.4152,4422.416,4.2062,,,
55000,-9150.3055,500.0,,,,,,,,,,
55000,,,,,,,,,,500,-5607.6692,56.5236
55500,,,8636.4297,9045.6973,310264.5,8636.4297,128.8302,3966.2842,3.091,,,
55500,,,,,,,,,,500,-4797.3884,70.8405
56000,,,9917.8418,10321.7441,293420.4375,9917.8418,62.0215,4410.3735,4.8822,,,
56000,,,,,,,,,,500,-4213.3307,70.826
56500,,,9720.5195,10127.1631,560277.75,9720.5195,142.5004,9038.2314,3.0706,,,
56500,,,,,,,,,,500,-1324.0456,73.624
57000,,,8447.7715,8845.3916,303049.9688,8447.7715,181.5632,3670.002,3.2148,,,
57000,,,,,,,,,,500,-1197.7321,70.2273
57500,,,10922.375,11321.9326,567140.375,10922.375,84.2558,9929.0801,4.2854,,,
57500,,,,,,,,,,500,-5563.0695,71.2051
58000,,,9948.002,10355.0322,379427.8438,9948.002,355.0869,8379.3477,5.9602,,,
58000,,,,,,,,,,500,-2738.5343,71.7028
58500,,,8824.7461,9227.3643,303211.9688,8824.7461,120.6083,5760.1279,4.8578,,,
58500,,,,,,,,,,500,-3756.615,70.3631
59000,,,10478.3789,10882.0068,573408.25,10478.3789,153.0679,7738.0649,4.6639,,,
59000,,,,,,,,,,500,-4051.1399,74.6868
59500,,,9416.418,9834.707,467190.1875,9416.418,245.4167,6611.5308,4.0127,,,
59500,,,,,,,,,,500,-428.2126,70.4093
60000,,,8361.9971,8765.0039,324328.625,8361.9971,242.093,7078.1372,4.5243,,,
60000,-10832.0592,500.0,,,,,,,,,,
60000,,,,,,,,,,500,-1582.2214,54.9945
60500,,,9188.127,9591.8271,291254.8438,9188.127,628.6946,10540.5771,3.4825,,,
60500,,,,,,,,,,500,-3919.3737,73.0218
61000,,,10006.0254,10414.0088,354896.1875,10006.0254,128.4009,6077.7944,4.7149,,,
61000,,,,,,,,,,500,-828.5771,70.8352
61500,,,8349.6445,8756.5918,210908.8906,8349.6445,266.3099,4175.8882,6.6845,,,
61500,,,,,,,,,,500,-5409.5974,72.4101
62000,,,9111.001,9513.0869,320854.6562,9111.001,164.6582,5115.3506,4.1256,,,
62000,,,,,,,,,,500,-2430.6637,74.3149
62500,,,9080.2139,9476.1592,335492.1562,9080.2139,100.3785,9677.5049,3.5533,,,
62500,,,,,,,,,,500,-3556.586,74.2718
63000,,,11293.3662,11696.0723,563214.875,11293.3662,126.5106,8026.1846,4.384,,,
63000,,,,,,,,,,500,-1387.8712,75.489
63500,,,7904.8354,8296.4316,295457.125,7904.8354,102.7442,7083.9775,3.8917,,,
63500,,,,,,,,,,500,-2579.9368,69.1978
