env_steps,return,length,success,train/return,train/length,train/success,zp_loss,rp_loss,critic_loss,FPS
3030000,0.9569,6.9,1.0,0.8557,7.4349,0.9502,0.0009,0.0,0.0012,611.4915
3040000,0.955,7.2,1.0,0.8528,7.3584,0.9485,0.0009,0.0,0.0012,610.4975
3050000,0.9575,6.8,1.0,0.8491,7.5415,0.9472,0.0009,0.0,0.0013,613.2209
3060000,0.9769,3.7,1.0,0.8674,7.2833,0.9556,0.0009,0.0,0.0013,606.9407
3070000,0.9594,6.5,1.0,0.8638,7.3153,0.9539,0.0009,0.0,0.0013,620.3519
3080000,0.9419,9.3,1.0,0.8523,7.6104,0.949,0.0009,0.0,0.0012,611.9646
3090000,0.9669,5.3,1.0,0.837,7.5019,0.9407,0.0009,0.0,0.0013,616.7765
3100000,0.9369,10.1,1.0,0.8687,7.5245,0.9571,0.0009,0.0,0.0012,619.0367
3110000,0.9287,11.4,1.0,0.8494,7.3855,0.9468,0.0009,0.0,0.0012,609.7173
3120000,0.9237,12.2,1.0,0.8489,7.5586,0.9471,0.0009,0.0,0.0013,612.8774
3130000,0.95,8.0,1.0,0.8071,7.4571,0.9254,0.0009,0.0,0.0012,619.7354
3140000,0.9613,6.2,1.0,0.8435,7.3368,0.9435,0.0009,0.0,0.0012,621.0124
3150000,0.9681,5.1,1.0,0.8581,7.3801,0.9513,0.0009,0.0,0.0012,621.1102
3160000,0.9437,9.0,1.0,0.8729,7.3692,0.9587,0.0009,0.0,0.0013,620.9701
3170000,0.955,7.2,1.0,0.8784,7.5758,0.9621,0.0009,0.0,0.0012,620.3134
3180000,0.9469,8.5,1.0,0.8464,7.5301,0.9458,0.0009,0.0,0.0012,616.1883
3190000,0.9675,5.2,1.0,0.8545,7.3475,0.9493,0.0009,0.0,0.0012,621.6242
3200000,0.96,6.4,1.0,0.83,7.4239,0.9369,0.0009,0.0,0.0012,620.9205
3210000,0.96,6.4,1.0,0.8417,7.5586,0.9433,0.0009,0.0,0.0012,615.4062
3220000,0.965,5.6,1.0,0.8621,7.4019,0.9534,0.0009,0.0,0.0012,615.8735
3230000,0.955,7.2,1.0,0.8385,7.391,0.9409,0.0009,0.0,0.0012,615.2194
3240000,0.9762,3.8,1.0,0.8515,7.5815,0.9484,0.0009,0.0,0.0012,609.6243
3250000,0.9456,8.7,1.0,0.87,7.3692,0.9573,0.0009,0.0,0.0012,613.0272
3260000,0.9325,10.8,1.0,0.8556,7.4294,0.9502,0.0009,0.0,0.0012,620.1343
3270000,0.96,6.4,1.0,0.8522,7.3099,0.9481,0.0009,0.0,0.0012,619.6613
