env_steps,return,length,success,train/return,train/length,train/success,bisim_loss,critic_loss,FPS
690000,0.9505,5.5,1.0,0.4816,6.3857,0.7637,0.155,0.0036,759.0405
700000,0.9541,5.1,1.0,0.4794,6.6667,0.7627,0.1536,0.0035,756.8359
710000,0.9397,6.7,1.0,0.4919,6.6181,0.769,0.1535,0.0038,752.9848
720000,0.9622,4.2,1.0,0.4783,6.4725,0.7625,0.1524,0.0033,755.0262
730000,0.9289,7.9,1.0,0.4932,6.6711,0.7705,0.151,0.0036,756.097
740000,0.9577,4.7,1.0,0.5261,6.7114,0.7872,0.1506,0.0031,752.5314
750000,0.9397,6.7,1.0,0.4936,6.6845,0.7701,0.1512,0.0044,747.2716
760000,0.9289,7.9,1.0,0.5152,6.7522,0.7819,0.1501,0.0037,745.9765
770000,0.964,4.0,1.0,0.5552,6.3371,0.801,0.1488,0.0031,747.4382
780000,0.9397,6.7,1.0,0.5388,6.2696,0.7918,0.1483,0.0032,747.4066
790000,0.9424,6.4,1.0,0.5518,6.4977,0.7999,0.1474,0.0031,741.3851
800000,0.9343,7.3,1.0,0.5943,6.25,0.8206,0.1472,0.0034,742.9197
810000,0.9568,4.8,1.0,0.565,6.3573,0.8061,0.1461,0.0038,740.9459
820000,0.9424,6.4,1.0,0.5896,6.2578,0.8185,0.1453,0.0036,738.9738
830000,0.9244,8.4,1.0,0.5667,6.4851,0.8074,0.1439,0.0036,739.6784
840000,0.9397,6.7,1.0,0.5962,6.7613,0.8235,0.1443,0.0042,734.9288
850000,0.9622,4.2,1.0,0.613,6.402,0.8303,0.1435,0.0032,731.2424
860000,0.9622,4.2,1.0,0.6488,6.3573,0.8493,0.1433,0.0031,735.7598
870000,0.9559,4.9,1.0,0.6219,6.0938,0.8342,0.143,0.0033,728.4314
880000,0.9244,8.4,1.0,0.6164,6.2617,0.8322,0.1415,0.0032,730.7879
890000,0.9568,4.8,1.0,0.6233,6.12,0.8348,0.1411,0.0034,728.3091
900000,0.9388,6.8,1.0,0.6439,6.435,0.8456,0.1403,0.0031,726.6847
910000,0.9379,6.9,1.0,0.6496,6.5876,0.8505,0.1401,0.0042,725.8053
920000,0.9532,5.2,1.0,0.6351,6.7659,0.843,0.1392,0.0036,725.95
930000,0.946,6.0,1.0,0.6543,6.5617,0.8524,0.1385,0.0033,670.3672
940000,0.9631,4.1,1.0,0.7015,6.2972,0.8759,0.1381,0.0033,726.0955
950000,0.9568,4.8,1.0,0.6802,6.3816,0.8647,0.1368,0.0034,721.2704
960000,0.9244,8.4,1.0,0.6927,6.2775,0.8713,0.1352,0.0036,719.9344
970000,0.9523,5.3,1.0,0.6736,6.5703,0.8627,0.1355,0.0035,718.5002
980000,0.9469,5.9,1.0,0.704,6.3331,0.8778,0.1356,0.0036,717.5106
990000,0.9289,7.9,1.0,0.7253,6.3052,0.8884,0.1329,0.0036,719.14
1000000,0.9478,5.8,1.0,0.6896,6.1501,0.869,0.1342,0.0035,715.8308
1010000,0.9442,6.2,1.0,0.6818,6.2267,0.8655,0.1331,0.0034,710.2868
1020000,0.9343,7.3,1.0,0.7179,6.2267,0.8836,0.1319,0.0035,716.3509
1030000,0.9388,6.8,1.0,0.694,6.12,0.8715,0.132,0.0035,715.2008
1040000,0.9469,5.9,1.0,0.7141,6.5488,0.8834,0.1323,0.0035,714.5017
1050000,0.9469,5.9,1.0,0.7025,6.2383,0.8765,0.1291,0.0034,712.4522
1060000,0.9316,7.6,1.0,0.7198,6.2617,0.8854,0.1286,0.0035,713.8207
1070000,0.9244,8.4,1.0,0.7168,6.3452,0.8839,0.1277,0.0036,711.8395
1080000,0.9451,6.1,1.0,0.7181,6.435,0.8848,0.128,0.0033,713.5555
1090000,0.9496,5.6,1.0,0.706,6.2461,0.8782,0.1287,0.0035,708.216
1100000,0.955,5.0,1.0,0.7377,6.0496,0.8935,0.1257,0.0033,705.8142
1110000,0.9127,9.7,1.0,0.7375,6.2112,0.8944,0.126,0.0035,708.6096
1120000,0.9424,6.4,1.0,0.7548,6.25,0.9031,0.1261,0.0033,709.5375
1130000,0.9541,5.1,1.0,0.7195,6.3613,0.8855,0.1243,0.0035,706.8005
1140000,0.964,4.0,1.0,0.7379,5.9773,0.8936,0.1252,0.0036,705.1286
1150000,0.9442,6.2,1.0,0.7471,6.2035,0.8989,0.1246,0.0035,704.5824
1160000,0.928,8.0,1.0,0.7532,6.1387,0.9018,0.1239,0.0034,704.2545
1170000,0.9478,5.8,1.0,0.7768,6.12,0.9137,0.1234,0.0035,702.1815
1180000,0.9262,8.2,1.0,0.7649,6.4475,0.9091,0.1234,0.0047,703.802
1190000,0.9406,6.6,1.0,0.7481,6.2617,0.8998,0.1217,0.0032,700.7114
1200000,0.9604,4.4,1.0,0.7378,6.3939,0.8951,0.1218,0.0031,697.9646
1210000,0.9595,4.5,1.0,0.7603,6.2933,0.9062,0.1217,0.0033,703.4378
1220000,0.955,5.0,1.0,0.7431,6.2657,0.8972,0.1206,0.0034,700.5418
1230000,0.9514,5.4,1.0,0.7511,6.3012,0.9017,0.1206,0.0033,698.0422
1240000,0.937,7.0,1.0,0.7732,6.1125,0.912,0.1195,0.0034,698.9182
1250000,0.9415,6.5,1.0,0.7735,6.2578,0.913,0.1187,0.0032,701.06
1260000,0.9712,3.2,1.0,0.7859,6.0901,0.9184,0.118,0.0033,695.0842
1270000,0.9379,6.9,1.0,0.7658,6.3898,0.9093,0.1175,0.0033,696.4172
1280000,0.919,9.0,1.0,0.7532,6.6667,0.904,0.1175,0.0044,699.5433
1290000,0.9361,7.1,1.0,0.7699,6.068,0.9102,0.1162,0.0038,694.8142
1300000,0.937,7.0,1.0,0.7972,6.035,0.924,0.1174,0.0032,694.6366
1310000,0.9388,6.8,1.0,0.78,6.1958,0.9157,0.1152,0.0033,692.4195
1320000,0.9586,4.6,1.0,0.7697,6.0496,0.9099,0.1164,0.0033,690.5122
1330000,0.9451,6.1,1.0,0.7982,5.8893,0.924,0.1154,0.0033,691.9164
1340000,0.9505,5.5,1.0,0.7867,6.3371,0.9195,0.1161,0.0033,693.2437
1350000,0.9568,4.8,1.0,0.78,6.2578,0.9161,0.1145,0.0034,690.4468
1360000,0.9577,4.7,1.0,0.7987,6.0643,0.9248,0.1138,0.0032,693.1504
1370000,0.9325,7.5,1.0,0.8,6.1767,0.9259,0.1129,0.0032,693.2904
1380000,0.9262,8.2,1.0,0.7542,6.8074,0.9047,0.1133,0.005,691.0984
1390000,0.9559,4.9,1.0,0.8105,6.1538,0.9311,0.1125,0.003,688.8083
1400000,0.9424,6.4,1.0,0.7706,6.5402,0.9124,0.1112,0.0031,688.5158
1410000,0.9595,4.5,1.0,0.8034,6.2539,0.9281,0.1103,0.0032,681.5707
1420000,0.9451,6.1,1.0,0.7839,6.1958,0.9176,0.1103,0.0031,684.7669
1430000,0.946,6.0,1.0,0.8001,6.0976,0.9256,0.1094,0.0033,686.7575
1440000,0.9631,4.1,1.0,0.7977,6.2814,0.9253,0.1094,0.0032,683.2801
1450000,0.9415,6.5,1.0,0.7791,6.1843,0.9153,0.1084,0.0031,680.3577
1460000,0.9505,5.5,1.0,0.812,6.2112,0.9323,0.1084,0.0032,678.033
1470000,0.9487,5.7,1.0,0.8013,6.1013,0.9262,0.109,0.0031,679.1788
1480000,0.9568,4.8,1.0,0.8262,6.2735,0.9398,0.1079,0.0032,677.3916
1490000,0.9019,10.9,1.0,0.8044,6.2539,0.9287,0.107,0.0032,677.6102
1500000,0.9406,6.6,1.0,0.808,6.1576,0.9298,0.1064,0.0034,678.9914
1510000,0.9406,6.6,1.0,0.8172,6.25,0.935,0.1059,0.0033,674.9523
1520000,0.9487,5.7,1.0,0.8148,6.2112,0.9335,0.1063,0.0032,672.3733
1530000,0.9541,5.1,1.0,0.8228,6.0423,0.9372,0.1052,0.0032,671.3713
1540000,0.9658,3.8,1.0,0.7917,6.2696,0.9223,0.1054,0.0032,668.338
1550000,0.9532,5.2,1.0,0.8104,6.0753,0.9307,0.1048,0.0031,665.264
1560000,0.9649,3.9,1.0,0.8175,6.0606,0.9345,0.1033,0.0031,667.152
1570000,0.955,5.0,1.0,0.8045,6.0938,0.9281,0.1053,0.0029,662.9979
1580000,0.9379,6.9,1.0,0.8186,6.0241,0.9349,0.1048,0.0029,664.6267
