env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-85.0096,401.8,,,,,,,,,,
106,,,106,-121.0394,18.8267,,,,,,,
155,,,49,-115.5508,94.228,,,,,,,
237,,,82,-119.7785,96.2043,,,,,,,
283,,,46,-117.2728,96.6114,,,,,,,
327,,,44,-123.2818,97.4183,,,,,,,
414,,,87,-114.5352,97.9864,,,,,,,
500,,,,,,39.2241,40.0309,280.4773,39.2241,14.6548,9.3354,0.0004
539,,,125,-124.6486,97.8117,,,,,,,
585,,,46,-118.2888,96.4486,,,,,,,
624,,,39,-115.2063,95.0734,,,,,,,
687,,,63,-115.2918,97.5026,,,,,,,
729,,,42,-116.5003,96.7315,,,,,,,
784,,,55,-116.5275,97.6407,,,,,,,
882,,,98,-120.5137,97.712,,,,,,,
966,,,84,-121.2015,96.9643,,,,,,,
1000,,,,,,101.4722,102.8248,636.8542,101.4722,10.1498,6.7842,0.0031
1023,,,57,-117.4876,97.3561,,,,,,,
1101,,,78,-122.1341,95.1799,,,,,,,
1144,,,43,-119.1938,93.5719,,,,,,,
1289,,,145,-120.1533,94.2383,,,,,,,
1399,,,110,-113.0208,94.2895,,,,,,,
1500,,,,,,127.7954,130.6378,912.8389,127.7954,1.6565,11.8639,0.0
1561,,,162,-116.6061,94.118,,,,,,,
1630,,,69,-113.9734,93.2982,,,,,,,
1691,,,61,-119.6055,94.1594,,,,,,,
1767,,,76,-111.8183,93.6566,,,,,,,
1881,,,114,-116.4882,94.1429,,,,,,,
1923,,,42,-115.6968,91.8502,,,,,,,
1989,,,66,-116.2622,88.5309,,,,,,,
2000,,,,,,142.9608,146.3099,524.6858,142.9608,1.7767,24.4224,0.0
2054,,,65,-112.7323,86.7213,,,,,,,
2187,,,133,-117.7965,85.7771,,,,,,,
2256,,,69,-113.6015,89.6934,,,,,,,
2333,,,77,-113.2782,84.2967,,,,,,,
2449,,,116,-118.7179,88.3258,,,,,,,
2492,,,43,-120.5458,92.7158,,,,,,,
2500,,,,,,161.3696,167.3578,732.6996,161.3696,0.7677,21.9341,0.0
2715,,,223,-119.8855,91.9094,,,,,,,
2796,,,81,-113.6541,93.5548,,,,,,,
2920,,,124,-113.8733,86.4204,,,,,,,
3000,,,,,,199.7613,205.5284,768.183,199.7613,0.4494,13.3108,0.0
3102,,,182,-116.9685,83.7878,,,,,,,
3205,,,103,-115.2532,88.9328,,,,,,,
3250,,,45,-115.638,88.7133,,,,,,,
3435,,,185,-115.5112,88.1689,,,,,,,
3500,,,,,,226.9463,234.5645,715.6062,226.9463,0.7281,18.1209,0.0
3553,,,118,-114.226,88.7515,,,,,,,
3671,,,118,-115.6355,88.5898,,,,,,,
3782,,,111,-114.5363,88.3822,,,,,,,
