env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,fkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
3482,,,44,224.5428,23.077,,,,,,,,,,,,,
3500,,,,,,50,50,29,23.6657,91.0934,46.748,-44.0268,-14.7142,56.5192,91.0934,58.0457,236.9452,0.3367
3517,,,35,171.6152,22.8931,,,,,,,,,,,,,
3540,,,23,116.5477,28.0481,,,,,,,,,,,,,
3571,,,31,156.0854,25.8872,,,,,,,,,,,,,
3615,,,44,232.418,25.2751,,,,,,,,,,,,,
3648,,,33,177.5412,24.5279,,,,,,,,,,,,,
3675,,,27,137.1513,21.9941,,,,,,,,,,,,,
3702,,,27,136.7811,25.0669,,,,,,,,,,,,,
3731,,,29,144.5665,24.5897,,,,,,,,,,,,,
3759,,,28,143.6711,24.65,,,,,,,,,,,,,
3791,,,32,162.6537,22.1551,,,,,,,,,,,,,
3814,,,23,115.1456,23.2811,,,,,,,,,,,,,
3857,,,43,222.041,25.2844,,,,,,,,,,,,,
3882,,,25,120.4338,22.8655,,,,,,,,,,,,,
3946,,,64,322.9478,25.6691,,,,,,,,,,,,,
3982,,,36,178.2375,21.7522,,,,,,,,,,,,,
4000,,,,,,50,50,27,24.6041,93.4354,49.6639,-44.0876,-26.0791,49.183,93.4354,51.8451,134.9931,0.4639
4003,,,21,104.5081,22.8609,,,,,,,,,,,,,
4052,,,49,253.9451,23.6135,,,,,,,,,,,,,
4072,,,20,99.3213,21.9228,,,,,,,,,,,,,
4116,,,44,224.2408,23.3156,,,,,,,,,,,,,
4138,,,22,109.7372,25.2395,,,,,,,,,,,,,
4182,,,44,229.6803,22.5623,,,,,,,,,,,,,
4232,,,50,272.1329,22.9273,,,,,,,,,,,,,
4275,,,43,204.1897,20.4928,,,,,,,,,,,,,
4322,,,47,256.2306,22.405,,,,,,,,,,,,,
