env_steps,return,length,train/length,train/return,FPS,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
626,,,5,5.0,83.3328,,,,,,,
630,,,4,4.0,84.8878,,,,,,,
634,,,4,4.0,82.8611,,,,,,,
638,,,4,4.0,84.8461,,,,,,,
643,,,5,5.0,83.6352,,,,,,,
648,,,5,5.0,85.0806,,,,,,,
652,,,4,4.0,82.5809,,,,,,,
655,,,3,3.0,84.4457,,,,,,,
659,,,4,4.0,82.4997,,,,,,,
664,,,5,5.0,84.5779,,,,,,,
674,,,10,10.0,84.0065,,,,,,,
681,,,7,7.0,83.3732,,,,,,,
684,,,3,3.0,82.9832,,,,,,,
687,,,3,3.0,84.7363,,,,,,,
692,,,5,5.0,83.918,,,,,,,
695,,,3,3.0,84.9491,,,,,,,
703,,,8,8.0,82.2419,,,,,,,
706,,,3,3.0,82.1125,,,,,,,
709,,,3,3.0,81.7327,,,,,,,
713,,,4,4.0,84.5208,,,,,,,
718,,,5,5.0,83.8499,,,,,,,
722,,,4,4.0,84.5651,,,,,,,
725,,,3,3.0,82.8619,,,,,,,
730,,,5,5.0,84.8726,,,,,,,
735,,,5,5.0,83.3059,,,,,,,
739,,,4,4.0,84.392,,,,,,,
749,,,10,10.0,83.7126,,,,,,,
752,,,3,3.0,82.7872,,,,,,,
756,,,4,4.0,84.6428,,,,,,,
760,,,4,4.0,83.0893,,,,,,,
765,,,5,5.0,84.8634,,,,,,,
771,,,6,6.0,84.3774,,,,,,,
795,,,24,24.0,83.8141,,,,,,,
820,,,25,25.0,84.1216,,,,,,,
845,,,25,25.0,82.6007,,,,,,,
873,,,28,28.0,84.3613,,,,,,,
879,,,6,6.0,83.3336,,,,,,,
883,,,4,4.0,85.4398,,,,,,,
916,,,33,33.0,84.0383,,,,,,,
950,,,34,34.0,84.2223,,,,,,,
960,,,10,10.0,84.2412,,,,,,,
974,,,14,14.0,83.9529,,,,,,,
991,,,17,17.0,84.061,,,,,,,
1000,,,,,,-4.6103,0.2038,0.0034,-0.0391,0.1204,1.8026,0.0058
1043,,,52,52.0,84.2355,,,,,,,
1077,,,34,34.0,84.047,,,,,,,
1120,,,43,43.0,84.2778,,,,,,,
1199,,,79,79.0,84.2102,,,,,,,
1217,,,18,18.0,84.1953,,,,,,,
1261,,,44,44.0,83.378,,,,,,,
1280,,,19,19.0,81.4492,,,,,,,
1317,,,37,37.0,84.5947,,,,,,,
1338,,,21,21.0,84.8627,,,,,,,
1387,,,49,49.0,84.4283,,,,,,,
1431,,,44,44.0,83.6244,,,,,,,
1446,,,15,15.0,84.7963,,,,,,,
1476,,,30,30.0,83.3079,,,,,,,
1479,,,3,3.0,85.6505,,,,,,,
1500,,,,,,-6.5181,0.5476,0.0181,-0.1052,0.2954,1.4332,0.0308
1512,,,33,33.0,83.9912,,,,,,,
1555,,,43,43.0,79.9462,,,,,,,
1573,,,18,18.0,83.3296,,,,,,,
1591,,,18,18.0,84.7232,,,,,,,
1599,,,8,8.0,83.7469,,,,,,,
1612,,,13,13.0,84.8161,,,,,,,
1618,,,6,6.0,84.2207,,,,,,,
1633,,,15,15.0,84.4995,,,,,,,
1651,,,18,18.0,84.9554,,,,,,,
1662,,,11,11.0,84.5438,,,,,,,
1678,,,16,16.0,84.5077,,,,,,,
1711,,,33,33.0,83.6461,,,,,,,
1722,,,11,11.0,84.6024,,,,,,,
1725,,,3,3.0,85.8152,,,,,,,
1749,,,24,24.0,84.058,,,,,,,
1770,,,21,21.0,83.944,,,,,,,
1779,,,9,9.0,84.6242,,,,,,,
1791,,,12,12.0,84.6397,,,,,,,
1799,,,8,8.0,84.0691,,,,,,,
1815,,,16,16.0,83.8019,,,,,,,
1819,,,4,4.0,83.6268,,,,,,,
1824,,,5,5.0,79.1716,,,,,,,
1867,,,43,43.0,84.6847,,,,,,,
1875,,,8,8.0,84.3939,,,,,,,
1916,,,41,41.0,83.5541,,,,,,,
1931,,,15,15.0,84.6179,,,,,,,
1949,,,18,18.0,84.355,,,,,,,
1985,,,36,36.0,84.5267,,,,,,,
2000,,,,,,-8.8875,0.2788,0.0036,-0.0524,0.4837,4.4536,0.0833
2002,,,17,17.0,84.4401,,,,,,,
2041,,,39,39.0,84.5868,,,,,,,
2045,,,4,4.0,84.6577,,,,,,,
2073,,,28,28.0,84.5206,,,,,,,
2081,,,8,8.0,84.2401,,,,,,,
2091,,,10,10.0,83.3554,,,,,,,
2120,,,29,29.0,84.5228,,,,,,,
2124,,,4,4.0,85.1899,,,,,,,
2150,,,26,26.0,84.5763,,,,,,,
2156,,,6,6.0,84.291,,,,,,,
2177,,,21,21.0,83.7108,,,,,,,
2194,,,17,17.0,84.7036,,,,,,,
2213,,,19,19.0,84.5129,,,,,,,
2217,,,4,4.0,84.9841,,,,,,,
2237,,,20,20.0,84.0528,,,,,,,
2259,,,22,22.0,83.8803,,,,,,,
2276,,,17,17.0,83.9195,,,,,,,
2307,,,31,31.0,90.7036,,,,,,,
2345,,,38,38.0,91.4029,,,,,,,
2352,,,7,7.0,90.9236,,,,,,,
2375,,,23,23.0,88.0491,,,,,,,
2412,,,37,37.0,84.9643,,,,,,,
2420,,,8,8.0,84.8837,,,,,,,
2431,,,11,11.0,80.1087,,,,,,,
2442,,,11,11.0,83.1698,,,,,,,
2481,,,39,39.0,84.5337,,,,,,,
2489,,,8,8.0,84.4088,,,,,,,
2493,,,4,4.0,85.2865,,,,,,,
2500,,,,,,-10.9767,0.1807,0.0032,-0.0471,1.2393,17.1911,0.013
2502,,,9,9.0,84.5647,,,,,,,
2515,,,13,13.0,84.1641,,,,,,,
2524,,,9,9.0,84.8288,,,,,,,
2542,,,18,18.0,84.6356,,,,,,,
2546,,,4,4.0,85.0461,,,,,,,
2550,,,4,4.0,83.2769,,,,,,,
2580,,,30,30.0,84.8178,,,,,,,
2619,,,39,39.0,84.4706,,,,,,,
2655,,,36,36.0,83.9936,,,,,,,
2660,,,5,5.0,84.4781,,,,,,,
2664,,,4,4.0,85.5828,,,,,,,
2690,,,26,26.0,84.2733,,,,,,,
2695,,,5,5.0,84.2599,,,,,,,
2699,,,4,4.0,85.3047,,,,,,,
2714,,,15,15.0,81.8578,,,,,,,
2725,,,11,11.0,81.9456,,,,,,,
2738,,,13,13.0,83.9496,,,,,,,
2741,,,3,3.0,84.9669,,,,,,,
2758,,,17,17.0,84.9024,,,,,,,
2785,,,27,27.0,84.5102,,,,,,,
2812,,,27,27.0,84.4099,,,,,,,
2826,,,14,14.0,83.1105,,,,,,,
2833,,,7,7.0,84.7571,,,,,,,
2852,,,19,19.0,84.2823,,,,,,,
2866,,,14,14.0,84.3135,,,,,,,
2904,,,38,38.0,84.5956,,,,,,,
2926,,,22,22.0,84.2464,,,,,,,
2931,,,5,5.0,80.55,,,,,,,
2935,,,4,4.0,76.2941,,,,,,,
2971,,,36,36.0,84.5632,,,,,,,
2984,,,13,13.0,84.5274,,,,,,,
2988,,,4,4.0,85.8178,,,,,,,
2993,,,5,5.0,84.1017,,,,,,,
3000,,,,,,-12.8732,0.2824,0.0043,-0.0549,1.3398,15.2233,0.0363
3019,,,26,26.0,84.406,,,,,,,
3044,,,25,25.0,84.8817,,,,,,,
3071,,,27,27.0,84.9317,,,,,,,
3085,,,14,14.0,84.4277,,,,,,,
3089,,,4,4.0,85.5535,,,,,,,
3094,,,5,5.0,83.5432,,,,,,,
3121,,,27,27.0,83.9817,,,,,,,
3125,,,4,4.0,80.8256,,,,,,,
3130,,,5,5.0,84.2829,,,,,,,
3133,,,3,3.0,85.257,,,,,,,
3143,,,10,10.0,84.9658,,,,,,,
3148,,,5,5.0,84.3453,,,,,,,
3155,,,7,7.0,84.4172,,,,,,,
3168,,,13,13.0,83.2152,,,,,,,
3206,,,38,38.0,82.758,,,,,,,
3218,,,12,12.0,83.9009,,,,,,,
3235,,,17,17.0,84.3971,,,,,,,
3250,,,15,15.0,84.9484,,,,,,,
3254,,,4,4.0,83.7216,,,,,,,
3293,,,39,39.0,84.567,,,,,,,
3303,,,10,10.0,84.0746,,,,,,,
3310,,,7,7.0,84.3374,,,,,,,
3316,,,6,6.0,83.8402,,,,,,,
3325,,,9,9.0,84.406,,,,,,,
3333,,,8,8.0,85.0657,,,,,,,
3337,,,4,4.0,85.7691,,,,,,,
3351,,,14,14.0,84.4423,,,,,,,
3376,,,25,25.0,83.8557,,,,,,,
3409,,,33,33.0,83.5651,,,,,,,
3414,,,5,5.0,81.439,,,,,,,
3418,,,4,4.0,83.9986,,,,,,,
3422,,,4,4.0,86.0048,,,,,,,
3433,,,11,11.0,84.692,,,,,,,
3444,,,11,11.0,84.7434,,,,,,,
3455,,,11,11.0,81.4662,,,,,,,
3461,,,6,6.0,84.6382,,,,,,,
3472,,,11,11.0,84.8171,,,,,,,
3489,,,17,17.0,84.5381,,,,,,,
3492,,,3,3.0,85.3565,,,,,,,
3500,,,,,,-14.9286,0.5689,0.0015,-0.0303,1.4646,22.9411,0.0118
3503,,,11,11.0,83.4967,,,,,,,
3512,,,9,9.0,84.4468,,,,,,,
3518,,,6,6.0,84.4012,,,,,,,
3525,,,7,7.0,84.8797,,,,,,,
3543,,,18,18.0,84.1973,,,,,,,
3561,,,18,18.0,82.682,,,,,,,
3579,,,18,18.0,81.052,,,,,,,
3595,,,16,16.0,84.65,,,,,,,
3599,,,4,4.0,85.2605,,,,,,,
3609,,,10,10.0,84.321,,,,,,,
3629,,,20,20.0,84.0395,,,,,,,
3649,,,20,20.0,84.5391,,,,,,,
3653,,,4,4.0,85.113,,,,,,,
3690,,,37,37.0,84.2821,,,,,,,
3702,,,12,12.0,84.8839,,,,,,,
3706,,,4,4.0,83.8802,,,,,,,
3741,,,35,35.0,84.1456,,,,,,,
3745,,,4,4.0,85.2501,,,,,,,
3748,,,3,3.0,83.6897,,,,,,,
3762,,,14,14.0,84.8372,,,,,,,
3765,,,3,3.0,84.1301,,,,,,,
3778,,,13,13.0,84.261,,,,,,,
3802,,,24,24.0,84.5932,,,,,,,
3834,,,32,32.0,83.6542,,,,,,,
3865,,,31,31.0,84.6639,,,,,,,
3872,,,7,7.0,84.7755,,,,,,,
3892,,,20,20.0,82.9446,,,,,,,
3899,,,7,7.0,83.5098,,,,,,,
3922,,,23,23.0,82.712,,,,,,,
3930,,,8,8.0,84.1999,,,,,,,
3959,,,29,29.0,84.1585,,,,,,,
3971,,,12,12.0,83.7259,,,,,,,
3982,,,11,11.0,83.5723,,,,,,,
3992,,,10,10.0,84.5873,,,,,,,
3999,,,7,7.0,84.3675,,,,,,,
4000,,,,,,-16.9407,0.2757,0.0008,-0.0202,1.7955,16.8002,0.111
4002,,,3,3.0,82.717,,,,,,,
4006,,,4,4.0,84.6035,,,,,,,
4027,,,21,21.0,82.7015,,,,,,,
4031,,,4,4.0,85.1268,,,,,,,
4070,,,39,39.0,83.8433,,,,,,,
4099,,,29,29.0,83.7715,,,,,,,
4106,,,7,7.0,84.1638,,,,,,,
4118,,,12,12.0,84.1886,,,,,,,
4125,,,7,7.0,81.3061,,,,,,,
4134,,,9,9.0,84.8269,,,,,,,
4154,,,20,20.0,84.5258,,,,,,,
4157,,,3,3.0,82.9849,,,,,,,
4162,,,5,5.0,85.6963,,,,,,,
4176,,,14,14.0,84.447,,,,,,,
4213,,,37,37.0,84.6748,,,,,,,
4234,,,21,21.0,84.3564,,,,,,,
4247,,,13,13.0,84.8521,,,,,,,
4253,,,6,6.0,83.7992,,,,,,,
4289,,,36,36.0,84.4054,,,,,,,
4302,,,13,13.0,83.9472,,,,,,,
4307,,,5,5.0,85.5698,,,,,,,
4312,,,5,5.0,80.5999,,,,,,,
4316,,,4,4.0,83.5261,,,,,,,
4342,,,26,26.0,83.7652,,,,,,,
4355,,,13,13.0,84.0311,,,,,,,
4362,,,7,7.0,83.4668,,,,,,,
4366,,,4,4.0,84.4987,,,,,,,
4370,,,4,4.0,83.7558,,,,,,,
4383,,,13,13.0,84.943,,,,,,,
4396,,,13,13.0,83.8661,,,,,,,
4403,,,7,7.0,83.8815,,,,,,,
4419,,,16,16.0,83.987,,,,,,,
4425,,,6,6.0,84.7674,,,,,,,
4445,,,20,20.0,83.6631,,,,,,,
4466,,,21,21.0,84.3477,,,,,,,
4472,,,6,6.0,83.5549,,,,,,,
4482,,,10,10.0,84.5106,,,,,,,
4488,,,6,6.0,84.3398,,,,,,,
4496,,,8,8.0,84.2797,,,,,,,
4500,,,,,,-18.0571,0.7437,0.0033,-0.0487,2.4932,35.8303,0.2232
4509,,,13,13.0,84.3847,,,,,,,
4516,,,7,7.0,84.1498,,,,,,,
4524,,,8,8.0,84.2517,,,,,,,
4538,,,14,14.0,83.9001,,,,,,,
4548,,,10,10.0,84.6023,,,,,,,
4572,,,24,24.0,84.4222,,,,,,,
4590,,,18,18.0,84.6005,,,,,,,
4602,,,12,12.0,84.7126,,,,,,,
4612,,,10,10.0,84.1166,,,,,,,
4642,,,30,30.0,84.4637,,,,,,,
4652,,,10,10.0,84.8462,,,,,,,
4666,,,14,14.0,84.2344,,,,,,,
4669,,,3,3.0,85.3611,,,,,,,
4686,,,17,17.0,84.4683,,,,,,,
4694,,,8,8.0,84.9686,,,,,,,
4704,,,10,10.0,84.8711,,,,,,,
4724,,,20,20.0,86.4637,,,,,,,
4729,,,5,5.0,90.5823,,,,,,,
4738,,,9,9.0,90.5067,,,,,,,
4744,,,6,6.0,90.237,,,,,,,
4754,,,10,10.0,91.0503,,,,,,,
4767,,,13,13.0,90.8381,,,,,,,
4771,,,4,4.0,89.1395,,,,,,,
4776,,,5,5.0,90.9086,,,,,,,
4795,,,19,19.0,89.8237,,,,,,,
4816,,,21,21.0,90.4866,,,,,,,
4824,,,8,8.0,91.2266,,,,,,,
4837,,,13,13.0,90.5096,,,,,,,
4844,,,7,7.0,90.5945,,,,,,,
4866,,,22,22.0,90.6976,,,,,,,
4875,,,9,9.0,91.0323,,,,,,,
4911,,,36,36.0,90.6442,,,,,,,
4915,,,4,4.0,91.9204,,,,,,,
4934,,,19,19.0,90.9569,,,,,,,
4941,,,7,7.0,90.5545,,,,,,,
4945,,,4,4.0,88.7491,,,,,,,
4961,,,16,16.0,91.0232,,,,,,,
4967,,,6,6.0,85.2723,,,,,,,
