env_steps,return,length,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
26500,,,638.5536,1142.8557,45409.6328,638.5536,2.7816,126.5077,4.5184,,,
27000,,,582.9278,1031.6897,29810.6426,582.9278,2.3961,71.9085,3.8445,,,
27000,,,,,,,,,,1000,2378.2028,41.8204
27500,,,636.8579,1132.4186,37733.418,636.8579,2.5877,64.4419,3.1225,,,
28000,,,572.76,1000.1064,27454.582,572.76,2.5572,130.5064,4.0294,,,
28000,,,,,,,,,,1000,2693.516,41.6531
28500,,,602.9471,1058.8517,33498.8633,602.9471,2.7903,91.1247,4.7157,,,
29000,,,607.2861,1062.2788,29544.8711,607.2861,2.7675,75.7418,2.7325,,,
29000,,,,,,,,,,1000,2674.1579,41.7756
29500,,,601.0515,1046.2523,36425.4102,601.0515,3.0115,161.1124,3.5308,,,
30000,,,673.1514,1187.6707,52495.8125,673.1514,2.8798,86.4991,3.0851,,,
30000,4790.5651,1000.0,,,,,,,,,,
30000,,,,,,,,,,1000,2730.2571,33.8656
30500,,,603.7321,1045.1923,46812.9961,603.7321,2.8252,129.7914,3.7497,,,
31000,,,562.7571,956.45,23379.0332,562.7571,2.7023,84.9128,4.0565,,,
31000,,,,,,,,,,1000,2459.7388,41.5246
31500,,,627.8483,1083.5381,37346.6406,627.8483,2.9457,80.4296,2.6042,,,
32000,,,577.3816,979.8699,24829.6074,577.3816,4.0452,141.919,3.5711,,,
32000,,,,,,,,,,1000,2818.699,41.3481
32500,,,660.994,1145.6989,61585.6914,660.994,2.9317,121.5861,4.1198,,,
33000,,,579.899,974.9979,24932.8477,579.899,3.0933,159.7176,3.1042,,,
33000,,,,,,,,,,1000,2571.9416,41.5644
33500,,,626.496,1065.175,52968.5234,626.496,2.7779,76.3222,2.786,,,
34000,,,568.0486,945.9921,29119.5996,568.0486,3.1024,119.2027,5.2981,,,
34000,,,,,,,,,,1000,2716.9935,41.6776
34500,,,606.4852,1024.0405,28943.9043,606.4852,2.708,75.6592,3.4754,,,
35000,,,604.553,1018.4056,40128.0391,604.553,3.0175,137.5989,5.3994,,,
35000,4812.8943,1000.0,,,,,,,,,,
35000,,,,,,,,,,1000,2878.2311,33.9023
35500,,,590.3644,979.5367,42625.8594,590.3644,3.244,222.1774,4.5805,,,
36000,,,575.6818,947.9524,34818.7266,575.6818,3.471,213.7171,4.3455,,,
36000,,,,,,,,,,1000,2963.3805,41.5579
36500,,,566.2563,926.5258,28455.2305,566.2563,3.3276,122.8249,3.4378,,,
37000,,,599.5386,992.1859,31587.4531,599.5386,3.242,119.0685,4.7173,,,
37000,,,,,,,,,,1000,3103.665,41.4034
37500,,,633.6774,1053.3577,43650.0391,633.6774,2.9908,119.9177,3.3891,,,
38000,,,569.2714,921.6586,40653.8984,569.2714,3.4546,147.3918,3.4537,,,
38000,,,,,,,,,,1000,3053.1359,41.2742
38500,,,559.4803,896.9694,33903.75,559.4803,3.5218,175.605,2.8547,,,
39000,,,560.2794,895.473,25125.6309,560.2794,3.4698,260.0229,3.8519,,,
39000,,,,,,,,,,1000,2798.5769,41.1205
39500,,,602.1843,975.1605,30189.1211,602.1843,3.17,187.7763,3.8344,,,
40000,,,572.824,917.8811,31832.9258,572.824,3.5551,95.6934,5.8251,,,
40000,5113.0763,1000.0,,,,,,,,,,
40000,,,,,,,,,,1000,3286.442,33.306
40500,,,576.8831,916.7515,27637.2754,576.8831,3.018,168.3122,4.6103,,,
41000,,,619.0232,1005.0403,42514.1836,619.0232,2.8555,114.5323,5.4242,,,
41000,,,,,,,,,,1000,2860.2446,38.0421
41500,,,568.8656,895.6591,31355.8555,568.8656,4.8612,512.1096,4.163,,,
42000,,,618.6271,998.7393,35910.0547,618.6271,3.9457,246.8871,3.0686,,,
42000,,,,,,,,,,1000,3417.8286,41.1631
42500,,,581.502,917.629,30027.8516,581.502,3.4339,144.3524,3.2916,,,
43000,,,591.441,936.5359,37380.3828,591.441,3.4247,145.969,4.4448,,,
43000,,,,,,,,,,1000,3445.2905,41.1025
43500,,,581.4907,915.5876,26252.9082,581.4907,3.5287,119.3337,2.6427,,,
44000,,,548.8767,846.0176,40110.4844,548.8767,3.2532,104.2482,4.5804,,,
44000,,,,,,,,,,1000,3452.3102,41.0799
44500,,,616.4111,972.6021,30991.5508,616.4111,3.6235,183.5522,4.026,,,
45000,,,607.3074,951.5226,42481.5,607.3074,3.9182,318.5428,4.1993,,,
45000,5316.5454,1000.0,,,,,,,,,,
45000,,,,,,,,,,1000,3478.4916,32.9773
45500,,,606.9025,952.7072,41958.1328,606.9025,3.4625,174.9509,2.6,,,
46000,,,597.3188,930.6899,46130.3906,597.3188,4.0597,83.2244,3.9433,,,
46000,,,,,,,,,,1000,3070.0915,40.5982
46500,,,549.792,836.0493,32399.3828,549.792,4.0995,149.0338,3.636,,,
47000,,,586.3037,907.0445,35192.418,586.3037,7.7253,188.4661,3.1642,,,
47000,,,,,,,,,,1000,3231.6575,40.9601
47500,,,584.8137,897.2685,32913.2266,584.8137,4.599,169.2455,3.1747,,,
48000,,,597.4403,919.9117,55614.8164,597.4403,4.9526,234.4093,5.0125,,,
48000,,,,,,,,,,1000,3750.8723,40.7637
48500,,,585.4352,892.7772,38607.0039,585.4352,4.5763,205.8277,4.2241,,,
49000,,,558.1273,836.8443,33885.1211,558.1273,4.1556,201.1681,5.4388,,,
49000,,,,,,,,,,1000,3514.7481,40.7166
49500,,,602.0428,921.8613,38098.0742,602.0428,4.307,148.9876,7.3184,,,
50000,,,574.2225,859.9465,29731.5215,574.2225,4.0185,302.2325,2.5029,,,
50000,5638.6892,1000.0,,,,,,,,,,
50000,,,,,,,,,,1000,3866.6438,32.2248
50500,,,577.0444,870.8702,34004.2383,577.0444,4.5512,154.1,2.5208,,,
51000,,,609.9637,930.9349,45724.0234,609.9637,4.8626,238.2699,3.9016,,,
51000,,,,,,,,,,1000,4004.8165,33.6771
51500,,,642.9956,990.5467,54379.3633,642.9956,4.5328,258.4013,5.4312,,,
52000,,,596.6833,892.9636,44214.7656,596.6833,4.5008,286.2062,7.5976,,,
52000,,,,,,,,,,1000,4006.2195,33.1933
52500,,,573.4542,847.3406,37894.2227,573.4542,3.7076,155.6323,4.0429,,,
53000,,,560.4194,824.7629,26872.3535,560.4194,3.4436,238.9548,4.9222,,,
53000,,,,,,,,,,1000,4156.9932,37.8005
53500,,,586.7122,870.9235,45553.5625,586.7122,4.8706,285.4911,4.1997,,,
54000,,,628.9707,947.8201,53929.1484,628.9707,4.3793,242.3968,3.3291,,,
54000,,,,,,,,,,1000,4031.0155,40.4783
54500,,,593.6693,876.5211,61917.9648,593.6693,4.2467,143.8434,5.7261,,,
55000,,,582.0133,848.3179,71954.5156,582.0133,4.5973,394.4949,3.8044,,,
55000,6108.6382,1000.0,,,,,,,,,,
55000,,,,,,,,,,1000,3985.9569,31.493
55500,,,587.6039,858.5776,60901.7266,587.6039,4.2942,144.8017,4.395,,,
56000,,,574.8561,831.5181,33144.2422,574.8561,4.2497,231.3196,3.9933,,,
56000,,,,,,,,,,1000,4054.3494,41.0448
56500,,,596.7136,876.9526,64921.1484,596.7136,4.3486,374.0187,3.3297,,,
57000,,,533.8607,744.5707,41760.293,533.8607,3.8909,209.7766,4.5015,,,
57000,,,,,,,,,,1000,4228.0897,40.8128
57500,,,573.7496,818.8954,48831.4766,573.7496,3.9072,236.6994,4.8337,,,
58000,,,548.243,773.8656,27576.3496,548.243,3.8433,128.6153,6.337,,,
58000,,,,,,,,,,1000,4304.2338,41.149
58500,,,540.5031,749.3707,27640.793,540.5031,5.5084,529.7919,3.5382,,,
59000,,,537.8145,742.3445,33150.3281,537.8145,3.991,272.9367,5.2777,,,
59000,,,,,,,,,,1000,4481.9155,41.4199
