env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
26500,,,-91.2001,5.2599,0.0045,-0.0535,2.5166,70.2957,2.2644,,,
27000,,,-92.7838,4.679,0.0042,-0.0504,2.1486,59.0423,1.9904,,,
27000,,,,,,,,,,1000,153.7021,36.1478
27500,,,-97.5505,4.5468,0.0044,-0.0522,3.0786,84.978,3.2716,,,
28000,,,-101.7105,4.2691,0.0039,-0.0485,2.8146,99.3908,2.6231,,,
28000,,,,,,,,,,1000,1099.7332,36.7114
28500,,,-100.8823,3.8929,0.0039,-0.0488,2.8464,87.0946,2.2152,,,
29000,,,-101.7952,5.2844,0.004,-0.05,2.9511,84.8748,2.5338,,,
29000,,,,,,,,,,1000,431.1766,36.3628
29500,,,-106.9547,4.2863,0.0049,-0.0527,2.7986,66.8119,2.5233,,,
30000,,,-107.6137,5.2966,0.0044,-0.0529,4.6638,113.7819,2.2425,,,
30000,2144.5957,1000.0,,,,,,,,,,
30000,,,,,,,,,,1000,1138.5065,28.1335
30500,,,-110.1911,4.4877,0.004,-0.0493,5.3087,132.0275,2.1302,,,
31000,,,-107.8623,4.5868,0.0044,-0.0499,2.5025,65.1471,2.1547,,,
31000,,,,,,,,,,1000,245.9479,30.4803
31500,,,-112.4917,5.5161,0.0054,-0.0531,2.6697,93.3553,2.5524,,,
32000,,,-109.5815,4.4798,0.0039,-0.0493,3.0791,108.639,2.3038,,,
32000,,,,,,,,,,1000,527.2728,36.9446
32500,,,-111.7781,4.0992,0.0038,-0.0479,2.9764,113.0507,2.614,,,
33000,,,-110.4534,4.7077,0.0036,-0.0478,3.1462,122.7861,2.9822,,,
33000,,,,,,,,,,1000,286.7057,36.4493
33500,,,-113.922,4.8199,0.0039,-0.0476,3.4857,92.4732,2.1441,,,
34000,,,-113.5073,4.2858,0.004,-0.0496,3.1428,120.9027,2.3868,,,
34000,,,,,,,,,,1000,1361.4352,34.9325
34500,,,-120.6781,5.0909,0.0037,-0.0469,2.6189,105.8396,2.8209,,,
35000,,,-117.0709,6.0292,0.0046,-0.048,2.9495,92.913,3.6569,,,
35000,2124.4321,1000.0,,,,,,,,,,
35000,,,,,,,,,,1000,1096.1892,29.3033
35500,,,-122.1541,4.7564,0.0041,-0.0497,2.4654,72.8464,2.867,,,
36000,,,-124.7962,5.7282,0.004,-0.0489,3.006,98.1061,2.2019,,,
36000,,,,,,,,,,1000,621.101,35.6336
36500,,,-121.1804,4.4922,0.0037,-0.0467,3.9915,122.3943,1.8359,,,
37000,,,-119.6891,4.7861,0.0038,-0.0492,3.3668,140.0828,2.9855,,,
37000,,,,,,,,,,1000,262.4569,35.6647
37500,,,-121.3893,4.3957,0.0035,-0.0472,3.3024,72.4289,2.1591,,,
38000,,,-122.174,4.2027,0.0036,-0.0477,3.8734,171.8655,2.0004,,,
38000,,,,,,,,,,1000,363.5492,35.7399
38500,,,-123.0057,4.4315,0.0035,-0.0442,1.9999,80.3885,2.259,,,
39000,,,-126.4173,3.7569,0.0031,-0.0436,2.9392,96.0277,1.9204,,,
39000,,,,,,,,,,1000,1571.9379,33.2734
39500,,,-123.006,4.5283,0.0037,-0.0478,3.0909,87.8153,3.1448,,,
40000,,,-120.2766,4.3067,0.0037,-0.0481,2.8612,78.0709,2.8765,,,
40000,2724.3046,1000.0,,,,,,,,,,
40000,,,,,,,,,,1000,736.0524,30.8099
40500,,,-124.7198,3.6734,0.0032,-0.0443,3.7087,96.7167,3.1009,,,
41000,,,-127.0969,3.5877,0.0035,-0.0476,1.964,82.462,2.5568,,,
41000,,,,,,,,,,1000,1576.6317,33.7011
41500,,,-130.8622,3.2526,0.0036,-0.0464,2.3421,100.9154,2.1442,,,
42000,,,-132.5392,3.4945,0.004,-0.0497,2.3733,89.981,1.9935,,,
42000,,,,,,,,,,1000,1746.8918,34.5859
42500,,,-133.7979,4.0384,0.004,-0.0494,2.251,96.4564,2.1033,,,
43000,,,-133.7244,3.9645,0.0031,-0.0444,2.0955,78.4768,2.1707,,,
43000,,,,,,,,,,1000,1343.9895,36.5999
43500,,,-132.9698,4.0167,0.0035,-0.046,3.9019,114.9373,2.3918,,,
44000,,,-135.0576,3.7,0.0039,-0.0497,2.2959,99.5078,2.7288,,,
44000,,,,,,,,,,1000,1730.6653,36.4739
44500,,,-136.5495,3.7844,0.0034,-0.0446,2.4273,109.7385,3.0466,,,
45000,,,-140.0262,4.9778,0.0036,-0.0466,2.5825,121.9479,3.7265,,,
45000,2772.7078,1000.0,,,,,,,,,,
45000,,,,,,,,,,1000,1740.9988,31.0834
45500,,,-140.0235,4.7452,0.0038,-0.0469,2.6139,78.3581,2.7033,,,
46000,,,-140.103,4.2041,0.0036,-0.0469,2.2478,104.3968,1.8994,,,
46000,,,,,,,,,,1000,1901.6338,32.0067
46500,,,-145.8293,3.7403,0.0031,-0.0431,2.5997,74.8191,2.4203,,,
47000,,,-144.9548,3.8735,0.0029,-0.0406,2.0907,74.3282,2.4189,,,
47000,,,,,,,,,,1000,1919.9902,32.9047
47500,,,-149.3091,3.5767,0.0034,-0.0442,2.7234,83.9513,2.442,,,
48000,,,-147.4079,3.6212,0.0035,-0.0467,2.6419,71.5013,1.9232,,,
48000,,,,,,,,,,1000,1814.5378,35.3423
48500,,,-148.1726,3.5286,0.0033,-0.0457,2.7142,205.141,1.7939,,,
49000,,,-150.5343,3.9295,0.0034,-0.0452,2.4975,56.3279,3.2803,,,
49000,,,,,,,,,,1000,646.3069,35.5719
49500,,,-147.864,4.1554,0.003,-0.042,2.7614,102.2148,2.6969,,,
50000,,,-156.53,3.6815,0.0031,-0.0427,2.3549,82.8669,2.9571,,,
50000,3166.1212,1000.0,,,,,,,,,,
50000,,,,,,,,,,1000,1874.3663,30.9663
50500,,,-153.3937,5.5923,0.004,-0.0437,2.3852,106.377,3.7466,,,
51000,,,-152.3977,5.1344,0.0034,-0.0458,3.6351,143.6604,2.4934,,,
51000,,,,,,,,,,1000,1488.0402,33.3024
51500,,,-153.4942,4.1514,0.0027,-0.0408,2.2017,85.9708,2.0412,,,
52000,,,-158.0855,3.8727,0.0033,-0.044,2.2384,73.0081,2.2598,,,
52000,,,,,,,,,,1000,2004.1628,34.9765
52500,,,-154.4036,3.4844,0.0032,-0.0444,5.5731,99.1078,2.6008,,,
53000,,,-159.1068,3.9945,0.0034,-0.0461,3.4555,132.6495,2.3479,,,
53000,,,,,,,,,,1000,2293.6089,33.1488
53500,,,-160.1529,4.3422,0.0031,-0.0438,4.4696,138.187,3.2745,,,
54000,,,-153.5257,3.3335,0.0029,-0.0429,2.1475,77.7475,3.1174,,,
54000,,,,,,,,,,1000,2196.3576,36.0266
54500,,,-164.6832,3.1952,0.003,-0.0442,2.3379,76.8058,3.0109,,,
55000,,,-167.4953,4.0362,0.003,-0.0419,2.8066,106.9692,2.0619,,,
55000,3385.6993,1000.0,,,,,,,,,,
55000,,,,,,,,,,1000,2266.6417,31.0091
55500,,,-165.3119,4.2082,0.0034,-0.0452,2.3102,87.2789,3.7949,,,
56000,,,-165.3527,4.5807,0.004,-0.0468,2.1725,72.4767,2.8667,,,
56000,,,,,,,,,,1000,2287.6816,36.2914
56500,,,-165.9993,3.6549,0.0031,-0.0446,2.3508,80.9841,2.6428,,,
57000,,,-165.4443,3.2177,0.0036,-0.0464,2.4508,84.1058,2.0998,,,
57000,,,,,,,,,,1000,2501.1543,34.2638
57500,,,-171.9298,2.9844,0.0037,-0.0476,1.9681,69.0225,3.8876,,,
58000,,,-174.3463,3.6323,0.0036,-0.0459,2.1845,70.7103,3.4307,,,
58000,,,,,,,,,,1000,2432.3607,37.1056
58500,,,-174.5849,3.4551,0.0029,-0.0424,2.4874,126.9989,3.6443,,,
59000,,,-173.584,3.32,0.0032,-0.0438,2.0796,70.7006,3.4872,,,
59000,,,,,,,,,,1000,2526.7324,36.6546
59500,,,-171.4501,2.9422,0.0027,-0.042,1.8408,55.3423,2.1776,,,
60000,,,-173.4062,3.1769,0.0033,-0.045,2.3019,75.9964,2.1433,,,
60000,3677.4267,1000.0,,,,,,,,,,
60000,,,,,,,,,,1000,2529.1827,31.7214
60500,,,-184.1107,3.1993,0.0039,-0.0503,2.0863,57.117,2.8724,,,
61000,,,-181.5196,3.4094,0.0035,-0.0466,2.2141,108.9209,3.4181,,,
61000,,,,,,,,,,1000,2692.7351,30.8444
61500,,,-181.6857,3.7836,0.0037,-0.0488,2.266,75.3653,3.8172,,,
62000,,,-180.5414,3.4825,0.0029,-0.0431,2.3317,124.9081,2.8922,,,
62000,,,,,,,,,,1000,2655.6858,34.516
62500,,,-185.8219,3.6379,0.0031,-0.0404,2.3357,90.8689,2.2775,,,
63000,,,-183.266,3.1293,0.0029,-0.0426,2.185,119.3076,2.8563,,,
63000,,,,,,,,,,1000,2825.5824,36.7607
63500,,,-186.245,3.3614,0.0032,-0.0439,1.9296,56.7927,2.164,,,
64000,,,-190.1534,3.4693,0.0032,-0.0446,2.1575,97.7167,4.1428,,,
64000,,,,,,,,,,1000,2736.8967,36.1942
64500,,,-188.457,3.6887,0.0027,-0.0417,2.5297,64.8969,2.8499,,,
65000,,,-195.046,3.3977,0.0028,-0.0415,2.1176,99.2957,3.0664,,,
65000,3809.7845,1000.0,,,,,,,,,,
65000,,,,,,,,,,1000,3018.6951,31.6356
65500,,,-191.6402,3.6698,0.0035,-0.0457,2.3125,161.0325,3.4781,,,
66000,,,-187.1218,3.0105,0.0031,-0.045,2.0947,181.5589,2.5489,,,
66000,,,,,,,,,,1000,2840.5316,29.8862
66500,,,-193.9552,4.8011,0.003,-0.0429,2.1761,67.651,3.4026,,,
67000,,,-198.019,3.7175,0.0026,-0.0407,1.9515,106.349,4.0918,,,
67000,,,,,,,,,,1000,2939.9037,35.8165
67500,,,-202.1317,3.4946,0.003,-0.0437,2.7403,223.7332,2.9585,,,
68000,,,-203.951,3.5253,0.0029,-0.0429,2.3358,56.7342,3.3695,,,
68000,,,,,,,,,,1000,3048.1295,36.0773
68500,,,-201.2817,3.3361,0.0028,-0.0427,2.3441,110.8296,3.3589,,,
69000,,,-204.5375,3.6105,0.0033,-0.0458,2.2118,116.6062,3.4138,,,
69000,,,,,,,,,,1000,2940.7871,36.158
69500,,,-204.0578,2.9656,0.0028,-0.0424,2.2431,75.2418,3.6176,,,
70000,,,-201.1953,3.908,0.0028,-0.0423,2.2631,65.5208,3.4972,,,
70000,4006.4936,1000.0,,,,,,,,,,
70000,,,,,,,,,,1000,3125.3389,29.3398
70500,,,-207.1567,4.4136,0.0036,-0.048,2.2698,85.1732,3.2933,,,
71000,,,-208.3774,4.4953,0.0043,-0.0473,1.9236,80.4866,4.524,,,
71000,,,,,,,,,,1000,3277.5936,35.445
71500,,,-212.1911,3.1886,0.0026,-0.0393,2.3932,161.1158,3.5594,,,
72000,,,-212.0796,3.1204,0.0028,-0.0422,2.2742,117.0187,4.2483,,,
72000,,,,,,,,,,1000,3312.0287,33.5997
72500,,,-209.5022,3.2826,0.0024,-0.0379,2.3509,80.5926,2.9535,,,
73000,,,-218.9159,3.7997,0.003,-0.0439,2.4022,84.689,3.7809,,,
73000,,,,,,,,,,1000,3276.7233,33.8379
