env_steps,return,length,success,train/return,train/length,train/success,zp_loss,rp_loss,critic_loss,FPS
870000,0.9106,14.3,1.0,0.3014,12.7226,0.6819,0.0011,0.0,0.0014,750.3658
880000,0.9425,9.2,1.0,0.2794,12.6103,0.6709,0.0011,0.0,0.0014,744.1689
890000,0.9256,11.9,1.0,0.266,12.6103,0.6633,0.0011,0.0,0.0014,748.3611
900000,0.9194,12.9,1.0,0.3792,13.1926,0.723,0.0011,0.0,0.0014,745.9166
910000,0.9206,12.7,1.0,0.384,12.8535,0.7249,0.0011,0.0,0.0014,740.4085
920000,0.9119,14.1,1.0,0.3698,13.1926,0.719,0.0011,0.0,0.0014,733.9289
930000,0.9212,12.6,1.0,0.3874,12.9702,0.7263,0.0011,0.0,0.0014,742.699
940000,0.9062,15.0,1.0,0.3942,12.7877,0.7302,0.0011,0.0,0.0014,740.8688
950000,0.9306,11.1,1.0,0.3597,13.1579,0.7132,0.0011,0.0,0.0014,743.625
960000,0.8838,18.6,1.0,0.4032,13.4409,0.7366,0.0011,0.0,0.0014,741.8636
970000,0.9306,11.1,1.0,0.3907,13.1406,0.7293,0.0011,0.0,0.0014,741.7475
980000,0.9181,13.1,1.0,0.3944,13.3511,0.7316,0.0011,0.0,0.0014,741.5237
990000,0.915,13.6,1.0,0.4463,13.0378,0.7575,0.0011,0.0,0.0014,741.5862
1000000,0.9144,13.7,1.0,0.4297,13.1406,0.749,0.0011,0.0,0.0014,739.3987
1010000,0.9313,11.0,1.0,0.3989,12.6904,0.7322,0.0011,0.0,0.0014,733.9673
1020000,0.9194,12.9,1.0,0.4203,13.0039,0.7438,0.0011,0.0,0.0014,728.9899
1030000,0.9269,11.7,1.0,0.4219,13.245,0.7457,0.0011,0.0,0.0014,729.8405
1040000,0.8925,17.2,1.0,0.4276,13.1926,0.748,0.0011,0.0,0.0014,726.0161
1050000,0.8987,16.2,1.0,0.409,13.1406,0.7385,0.0011,0.0,0.0014,728.1975
1060000,0.9106,14.3,1.0,0.4801,12.7551,0.7742,0.0011,0.0,0.0014,733.5416
1070000,0.9144,13.7,1.0,0.4644,13.1579,0.7671,0.0011,0.0,0.0014,729.8505
1080000,0.9169,13.3,1.0,0.4821,13.2275,0.7765,0.0011,0.0,0.0014,723.4243
1090000,0.9256,11.9,1.0,0.4945,12.7226,0.7812,0.0011,0.0,0.0014,721.7382
1100000,0.9206,12.7,1.0,0.4643,13.1406,0.7674,0.0011,0.0,0.0014,723.2661
1110000,0.9262,11.8,1.0,0.4552,13.1752,0.7628,0.0011,0.0,0.0014,729.2005
1120000,0.9219,12.5,1.0,0.4805,13.089,0.7749,0.0011,0.0,0.0014,728.6386
1130000,0.92,12.8,1.0,0.4545,12.9366,0.762,0.0011,0.0,0.0014,721.4087
1140000,0.9037,15.4,1.0,0.5356,13.2979,0.8045,0.0011,0.0,0.0014,724.5379
1150000,0.8925,17.2,1.0,0.5106,13.0208,0.7904,0.0011,0.0,0.0014,723.2503
1160000,0.9156,13.5,1.0,0.5313,13.0719,0.8013,0.0011,0.0,0.0014,720.3453
1170000,0.9094,14.5,1.0,0.5635,13.3869,0.8179,0.0011,0.0,0.0014,722.3411
1180000,0.9225,12.4,1.0,0.5117,13.0548,0.7911,0.0011,0.0,0.0014,717.2334
1190000,0.9144,13.7,1.0,0.4785,13.1062,0.7746,0.0011,0.0,0.0014,716.2957
1200000,0.9125,14.0,1.0,0.4983,13.2802,0.7849,0.0011,0.0,0.0014,714.1515
1210000,0.9231,12.3,1.0,0.5857,13.2802,0.83,0.0011,0.0,0.0014,720.7509
1220000,0.9225,12.4,1.0,0.4774,13.3511,0.7744,0.0012,0.0001,0.0014,716.4672
1230000,0.9406,9.5,1.0,0.5592,13.1579,0.8158,0.0011,0.0,0.0013,716.6254
1240000,0.9106,14.3,1.0,0.5716,12.987,0.8221,0.0011,0.0,0.0013,715.6762
1250000,0.9106,14.3,1.0,0.5606,13.6054,0.8177,0.0011,0.0,0.0013,709.8601
1260000,0.9163,13.4,1.0,0.6091,13.089,0.8416,0.0011,0.0,0.0013,715.884
1270000,0.8881,17.9,1.0,0.541,13.2979,0.8072,0.0011,0.0,0.0014,719.3209
1280000,0.9281,11.5,1.0,0.5978,13.0548,0.8355,0.0011,0.0,0.0013,711.7416
1290000,0.8969,16.5,1.0,0.5272,13.1234,0.7992,0.0011,0.0,0.0013,711.5482
1300000,0.905,15.2,1.0,0.5904,13.6612,0.8333,0.0011,0.0,0.0014,710.7272
1310000,0.9156,13.5,1.0,0.5535,13.4953,0.8138,0.0011,0.0,0.0014,706.9969
1320000,0.905,15.2,1.0,0.5619,12.8041,0.8169,0.0011,0.0,0.0014,707.8049
1330000,0.9219,12.5,1.0,0.6406,13.4771,0.8585,0.0011,0.0,0.0013,712.2448
1340000,0.8881,17.9,1.0,0.5352,13.1579,0.8039,0.0011,0.0,0.0013,714.8331
1350000,0.9112,14.2,1.0,0.5756,13.0548,0.8238,0.0011,0.0,0.0013,711.2276
1360000,0.9256,11.9,1.0,0.5945,13.4048,0.8351,0.0012,0.0,0.0013,707.8869
1370000,0.9181,13.1,1.0,0.6198,13.7552,0.8487,0.0012,0.0,0.0013,710.5524
1380000,0.9113,14.2,1.0,0.5866,13.0719,0.8301,0.0012,0.0,0.0013,704.1407
1390000,0.9031,15.5,1.0,0.5904,13.0719,0.8314,0.0012,0.0,0.0013,701.6707
1400000,0.89,17.6,1.0,0.5952,13.2275,0.8347,0.0012,0.0,0.0013,706.5772
1410000,0.9269,11.7,1.0,0.6199,12.9032,0.8465,0.0012,0.0,0.0013,707.5817
1420000,0.8956,16.7,1.0,0.5965,13.2802,0.8353,0.0012,0.0,0.0013,709.5302
1430000,0.9194,12.9,1.0,0.6235,13.0548,0.8486,0.0012,0.0,0.0013,708.3093
1440000,0.905,15.2,1.0,0.6099,13.4228,0.843,0.0012,0.0,0.0013,701.7024
1450000,0.8962,16.6,1.0,0.665,13.587,0.8709,0.0012,0.0001,0.0014,705.228
1460000,0.9269,11.7,1.0,0.6331,13.6799,0.855,0.0012,0.0,0.0013,702.2746
1470000,0.8906,17.5,1.0,0.6187,13.0378,0.8462,0.0012,0.0,0.0013,706.3015
1480000,0.9331,10.7,1.0,0.5929,13.4771,0.8342,0.0012,0.0,0.0013,704.1168
1490000,0.9206,12.7,1.0,0.6077,13.1579,0.8408,0.0012,0.0,0.0013,704.3462
1500000,0.9163,13.4,1.0,0.6456,13.4771,0.8612,0.0012,0.0,0.0013,704.2837
1510000,0.8956,16.7,1.0,0.65,13.1752,0.863,0.0012,0.0,0.0013,703.7302
1520000,0.8919,17.3,1.0,0.6172,13.2626,0.8462,0.0012,0.0,0.0013,703.2131
1530000,0.9119,14.1,1.0,0.5937,13.4409,0.8347,0.0012,0.0,0.0013,706.0003
1540000,0.9213,12.6,1.0,0.6651,13.21,0.8705,0.0012,0.0,0.0013,692.1892
1550000,0.9262,11.8,1.0,0.6651,13.8889,0.8722,0.0012,0.0,0.0013,694.8492
1560000,0.9225,12.4,1.0,0.6636,13.4048,0.87,0.0012,0.0,0.0013,694.2655
1570000,0.8956,16.7,1.0,0.5912,13.5318,0.8336,0.0012,0.0,0.0013,699.6635
1580000,0.9137,13.8,1.0,0.653,13.8889,0.8653,0.0012,0.0,0.0013,700.5973
1590000,0.9031,15.5,1.0,0.6691,13.587,0.8736,0.0012,0.0,0.0013,691.4074
1600000,0.9206,12.7,1.0,0.6463,13.4409,0.8616,0.0012,0.0,0.0013,698.7537
1610000,0.9156,13.5,1.0,0.6701,13.7552,0.8748,0.0012,0.0,0.0013,699.0631
1620000,0.9144,13.7,1.0,0.6911,13.6799,0.8851,0.0012,0.0,0.0013,689.829
1630000,0.9175,13.2,1.0,0.6525,13.2275,0.8638,0.0012,0.0,0.0013,687.1703
1640000,0.9213,12.6,1.0,0.6942,13.6426,0.8868,0.0012,0.0,0.0013,691.7121
1650000,0.8825,18.8,1.0,0.642,13.6054,0.8585,0.0012,0.0,0.0013,695.2049
1660000,0.9269,11.7,1.0,0.6121,13.4409,0.8441,0.0012,0.0,0.0013,692.7751
1670000,0.92,12.8,1.0,0.6533,13.2626,0.8647,0.0012,0.0,0.0013,694.126
1680000,0.9069,14.9,1.0,0.6493,13.4048,0.8633,0.0012,0.0,0.0013,696.3671
1690000,0.8962,16.6,1.0,0.7013,13.2979,0.8896,0.0012,0.0,0.0013,688.8267
1700000,0.9269,11.7,1.0,0.6963,13.5685,0.8874,0.0012,0.0,0.0013,689.0853
1710000,0.9294,11.3,1.0,0.6793,13.6986,0.8795,0.0012,0.0,0.0013,690.1873
1720000,0.9231,12.3,1.0,0.6696,13.0548,0.8721,0.0012,0.0,0.0013,688.6326
