env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-43.997,1000.0,,,,,,,,,,,,
500,,,1.341,0.693,0.1288,0.51,0.6378,0.2888,0.2091,0.7912,0.3775,,,
1000,,,1.4272,0.6953,0.1451,0.3648,1.022,0.3882,0.3237,1.3369,0.2062,,,
1000,,,,,,,,,,,,1000,-283.2215,67.6998
1500,,,1.4662,0.6889,0.1511,0.5012,0.9308,0.4222,0.3872,1.6197,0.1358,,,
2000,,,1.5604,0.692,0.1673,0.299,1.363,0.4933,0.4846,1.8044,0.2083,,,
2000,,,,,,,,,,,,1000,-334.7089,102.7797
2500,,,1.6276,0.6892,0.1749,-0.4548,1.3518,0.5446,0.5851,1.9248,0.4104,,,
3000,,,1.6231,0.6883,0.1747,-1.2667,2.9479,0.5338,0.623,4.1835,0.8236,,,
3000,,,,,,,,,,,,1000,-363.9545,101.6786
3500,,,1.6931,0.6861,0.1811,-1.842,1.5047,0.5693,0.5778,3.2918,0.3734,,,
4000,,,1.6671,0.6889,0.1774,-2.62,2.1308,0.5634,0.6266,2.9096,0.7349,,,
4000,,,,,,,,,,,,1000,-222.1786,100.3605
4500,,,1.7037,0.6934,0.1842,-3.8368,1.6814,0.59,0.6829,7.2735,0.8731,,,
5000,,,1.7007,0.6893,0.1839,-5.1745,2.3291,0.578,0.6976,6.035,1.0415,,,
5000,38.1157,1000.0,,,,,,,,,,,,
5000,,,,,,,,,,,,1000,-130.0779,80.6435
5500,,,1.6999,0.6981,0.1821,-5.8495,1.7243,0.5878,0.6351,4.3417,0.7751,,,
6000,,,1.688,0.6931,0.1831,-5.9849,2.3619,0.5896,0.6844,2.889,1.1568,,,
6000,,,,,,,,,,,,1000,-208.5163,100.2682
6500,,,1.7198,0.687,0.1862,-7.7943,1.9908,0.5971,0.8058,4.5494,0.9134,,,
7000,,,1.7193,0.6944,0.184,-8.0236,2.3858,0.5932,0.6886,4.4406,1.2728,,,
7000,,,,,,,,,,,,1000,-127.667,101.0817
7500,,,1.7254,0.7,0.186,-9.8192,1.6762,0.6001,0.718,7.323,1.0542,,,
8000,,,1.7311,0.7048,0.1866,-11.3147,2.1975,0.5965,0.7649,3.7915,1.3149,,,
8000,,,,,,,,,,,,1000,130.6741,100.2802
8500,,,1.735,0.6972,0.1873,-13.0657,2.0585,0.6016,0.8069,6.7914,0.8538,,,
9000,,,1.7299,0.7018,0.1872,-14.475,2.6899,0.6095,0.7664,5.2828,1.2271,,,
9000,,,,,,,,,,,,1000,272.4676,100.3368
9500,,,1.7549,0.7035,0.1894,-15.7607,1.8936,0.6285,0.8173,4.0654,0.9741,,,
10000,,,1.7792,0.6969,0.1921,-16.9505,2.3807,0.6467,0.8634,4.3207,0.99,,,
10000,661.8557,1000.0,,,,,,,,,,,,
10000,,,,,,,,,,,,1000,228.8018,82.0935
10500,,,1.8147,0.7162,0.1959,-18.2079,2.3433,0.6585,1.1261,6.2799,1.3922,,,
11000,,,1.8157,0.7106,0.1953,-19.413,2.1022,0.6615,0.959,8.7609,0.7903,,,
11000,,,,,,,,,,,,1000,83.0054,99.999
11500,,,1.8427,0.7102,0.1979,-20.6884,2.6047,0.6764,1.1571,19.0481,1.0903,,,
12000,,,1.8582,0.7148,0.2013,-21.6698,2.4798,0.6983,1.0671,6.7668,0.9656,,,
12000,,,,,,,,,,,,1000,539.2955,101.0137
12500,,,1.8807,0.7093,0.203,-25.8967,2.3307,0.72,1.0436,5.8771,0.9262,,,
13000,,,1.8953,0.7193,0.2039,-25.1789,2.7246,0.7197,1.0312,10.8306,1.4951,,,
13000,,,,,,,,,,,,1000,144.6617,99.8789
13500,,,1.8979,0.7192,0.2044,-27.7393,2.5747,0.7247,1.1423,8.9827,1.2698,,,
14000,,,1.9032,0.7228,0.207,-28.5746,2.4218,0.7418,1.1515,11.6257,0.8855,,,
14000,,,,,,,,,,,,1000,642.5071,100.1451
14500,,,1.9231,0.7096,0.2092,-30.2954,2.7212,0.7505,1.3163,10.0112,2.0259,,,
15000,,,1.9372,0.7258,0.2106,-31.4332,2.4384,0.7808,1.2717,7.6694,1.6067,,,
15000,1302.8448,1000.0,,,,,,,,,,,,
15000,,,,,,,,,,,,1000,205.4603,81.6334
15500,,,1.9526,0.7197,0.2142,-34.4859,2.4232,0.7903,1.2169,6.0582,1.5598,,,
16000,,,1.9277,0.7222,0.2105,-33.9903,2.6253,0.778,1.3402,17.2554,1.2122,,,
16000,,,,,,,,,,,,1000,206.8137,100.293
16500,,,1.9662,0.7214,0.2144,-37.2387,2.6359,0.7982,1.4432,7.6052,1.4075,,,
17000,,,1.9769,0.7251,0.2153,-39.6597,2.5965,0.826,1.9214,19.5819,1.7064,,,
17000,,,,,,,,,,,,1000,639.5547,100.991
17500,,,1.9698,0.7274,0.2128,-41.5609,3.4019,0.8107,1.5104,7.6048,1.965,,,
18000,,,1.9725,0.7184,0.2135,-40.6028,3.4613,0.8089,1.5558,11.2697,1.4376,,,
