env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
23000,,,1.3278,0.7206,0.1371,-43.2228,4.1769,0.3258,2.0801,26.2155,1.7415,,,
23000,,,,,,,,,,,,1000,177.0871,92.8714
23500,,,1.3694,0.7322,0.1424,-45.2087,4.6032,0.3644,2.024,13.981,1.4316,,,
24000,,,1.3562,0.7391,0.1415,-45.8063,3.9396,0.3267,2.5923,16.772,1.2042,,,
24000,,,,,,,,,,,,1000,321.453,96.1342
24500,,,1.3704,0.7322,0.1417,-45.7862,4.1369,0.3588,1.8309,18.4545,1.0719,,,
25000,,,1.3581,0.723,0.1399,-47.3246,4.79,0.3467,2.1653,9.8687,1.5717,,,
25000,701.9618,1000.0,,,,,,,,,,,,
25000,,,,,,,,,,,,1000,278.73,77.4343
25500,,,1.3591,0.7255,0.143,-49.2574,5.8866,0.3601,2.2304,13.5033,1.544,,,
26000,,,1.3989,0.7315,0.1453,-49.7573,5.5011,0.394,2.1284,9.9311,1.3251,,,
26000,,,,,,,,,,,,1000,500.9876,92.8426
26500,,,1.4002,0.7405,0.1457,-52.6379,5.1083,0.3677,2.2455,31.4791,2.7029,,,
27000,,,1.3798,0.7355,0.1419,-52.0303,4.8384,0.3733,2.4274,19.0356,2.2474,,,
27000,,,,,,,,,,,,1000,280.5163,92.6942
27500,,,1.3704,0.733,0.1423,-52.8664,5.1481,0.3589,2.3408,8.737,1.9541,,,
28000,,,1.3864,0.7372,0.1453,-53.3617,4.3202,0.374,2.6398,26.3154,1.9586,,,
28000,,,,,,,,,,,,1000,311.7249,95.0751
28500,,,1.4327,0.739,0.1491,-57.7995,5.8549,0.417,2.094,13.5367,1.6911,,,
29000,,,1.3793,0.7334,0.145,-55.5409,4.4287,0.3595,2.728,13.329,1.1292,,,
29000,,,,,,,,,,,,1000,387.1112,97.6545
29500,,,1.3887,0.7418,0.1443,-62.2828,5.4952,0.3757,2.7757,21.7247,1.9287,,,
30000,,,1.43,0.7324,0.1491,-62.9693,5.4732,0.4237,2.2599,12.2314,1.6423,,,
30000,1995.3075,1000.0,,,,,,,,,,,,
30000,,,,,,,,,,,,1000,401.3088,79.3683
30500,,,1.4253,0.7431,0.1477,-63.8788,5.1445,0.4079,3.0302,26.7046,1.6434,,,
31000,,,1.4347,0.749,0.1486,-66.0799,5.1472,0.4112,2.6057,26.366,1.7437,,,
31000,,,,,,,,,,,,1000,685.7649,92.3169
31500,,,1.4496,0.7413,0.1512,-67.9284,5.3298,0.4367,3.5291,20.2242,2.4401,,,
32000,,,1.4081,0.745,0.1482,-68.3801,5.2702,0.3962,2.8972,17.7622,1.919,,,
32000,,,,,,,,,,,,1000,1242.9135,92.321
32500,,,1.4183,0.7362,0.1483,-74.2686,6.6098,0.4115,3.0966,14.2008,2.1217,,,
33000,,,1.4232,0.7513,0.1479,-73.5339,5.0469,0.4036,2.9834,21.5512,1.7465,,,
33000,,,,,,,,,,,,1000,1099.0228,95.999
33500,,,1.4536,0.7487,0.1536,-76.2233,5.4088,0.4272,2.5575,15.1573,2.3038,,,
34000,,,1.4657,0.7525,0.1525,-79.3992,4.8532,0.4413,4.2092,30.6815,1.7201,,,
34000,,,,,,,,,,,,1000,1135.6597,92.6406
34500,,,1.4577,0.7505,0.1519,-80.2327,6.8735,0.4329,2.7156,24.8268,1.962,,,
35000,,,1.444,0.7463,0.1502,-81.1597,4.6016,0.4226,3.1537,23.2591,1.6667,,,
35000,2085.0529,1000.0,,,,,,,,,,,,
35000,,,,,,,,,,,,1000,568.2349,77.2803
35500,,,1.4681,0.745,0.1537,-83.8979,7.011,0.4612,2.9973,29.9116,1.5961,,,
36000,,,1.4586,0.7501,0.1527,-86.3252,5.5333,0.4399,2.7337,37.7527,2.2292,,,
36000,,,,,,,,,,,,1000,707.0631,94.8804
36500,,,1.4576,0.7542,0.1512,-84.3794,5.8563,0.4519,2.9832,38.8474,3.2177,,,
37000,,,1.4345,0.7443,0.1499,-88.6701,7.0255,0.4225,3.3408,46.2521,2.1328,,,
37000,,,,,,,,,,,,1000,770.1288,94.0884
37500,,,1.4476,0.7496,0.1518,-89.9538,8.896,0.4347,3.7821,24.9481,2.4411,,,
38000,,,1.4576,0.7599,0.1533,-93.3148,5.6147,0.4308,3.2523,20.1988,1.6989,,,
38000,,,,,,,,,,,,1000,597.8972,93.3582
38500,,,1.4599,0.7562,0.154,-92.5623,6.6315,0.4323,3.0335,26.7123,1.3763,,,
39000,,,1.4528,0.7595,0.1513,-93.5216,5.1964,0.4242,4.0309,47.9781,1.7926,,,
39000,,,,,,,,,,,,1000,656.0379,93.843
39500,,,1.4626,0.7614,0.1527,-93.7312,5.7044,0.4444,3.3273,27.1896,1.6471,,,
40000,,,1.4668,0.7632,0.1553,-98.4381,7.3287,0.4357,4.5382,26.5087,3.1069,,,
40000,2046.7138,1000.0,,,,,,,,,,,,
40000,,,,,,,,,,,,1000,1287.0642,77.0762
40500,,,1.4543,0.7643,0.1514,-99.1932,4.9946,0.4217,2.8418,16.3701,1.6886,,,
41000,,,1.4518,0.7525,0.1523,-101.1862,5.2869,0.4283,3.9021,27.2862,2.0133,,,
41000,,,,,,,,,,,,1000,713.4225,97.2844
41500,,,1.463,0.7668,0.1536,-104.774,5.0196,0.4287,2.8285,15.4874,1.9713,,,
42000,,,1.4371,0.7637,0.1522,-101.6328,5.7104,0.3996,3.0247,25.8938,1.9175,,,
42000,,,,,,,,,,,,1000,1523.4106,95.5696
42500,,,1.4872,0.7634,0.1553,-106.4497,5.0587,0.4577,3.1683,50.4268,1.9985,,,
43000,,,1.4626,0.7562,0.1537,-109.1778,5.7964,0.438,3.0538,38.3249,1.7645,,,
43000,,,,,,,,,,,,1000,727.8935,95.7729
43500,,,1.4399,0.7645,0.1514,-108.818,7.0224,0.3951,3.6878,27.6834,3.4165,,,
44000,,,1.4646,0.7637,0.1535,-111.8116,6.9893,0.4286,3.3609,21.0598,2.0917,,,
44000,,,,,,,,,,,,1000,1624.5343,93.3891
44500,,,1.478,0.7709,0.1559,-112.044,5.7697,0.4446,3.9958,30.3535,2.3132,,,
45000,,,1.4503,0.7674,0.1514,-113.3809,6.5092,0.417,3.5607,33.3508,2.9507,,,
45000,2395.5986,1000.0,,,,,,,,,,,,
45000,,,,,,,,,,,,1000,1207.7382,77.9581
45500,,,1.428,0.7626,0.1493,-113.4988,4.8397,0.3988,3.3862,55.9211,1.7362,,,
46000,,,1.44,0.7697,0.1504,-118.9146,6.1472,0.3925,3.3647,31.1826,1.5614,,,
46000,,,,,,,,,,,,1000,1485.7543,93.309
46500,,,1.4927,0.7719,0.1564,-121.126,6.573,0.4656,3.9506,113.2462,2.8538,,,
47000,,,1.5075,0.7669,0.1591,-120.5649,6.5471,0.4743,3.6744,30.3042,1.2876,,,
47000,,,,,,,,,,,,1000,1130.0375,93.4256
47500,,,1.487,0.7685,0.1561,-121.4242,6.3472,0.453,3.8584,34.9841,2.8063,,,
48000,,,1.4729,0.7696,0.1547,-120.1628,6.0789,0.442,3.6602,58.9074,2.5472,,,
48000,,,,,,,,,,,,1000,1005.2198,92.4068
48500,,,1.4461,0.7636,0.1511,-123.4572,7.6732,0.4064,2.6405,34.164,2.3273,,,
49000,,,1.4574,0.7694,0.1536,-121.7879,5.238,0.4202,3.3124,27.7269,1.6948,,,
49000,,,,,,,,,,,,1000,849.9976,92.2108
49500,,,1.4584,0.7721,0.153,-125.3942,6.2492,0.4078,4.7732,34.715,3.2588,,,
50000,,,1.4478,0.7626,0.15,-125.82,7.348,0.4121,3.8467,32.5584,1.9776,,,
50000,2105.2532,1000.0,,,,,,,,,,,,
50000,,,,,,,,,,,,1000,953.2617,77.2014
50500,,,1.4693,0.7754,0.1526,-124.6697,6.3717,0.428,4.6475,81.2823,1.636,,,
51000,,,1.4502,0.7665,0.1518,-128.4443,7.8975,0.4154,3.6279,50.6885,2.5082,,,
51000,,,,,,,,,,,,1000,734.9651,93.8746
51500,,,1.4096,0.7645,0.1464,-125.5102,4.6539,0.369,3.6549,28.1585,1.6005,,,
52000,,,1.4586,0.7825,0.1539,-126.7481,12.86,0.397,2.705,67.134,2.2949,,,
52000,,,,,,,,,,,,1000,913.3013,92.362
52500,,,1.4428,0.7752,0.1501,-130.2899,5.1436,0.3901,5.0361,34.4161,1.5348,,,
53000,,,1.4305,0.7792,0.1494,-130.7105,5.4026,0.3802,4.0619,78.5263,3.0729,,,
53000,,,,,,,,,,,,1000,825.812,92.627
53500,,,1.4692,0.781,0.1541,-133.5667,6.9652,0.4138,3.3777,29.8219,3.339,,,
