env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
15500,,,,,,1918.7446,1924.3018,10026.333,1918.7446,2.1481,72.5996,0.1806
15509,,,1600,-118.8573,66.9718,,,,,,,
16000,,,,,,2014.2612,2019.5887,11279.3037,2014.2612,2.3523,88.8173,0.2071
16500,,,,,,2087.8154,2092.1792,8851.5732,2087.8154,1.127,69.4557,0.1964
16882,,,1373,-193.2268,82.5326,,,,,,,
17000,,,,,,2277.3936,2282.5361,12760.4492,2277.3936,1.4879,38.5325,0.2447
17500,,,,,,2146.2598,2151.2759,11038.8486,2146.2598,1.5815,61.5442,0.2179
17786,,,904,-201.8193,84.9645,,,,,,,
18000,,,,,,2317.5137,2322.1077,13279.1035,2317.5137,1.4759,53.259,0.2757
18261,,,475,-156.4737,84.4073,,,,,,,
18500,,,,,,2238.251,2244.2959,18841.6348,2238.251,1.9144,74.0424,0.3369
19000,,,,,,2405.4539,2410.9771,19715.0703,2405.4539,1.1921,83.2179,0.2448
19500,,,,,,2301.4707,2306.4478,16895.3145,2301.4707,2.6681,129.7853,0.2386
19861,,,1600,-139.7077,84.8623,,,,,,,
19937,,,76,-107.659,85.5329,,,,,,,
19999,,,62,-106.1937,85.5429,,,,,,,
20000,,,,,,2424.2949,2428.8088,13493.9385,2424.2949,1.4568,62.8718,0.4672
20000,-115.9699,72.9,,,,,,,,,,
20167,,,168,-118.4637,73.9188,,,,,,,
20230,,,63,-115.2578,83.992,,,,,,,
20297,,,67,-108.3848,85.1478,,,,,,,
20372,,,75,-112.762,83.6157,,,,,,,
20500,,,,,,2464.9187,2470.373,19931.0586,2464.9187,1.6919,57.1195,0.4613
20527,,,155,-113.4827,82.2219,,,,,,,
20692,,,165,-110.4144,85.0182,,,,,,,
20842,,,150,-113.4303,85.5804,,,,,,,
20922,,,80,-119.2831,85.2927,,,,,,,
21000,,,,,,2504.9241,2510.7512,24373.0625,2504.9241,1.8744,88.3323,0.4717
21007,,,85,-104.5111,82.9452,,,,,,,
21098,,,91,-101.9146,81.5177,,,,,,,
21187,,,89,-108.4592,86.8338,,,,,,,
21251,,,64,-100.5712,81.4228,,,,,,,
21315,,,64,-100.444,84.4182,,,,,,,
21377,,,62,-101.6536,83.8254,,,,,,,
21446,,,69,-99.672,80.456,,,,,,,
21500,,,,,,2582.0942,2588.9512,12945.4453,2582.0942,2.1672,64.0913,0.392
