env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
26500,,,-129.6179,3.7218,0.0043,-0.0525,2.2587,60.3131,1.9769,,,
27000,,,-128.6987,3.9163,0.004,-0.0485,3.4135,89.5655,2.3601,,,
27000,,,,,,,,,,1000,1771.7902,82.9585
27500,,,-129.9067,4.1719,0.0039,-0.048,2.1793,84.7478,2.3431,,,
28000,,,-130.9226,3.4655,0.0043,-0.0498,2.2182,47.1675,2.2422,,,
28000,,,,,,,,,,1000,1745.5613,82.5907
28500,,,-135.036,3.7811,0.0036,-0.0473,2.0979,49.6622,2.8211,,,
29000,,,-136.1804,4.3866,0.0043,-0.0481,3.2002,158.1898,3.6194,,,
29000,,,,,,,,,,1000,1457.4488,82.4437
29500,,,-139.6765,3.719,0.004,-0.0477,2.3618,98.4905,1.944,,,
30000,,,-140.6416,3.8689,0.0035,-0.0475,2.9815,92.1976,2.2348,,,
30000,3535.5609,1000.0,,,,,,,,,,
30000,,,,,,,,,,1000,1972.705,73.7105
30500,,,-140.6036,3.8944,0.0034,-0.0431,3.0366,127.1063,2.2814,,,
31000,,,-143.0928,3.9597,0.0045,-0.0524,2.4042,70.0962,4.0561,,,
31000,,,,,,,,,,1000,2110.6694,82.296
31500,,,-151.4927,3.3144,0.0036,-0.0472,2.437,103.9894,3.6998,,,
32000,,,-150.3464,3.6968,0.0043,-0.0501,2.6919,117.6921,2.0713,,,
32000,,,,,,,,,,1000,2036.319,81.8184
32500,,,-157.0022,4.802,0.0043,-0.0511,2.8695,62.4151,3.5228,,,
33000,,,-158.1616,3.7832,0.0041,-0.0495,2.8051,91.8926,4.7624,,,
33000,,,,,,,,,,1000,2325.0019,82.4345
33500,,,-162.6495,4.0228,0.0039,-0.048,2.5378,59.0704,1.9307,,,
34000,,,-160.6326,3.9503,0.0033,-0.0463,2.5918,98.5115,4.2182,,,
34000,,,,,,,,,,1000,2357.0306,82.2614
34500,,,-165.144,3.9999,0.0042,-0.0507,3.1383,175.0251,3.0865,,,
35000,,,-164.4805,4.3267,0.0039,-0.0479,2.4935,86.8816,2.6648,,,
35000,4074.5222,1000.0,,,,,,,,,,
35000,,,,,,,,,,1000,2356.1406,75.9839
35500,,,-171.0396,5.1982,0.0041,-0.0492,4.3976,111.6322,2.0579,,,
36000,,,-176.9923,3.9596,0.0036,-0.0452,2.7362,84.3535,3.0879,,,
36000,,,,,,,,,,1000,2616.9988,82.0974
36500,,,-173.6497,6.582,0.0037,-0.0482,2.8774,110.0008,3.8079,,,
37000,,,-181.1761,4.5229,0.0035,-0.0468,2.623,75.6621,2.3273,,,
37000,,,,,,,,,,1000,2646.4098,83.8806
37500,,,-181.6572,4.8607,0.0037,-0.0479,2.8236,78.411,3.3733,,,
38000,,,-190.4559,5.8467,0.0038,-0.0493,2.9119,84.0679,4.085,,,
38000,,,,,,,,,,1000,2646.4477,81.7933
38500,,,-188.7179,4.2097,0.0043,-0.0513,2.9541,86.3185,3.7886,,,
39000,,,-190.2789,5.3997,0.0039,-0.0497,3.213,87.8499,2.7055,,,
39000,,,,,,,,,,1000,2636.6083,83.1093
39500,,,-198.0603,3.918,0.0039,-0.0495,3.5093,111.5763,2.285,,,
40000,,,-199.907,4.7926,0.0039,-0.0488,3.2138,203.619,3.3385,,,
40000,4453.8195,1000.0,,,,,,,,,,
40000,,,,,,,,,,1000,2791.8,76.0307
40500,,,-207.9049,4.1682,0.0039,-0.0481,3.0606,95.1668,3.6215,,,
41000,,,-208.4083,4.9184,0.0036,-0.0469,3.1313,99.8326,3.3362,,,
41000,,,,,,,,,,1000,2843.328,82.4311
41500,,,-214.972,5.5863,0.0041,-0.0489,3.2258,136.341,6.9374,,,
42000,,,-215.2659,5.1941,0.0037,-0.0472,3.1583,90.6186,5.4037,,,
42000,,,,,,,,,,1000,2893.1571,82.7288
42500,,,-216.9283,5.2958,0.0047,-0.0519,3.5109,133.9967,4.586,,,
43000,,,-220.7149,4.7251,0.0038,-0.0486,4.0815,160.6669,4.8109,,,
43000,,,,,,,,,,1000,2681.9296,75.1388
43500,,,-223.2751,5.501,0.0036,-0.0482,3.5023,166.5713,3.215,,,
44000,,,-227.5827,4.6256,0.0035,-0.0484,3.5761,147.1838,3.3364,,,
44000,,,,,,,,,,1000,3029.4654,81.0068
44500,,,-227.8238,4.8533,0.0041,-0.0503,3.5417,133.057,5.3175,,,
45000,,,-236.3704,4.5472,0.0037,-0.0474,3.8119,87.1889,4.3262,,,
45000,4499.6974,1000.0,,,,,,,,,,
45000,,,,,,,,,,1000,3055.0421,72.9278
45500,,,-241.0807,4.4179,0.0046,-0.0509,3.2764,93.3742,3.6154,,,
46000,,,-240.3478,3.896,0.0038,-0.0468,3.6868,262.3061,3.1764,,,
46000,,,,,,,,,,1000,3244.5358,82.3094
46500,,,-245.9333,4.4473,0.0047,-0.0545,3.8145,248.4025,6.3426,,,
47000,,,-241.6057,4.0428,0.0033,-0.0461,3.6003,121.6206,5.7974,,,
47000,,,,,,,,,,1000,3263.1643,82.2109
47500,,,-251.8701,4.7941,0.0036,-0.049,3.8935,184.74,3.1431,,,
48000,,,-251.5919,4.1679,0.004,-0.0461,3.4242,217.1032,5.4149,,,
48000,,,,,,,,,,1000,3215.7704,83.0247
48500,,,-255.9922,4.4762,0.0036,-0.0468,3.5743,196.4915,2.3229,,,
49000,,,-257.008,4.7788,0.0034,-0.0466,3.401,101.0763,2.2411,,,
