env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5969,1000.0,,,,,,,,,,
500,,,-0.3543,0.8856,0.0127,-0.0941,0.2441,1.0386,0.3042,,,
1000,,,-0.9406,0.7836,0.0189,-0.1095,0.4015,1.7574,0.2832,,,
1000,,,,,,,,,,1000,-308.0035,53.8465
1500,,,-2.1543,1.2248,0.0121,-0.0936,0.6666,7.8918,0.4947,,,
2000,,,-3.8915,1.8058,0.0166,-0.1106,0.8185,8.5256,0.7812,,,
2000,,,,,,,,,,1000,-194.0262,86.6536
2500,,,-6.4352,3.1373,0.0181,-0.1111,0.9145,7.6734,1.4259,,,
3000,,,-9.3098,4.2934,0.0206,-0.1233,0.9965,10.5433,1.0993,,,
3000,,,,,,,,,,1000,-82.8561,83.8976
3500,,,-11.4991,4.0591,0.0162,-0.1097,1.1306,9.2255,1.0096,,,
4000,,,-12.7364,3.6621,0.0157,-0.1068,1.2119,15.0125,0.7041,,,
4000,,,,,,,,,,1000,-338.4701,82.906
4500,,,-16.0585,4.1153,0.0155,-0.1064,1.2737,14.3266,1.266,,,
5000,,,-18.5306,5.026,0.015,-0.1046,1.3667,19.5128,1.3089,,,
5000,-275.7622,1000.0,,,,,,,,,,
5000,,,,,,,,,,1000,-72.5861,72.4098
5500,,,-20.3541,4.5175,0.016,-0.1075,1.6589,27.4752,1.3304,,,
6000,,,-21.0445,5.165,0.0148,-0.1036,1.7734,36.2265,1.1824,,,
6000,,,,,,,,,,1000,-349.7587,82.4949
6500,,,-25.31,5.7017,0.0147,-0.1029,2.0952,49.8407,1.4278,,,
7000,,,-26.6114,5.4555,0.0143,-0.1014,2.1596,40.4981,1.6127,,,
7000,,,,,,,,,,1000,-311.5215,82.6925
7500,,,-31.6535,5.4076,0.0129,-0.0949,2.2125,30.1535,1.9842,,,
8000,,,-34.3561,5.8643,0.0177,-0.0897,2.2199,35.1328,2.0089,,,
8000,,,,,,,,,,1000,130.1653,82.4429
8500,,,-36.4024,4.9212,0.0117,-0.0909,2.1683,43.2225,1.2962,,,
9000,,,-36.3515,5.4519,0.0116,-0.0835,2.0334,48.0188,2.4454,,,
9000,,,,,,,,,,1000,-319.8249,83.7535
9500,,,-38.7068,4.3451,0.0108,-0.0861,1.8325,29.0884,1.5936,,,
10000,,,-40.2454,4.5805,0.0106,-0.0825,1.5066,22.9782,2.2336,,,
10000,859.5173,1000.0,,,,,,,,,,
10000,,,,,,,,,,1000,423.4994,73.2896
10500,,,-42.4389,3.5387,0.0096,-0.0812,1.4549,27.9959,1.5493,,,
11000,,,-43.7488,3.9001,0.0107,-0.0843,1.4876,34.7181,1.6018,,,
11000,,,,,,,,,,1000,406.0713,84.3075
11500,,,-45.4179,3.9601,0.0128,-0.0833,1.4531,23.5952,1.8589,,,
12000,,,-44.3102,3.335,0.0099,-0.0782,1.3178,27.7918,1.9402,,,
12000,,,,,,,,,,1000,41.1218,84.0031
12500,,,-47.6724,2.8527,0.0098,-0.0797,1.0683,22.0736,1.2977,,,
13000,,,-45.8646,3.0546,0.0098,-0.078,1.129,32.3432,1.5829,,,
13000,,,,,,,,,,1000,-70.5871,83.0378
13500,,,-47.4165,3.0319,0.0088,-0.0656,1.2427,35.7789,1.5734,,,
14000,,,-47.2404,3.4594,0.008,-0.0712,1.0505,19.2593,1.5769,,,
14000,,,,,,,,,,1000,-31.9849,86.4292
14500,,,-47.8236,4.1087,0.009,-0.076,1.2021,26.6145,1.1982,,,
15000,,,-51.7376,3.9549,0.0083,-0.0752,1.1971,28.3982,1.7035,,,
15000,1156.6896,1000.0,,,,,,,,,,
15000,,,,,,,,,,1000,591.1025,75.64
15500,,,-53.8413,3.6446,0.0075,-0.0697,1.1395,33.9146,1.3348,,,
16000,,,-49.7664,3.6095,0.0067,-0.0561,1.1124,22.1411,2.469,,,
16000,,,,,,,,,,1000,-75.1913,83.0144
16500,,,-53.8005,3.14,0.0071,-0.0671,1.0429,27.2385,1.2113,,,
17000,,,-55.8358,4.1751,0.0064,-0.065,1.2066,58.1746,1.5371,,,
17000,,,,,,,,,,1000,47.9178,82.6133
