env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
6959,,,67,-105.6049,17.421,,,,,,,,,,,,,,,
7000,,,,,,50,4,1,791.5792,1.2452,0.4128,3.5983,0.4308,55.4956,31.198,39.6238,-3.9322,1.9187,25.3257,0.6088
7039,,,80,-103.3464,17.7266,,,,,,,,,,,,,,,
7092,,,53,-108.7738,18.878,,,,,,,,,,,,,,,
7160,,,68,-104.6855,18.0726,,,,,,,,,,,,,,,
7211,,,51,-104.9998,18.5325,,,,,,,,,,,,,,,
7258,,,47,-107.1779,18.4948,,,,,,,,,,,,,,,
7305,,,47,-108.4244,17.825,,,,,,,,,,,,,,,
7365,,,60,-114.1821,17.6419,,,,,,,,,,,,,,,
7446,,,81,-114.7634,18.3604,,,,,,,,,,,,,,,
7500,,,,,,50,4,1,839.6561,1.1714,1.1908,4.552,1.2136,97.2348,44.9428,80.9063,-5.128,2.6903,127.6273,0.0084
7529,,,83,-114.8842,18.0567,,,,,,,,,,,,,,,
7570,,,41,-117.3931,15.6246,,,,,,,,,,,,,,,
7656,,,86,-111.7272,16.885,,,,,,,,,,,,,,,
7726,,,70,-112.823,19.2268,,,,,,,,,,,,,,,
7828,,,102,-113.8311,15.2986,,,,,,,,,,,,,,,
7873,,,45,-116.8072,14.7254,,,,,,,,,,,,,,,
8000,,,,,,50,4,1,841.609,1.0057,0.4139,3.9508,0.4336,57.9194,41.4382,37.5355,-4.1396,9.9588,1139.9996,0.0043
8001,,,128,-114.4558,17.4752,,,,,,,,,,,,,,,
8106,,,105,-113.3594,19.2068,,,,,,,,,,,,,,,
8246,,,140,-114.327,19.0618,,,,,,,,,,,,,,,
8339,,,93,-117.326,17.3688,,,,,,,,,,,,,,,
8377,,,38,-117.7786,16.6587,,,,,,,,,,,,,,,
8500,,,,,,50,4,1,936.1387,2.2476,1.5765,4.7413,1.6002,133.5831,57.3546,110.4615,-4.9555,11.2494,915.9984,0.0
8521,,,144,-116.906,17.9321,,,,,,,,,,,,,,,
8572,,,51,-110.5261,19.1808,,,,,,,,,,,,,,,
8684,,,112,-112.9839,17.6499,,,,,,,,,,,,,,,
8810,,,126,-115.0612,18.0639,,,,,,,,,,,,,,,
8934,,,124,-112.8428,17.1763,,,,,,,,,,,,,,,
9000,,,,,,50,5,1,904.5464,1.3427,1.1912,2.7401,1.2049,123.3907,36.7969,101.0795,-2.7063,5.1927,565.8481,0.1043
9056,,,122,-115.3666,18.559,,,,,,,,,,,,,,,
9207,,,151,-116.9106,18.7939,,,,,,,,,,,,,,,
9324,,,117,-115.6457,17.943,,,,,,,,,,,,,,,
9443,,,119,-115.3342,18.8701,,,,,,,,,,,,,,,
9500,,,,,,50,5,1,956.9403,1.1234,1.1847,4.4128,1.2068,113.3924,29.9799,90.4926,-4.4382,12.8715,1496.0887,0.0
9779,,,336,-127.5287,17.8312,,,,,,,,,,,,,,,
9898,,,119,-115.2228,17.1247,,,,,,,,,,,,,,,
10000,,,,,,49,5,1,1008.4352,1.4383,1.1893,3.003,1.2043,91.6526,41.2652,65.1407,-3.0811,15.323,1633.6414,0.0001
10000,-116.0801,131.0,,,,,,,,,,,,,,,,,,
10060,,,162,-115.2377,16.9758,,,,,,,,,,,,,,,
10232,,,172,-119.1691,19.6215,,,,,,,,,,,,,,,
10333,,,101,-114.6246,18.42,,,,,,,,,,,,,,,
10500,,,,,,48,5,1,1085.8284,1.1756,1.9616,1.216,1.9677,154.7689,56.8025,125.1718,-0.7784,8.52,272.0397,0.0
10500,,,167,-117.8,17.9533,,,,,,,,,,,,,,,
10705,,,205,-122.1995,17.9823,,,,,,,,,,,,,,,
10814,,,109,-117.6141,19.1537,,,,,,,,,,,,,,,
10937,,,123,-117.489,17.947,,,,,,,,,,,,,,,
10980,,,43,-119.0629,19.9156,,,,,,,,,,,,,,,
11000,,,,,,46,4,1,1089.3927,1.4169,1.5761,3.2838,1.5925,125.2304,38.685,96.5087,-3.9196,13.2201,946.6821,0.0
11022,,,42,-116.4624,18.8201,,,,,,,,,,,,,,,
11068,,,46,-116.727,18.7236,,,,,,,,,,,,,,,
11125,,,57,-114.0201,18.9452,,,,,,,,,,,,,,,
11288,,,163,-116.8894,17.6967,,,,,,,,,,,,,,,
11435,,,147,-115.2822,17.9812,,,,,,,,,,,,,,,
11500,,,,,,43,4,1,1109.595,1.2654,2.7353,3.221,2.7514,215.8977,161.8776,186.8512,-3.0366,12.5814,1414.8827,0.0
11509,,,74,-116.1837,17.9282,,,,,,,,,,,,,,,
11587,,,78,-115.9577,17.8673,,,,,,,,,,,,,,,
11628,,,41,-118.5214,17.1243,,,,,,,,,,,,,,,
11723,,,95,-114.1279,17.5907,,,,,,,,,,,,,,,
11763,,,40,-118.1044,18.1203,,,,,,,,,,,,,,,
11888,,,125,-115.3372,19.6466,,,,,,,,,,,,,,,
11949,,,61,-112.6733,19.9369,,,,,,,,,,,,,,,
12000,,,,,,41,5,1,1201.3057,1.4866,1.1908,2.956,1.2055,99.1349,78.2866,65.0141,-2.79,14.4958,221.3931,0.0
12132,,,183,-118.2476,18.4247,,,,,,,,,,,,,,,
12217,,,85,-112.8738,17.8947,,,,,,,,,,,,,,,
12288,,,71,-115.6448,18.2256,,,,,,,,,,,,,,,
12418,,,130,-113.0876,18.2077,,,,,,,,,,,,,,,
12500,,,,,,39,4,1,1206.0222,1.5818,1.5754,3.7502,1.5941,127.4412,75.9622,93.3548,-4.1971,18.4099,2991.5317,0.0
12568,,,150,-118.1752,18.4525,,,,,,,,,,,,,,,
12636,,,68,-114.6908,19.8847,,,,,,,,,,,,,,,
12784,,,148,-118.7185,19.9319,,,,,,,,,,,,,,,
12896,,,112,-117.0907,19.7664,,,,,,,,,,,,,,,
12964,,,68,-115.2034,18.0931,,,,,,,,,,,,,,,
13000,,,,,,34,4,1,1299.3003,1.0431,0.8001,7.6801,0.8385,74.1719,32.7207,33.1675,-9.8808,19.9255,1026.9083,0.0
13010,,,46,-116.3114,17.6471,,,,,,,,,,,,,,,
13076,,,66,-113.4656,18.1546,,,,,,,,,,,,,,,
