env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-73.6487,693.1,,,,,,,,,,,,,,,,,,
61,,,61,-105.7392,2.8593,,,,,,,,,,,,,,,
130,,,69,-117.8653,2.81,,,,,,,,,,,,,,,
178,,,48,-117.3408,2.2814,,,,,,,,,,,,,,,
285,,,107,-118.7727,2.5975,,,,,,,,,,,,,,,
362,,,77,-112.6135,2.3146,,,,,,,,,,,,,,,
500,,,,,,50,50,25,65.1678,10.5918,0.3994,18.4981,18.8975,366.3083,60.979,365.6608,-17.9054,40.0821,12.1366,0.0053
1000,,,,,,50,50,5,21.0476,28.1552,0.4014,49.0899,49.4913,2243.5945,205.4272,2242.2622,-44.7957,0.3616,4.8458,0.0
1500,,,,,,50,50,3,26.2472,32.3281,0.3984,61.0123,61.4107,3901.7461,271.4076,3899.968,-55.5708,0.1235,4.435,0.0
1962,,,1600,-123.3317,2.4435,,,,,,,,,,,,,,,
2000,,,,,,50,50,1,35.5731,35.2866,0.3966,80.1675,80.5641,5623.0312,144.974,5620.938,-82.4593,37.2498,8.6583,0.0
2500,,,,,,50,50,1,35.089,34.7277,0.3993,80.3992,80.7985,6133.0005,72.3017,6130.6821,-79.3866,37.2344,7.5953,0.0
3000,,,,,,50,50,1,37.0329,34.2916,0.0077,82.2541,82.2618,6428.1162,209.0865,6425.3984,-78.7351,36.7995,11.8681,0.0
3500,,,,,,50,50,1,38.4893,32.3677,0.7846,67.9466,68.7312,4808.8467,732.9899,4805.9688,-77.0498,18.4665,7.1447,0.0
3562,,,1600,-129.9386,2.4962,,,,,,,,,,,,,,,
4000,,,,,,47,46,1,2281.5491,31.9696,0.7842,69.3337,70.1179,4025.623,3.6118,4022.4578,-75.3321,36.4941,3.3741,0.0
4500,,,,,,43,43,1,2449.4873,29.0393,0.3966,75.8553,76.252,6375.4932,40.5593,6372.1772,-83.9685,54.5396,10.4124,0.0
5000,,,,,,35,35,1,2508.3223,29.3725,0.3972,58.4781,58.8753,2390.7051,30.5247,2387.3137,-60.4052,0.041,4.8913,0.0
5000,-178.594,1600.0,,,,,,,,,,,,,,,,,,
5162,,,1600,-126.8121,2.3318,,,,,,,,,,,,,,,
5500,,,,,,32,30,1,2681.1475,28.1386,0.3945,75.9383,76.3328,6892.0508,15.926,6888.2446,-81.1237,0.1422,11.7145,0.0
6000,,,,,,26,24,1,2758.6152,26.5819,0.0077,31.9739,31.9816,620.4154,83.4859,616.6365,-29.3537,0.0378,2.5667,0.0
6500,,,,,,20,19,1,2803.5103,24.8481,0.008,74.2414,74.2495,10257.4307,24.443,10253.6914,-77.7976,0.0362,4.8546,0.0001
6762,,,1600,-129.5567,2.4974,,,,,,,,,,,,,,,
7000,,,,,,16,16,1,2828.1028,24.3882,0.0071,71.623,71.6302,9536.8096,2.6553,9532.9404,-75.8123,0.0383,2.9155,0.0
7500,,,,,,15,14,1,2784.9211,25.6463,0.0057,64.6385,64.6441,2277.5759,117.4174,2273.5642,-63.7456,17.9298,13.1766,0.0
8000,,,,,,16,15,1,2926.3394,22.2087,0.3959,42.1344,42.5303,897.5764,18.7898,893.6892,-43.044,0.0303,2.9496,0.0
8362,,,1600,-131.5998,2.5039,,,,,,,,,,,,,,,
8500,,,,,,11,11,1,2936.8394,2.1462,0.3945,7.8359,8.2304,115.4249,0.5121,111.5413,-4.9297,0.0439,3.2772,0.0
9000,,,,,,16,15,1,2915.4739,3.1583,0.0064,0.4397,0.4461,57.6414,40.3308,53.8757,-0.6006,0.0337,2.0795,0.0
9500,,,,,,16,12,1,2685.7009,10.9024,0.0052,22.7425,22.7477,291.3729,555.2964,287.4415,-17.1652,0.0294,2.3524,0.0
9962,,,1600,-127.7014,2.506,,,,,,,,,,,,,,,
10000,,,,,,17,13,1,2778.1453,6.8924,0.3939,5.804,6.1979,139.4272,463.4267,135.4374,-3.1309,35.8927,9.4264,0.0001
10000,-178.5713,1600.0,,,,,,,,,,,,,,,,,,
10500,,,,,,15,13,1,2920.2195,23.8635,0.3943,33.4715,33.8659,463.5628,36.0216,459.526,-32.9474,0.0248,0.9541,0.0
11000,,,,,,14,11,1,2748.561,24.1637,0.0062,35.9687,35.9749,493.5119,56.3588,489.327,-34.6777,35.7927,15.9757,0.0
11500,,,,,,8,7,1,2931.314,22.2009,0.0051,38.8793,38.8844,883.5885,34.4501,879.3243,-34.7868,0.0142,0.7033,0.0
11562,,,1600,-132.9662,2.3924,,,,,,,,,,,,,,,
12000,,,,,,11,8,1,2917.5469,22.3356,0.0058,45.8774,45.8833,939.6581,135.2221,935.2264,-45.7668,17.704,6.8584,0.0
12500,,,,,,15,8,1,2476.6011,20.5701,0.005,49.4746,49.4797,2059.1494,431.5198,2054.8516,-41.6986,17.9117,5.7571,0.0
13000,,,,,,10,7,1,2765.606,14.5022,0.0058,15.2792,15.285,498.7536,87.2033,494.1439,-15.1731,0.0883,7.0684,0.0
13162,,,1600,-128.0687,2.5595,,,,,,,,,,,,,,,
13500,,,,,,10,7,1,2716.2285,21.8894,0.0058,62.4603,62.4661,5997.4067,1992.51,5992.7446,-63.8125,35.4172,10.7534,0.0
14000,,,,,,10,7,1,2651.2725,26.0707,0.006,59.9019,59.9079,2820.0144,1220.9169,2815.1003,-57.3385,17.631,2.9723,0.0
14500,,,,,,11,7,1,2598.4241,30.3648,0.0049,95.0978,95.1027,8112.9028,3902.1553,8108.0103,-76.3173,0.0323,3.2184,0.0
14762,,,1600,-135.3404,2.445,,,,,,,,,,,,,,,
15000,,,,,,10,7,1,2780.7917,26.3846,0.0046,111.0998,111.1044,20947.5117,60791.0,20942.5273,-105.329,0.0316,2.3646,0.0
15000,-163.6844,1555.9,,,,,,,,,,,,,,,,,,
