env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
8931,,,16,-9.7689,92.8839,,,,,,,,,
8939,,,8,-7.0446,92.6222,,,,,,,,,
8948,,,9,-2.2117,92.2219,,,,,,,,,
8955,,,7,-3.4932,91.6859,,,,,,,,,
8971,,,16,-7.8992,93.1007,,,,,,,,,
8981,,,10,-2.9112,93.4799,,,,,,,,,
8997,,,16,-8.6911,93.4285,,,,,,,,,
9000,,,,,,1.962,1.0856,0.1783,-73.7139,10.5747,1.0247,54.7487,213.4432,2.1851
9012,,,15,-4.4261,92.9877,,,,,,,,,
9032,,,20,-4.9078,93.3804,,,,,,,,,
9045,,,13,-9.4943,93.4028,,,,,,,,,
9065,,,20,-6.2769,92.8818,,,,,,,,,
9120,,,55,35.2837,93.3099,,,,,,,,,
9144,,,24,5.7733,93.3064,,,,,,,,,
9163,,,19,-5.918,93.3885,,,,,,,,,
9180,,,17,-1.9457,92.5387,,,,,,,,,
9196,,,16,-10.5751,93.17,,,,,,,,,
9219,,,23,-5.0845,92.5977,,,,,,,,,
9246,,,27,0.8045,92.9802,,,,,,,,,
9270,,,24,-2.1735,93.1779,,,,,,,,,
9287,,,17,-6.4026,92.9539,,,,,,,,,
9306,,,19,-7.758,98.0935,,,,,,,,,
9322,,,16,-8.9442,99.6948,,,,,,,,,
9339,,,17,-10.4372,100.0161,,,,,,,,,
9361,,,22,-3.5756,99.7636,,,,,,,,,
9369,,,8,-6.8136,98.9666,,,,,,,,,
9384,,,15,-10.5472,99.2027,,,,,,,,,
9407,,,23,-2.7352,99.656,,,,,,,,,
9429,,,22,-3.6219,99.8362,,,,,,,,,
9451,,,22,-2.2603,97.0842,,,,,,,,,
9468,,,17,-9.9378,92.9615,,,,,,,,,
9477,,,9,-5.6246,92.9566,,,,,,,,,
9498,,,21,3.8939,93.1975,,,,,,,,,
9500,,,,,,1.872,1.0638,0.1736,-83.0161,7.5924,0.9052,73.9074,177.3285,1.6466
9525,,,27,5.055,92.8776,,,,,,,,,
9547,,,22,-4.1023,93.2654,,,,,,,,,
9566,,,19,-8.1607,93.2502,,,,,,,,,
9585,,,19,-7.9526,93.3495,,,,,,,,,
9602,,,17,-9.9479,93.3454,,,,,,,,,
9628,,,26,-0.1399,93.4062,,,,,,,,,
9650,,,22,0.8808,93.3006,,,,,,,,,
9665,,,15,-4.0435,92.9609,,,,,,,,,
9705,,,40,20.5861,93.5833,,,,,,,,,
9723,,,18,-8.6094,92.9857,,,,,,,,,
9742,,,19,-0.3126,93.4046,,,,,,,,,
9773,,,31,8.2408,93.3621,,,,,,,,,
9780,,,7,-6.7186,93.4708,,,,,,,,,
9803,,,23,-3.974,93.513,,,,,,,,,
9822,,,19,-4.5324,92.733,,,,,,,,,
9842,,,20,-2.1159,92.844,,,,,,,,,
9855,,,13,-2.7846,93.5581,,,,,,,,,
9881,,,26,0.9741,93.3801,,,,,,,,,
9903,,,22,-1.8697,93.2132,,,,,,,,,
10000,,,,,,1.861,1.0628,0.1716,-93.3335,9.1061,0.9253,74.9194,166.2647,2.2565
10000,102.9341,71.8,,,,,,,,,,,,
10001,,,98,127.3016,78.2411,,,,,,,,,
10087,,,86,52.6072,93.2306,,,,,,,,,
10111,,,24,-1.6413,91.7381,,,,,,,,,
10120,,,9,-7.2432,93.4079,,,,,,,,,
10138,,,18,-3.9064,93.2634,,,,,,,,,
10274,,,136,238.5472,93.5893,,,,,,,,,
10326,,,52,35.9453,93.3607,,,,,,,,,
10360,,,34,5.5147,93.6478,,,,,,,,,
10377,,,17,-8.3933,93.5283,,,,,,,,,
10400,,,23,-4.4802,93.64,,,,,,,,,
10500,,,,,,1.9065,1.0975,0.1818,-104.1656,10.831,0.9805,104.5995,191.0223,4.1579
10504,,,104,207.3448,93.5165,,,,,,,,,
10558,,,54,31.078,93.5925,,,,,,,,,
10707,,,149,281.7555,93.5908,,,,,,,,,
10902,,,195,216.3376,98.2082,,,,,,,,,
10909,,,7,-5.3564,99.8603,,,,,,,,,
10999,,,90,175.3075,97.6182,,,,,,,,,
11000,,,,,,1.9738,1.1845,0.1849,-114.866,9.4834,0.8985,72.7157,205.0525,1.468
11018,,,19,-6.9136,93.1881,,,,,,,,,
11064,,,46,24.6669,93.7135,,,,,,,,,
11202,,,138,268.5988,93.3346,,,,,,,,,
11221,,,19,-4.8264,92.3322,,,,,,,,,
11231,,,10,-7.8111,91.7952,,,,,,,,,
11254,,,23,-3.6428,91.7847,,,,,,,,,
11276,,,22,0.2808,93.9681,,,,,,,,,
11307,,,31,3.434,92.7938,,,,,,,,,
11328,,,21,-5.2315,93.643,,,,,,,,,
11396,,,68,26.5614,97.9937,,,,,,,,,
11419,,,23,0.5526,99.6699,,,,,,,,,
11464,,,45,14.5799,99.3813,,,,,,,,,
11500,,,,,,1.9405,1.1765,0.1834,-121.0917,10.2666,0.8521,98.2886,300.6822,1.7225
11555,,,91,45.4586,99.4737,,,,,,,,,
11571,,,16,-7.2686,99.7891,,,,,,,,,
11579,,,8,-3.6262,99.506,,,,,,,,,
11602,,,23,-3.3207,98.0633,,,,,,,,,
11611,,,9,-4.1059,93.1566,,,,,,,,,
11637,,,26,2.9834,91.5364,,,,,,,,,
11715,,,78,58.2837,92.8519,,,,,,,,,
11726,,,11,-6.8414,92.3499,,,,,,,,,
11736,,,10,-4.2551,93.3892,,,,,,,,,
11777,,,41,15.1638,91.2056,,,,,,,,,
11786,,,9,-6.2579,91.0705,,,,,,,,,
11811,,,25,-2.5329,92.6984,,,,,,,,,
11834,,,23,-0.3262,93.8808,,,,,,,,,
11860,,,26,0.8277,93.7549,,,,,,,,,
11883,,,23,-3.156,91.4024,,,,,,,,,
11893,,,10,-8.0454,88.6657,,,,,,,,,
11913,,,20,-4.4951,86.4102,,,,,,,,,
11924,,,11,-6.5554,89.7249,,,,,,,,,
12000,,,,,,1.9269,1.1359,0.1819,-130.6651,15.5075,0.8895,152.1106,323.6065,5.5835
12008,,,84,199.9536,88.7919,,,,,,,,,
12027,,,19,-3.6313,88.9439,,,,,,,,,
12056,,,29,10.33,92.7271,,,,,,,,,
12124,,,68,122.7754,92.4008,,,,,,,,,
12157,,,33,10.0903,93.2363,,,,,,,,,
12177,,,20,-1.1319,91.9146,,,,,,,,,
12247,,,70,75.0159,93.0467,,,,,,,,,
12257,,,10,-6.3042,93.1916,,,,,,,,,
12278,,,21,-4.328,92.0045,,,,,,,,,
12341,,,63,25.1473,92.7504,,,,,,,,,
12477,,,136,273.934,92.9756,,,,,,,,,
12500,,,,,,1.899,1.1463,0.1803,-138.3879,13.5247,0.8227,155.7953,529.9256,3.6176
12501,,,24,0.4562,91.846,,,,,,,,,
12519,,,18,-1.2861,93.1231,,,,,,,,,
12546,,,27,4.9705,93.0018,,,,,,,,,
12568,,,22,-1.85,92.0928,,,,,,,,,
12662,,,94,199.6502,93.1447,,,,,,,,,
12687,,,25,2.7631,92.0795,,,,,,,,,
12699,,,12,-4.9254,92.7521,,,,,,,,,
12723,,,24,1.8049,93.3961,,,,,,,,,
12761,,,38,22.3716,93.3655,,,,,,,,,
12784,,,23,-2.7796,93.4233,,,,,,,,,
12862,,,78,51.5157,92.9887,,,,,,,,,
12875,,,13,-7.9632,93.459,,,,,,,,,
12913,,,38,18.4984,93.1376,,,,,,,,,
12939,,,26,-0.1153,92.0355,,,,,,,,,
12950,,,11,-5.1495,92.2188,,,,,,,,,
12987,,,37,20.3303,92.634,,,,,,,,,
