env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
13500,,,,,,849.3362,823.9127,5476.7266,849.3362,8.0023,384.3697,3.2366
14000,,,,,,879.3433,852.592,8214.3633,879.3433,5.1823,184.7169,3.7249
14402,,,1000,-933.0905,71.8222,,,,,,,
14428,,,26,-27.3999,74.716,,,,,,,
14491,,,63,-56.3478,73.6316,,,,,,,
14500,,,,,,838.3776,810.0007,6019.9473,838.3776,5.6182,392.765,3.4701
14618,,,127,-113.7172,75.3547,,,,,,,
14636,,,18,-5.8772,77.1722,,,,,,,
14670,,,34,-34.7664,77.4513,,,,,,,
15000,,,,,,872.5139,844.0406,7998.5942,872.5139,5.7237,326.3602,3.9669
15000,351.8893,1000.0,,,,,,,,,,
15500,,,,,,857.4045,829.1131,6009.6304,857.4045,5.8899,249.7552,3.7787
15670,,,1000,-1019.4877,52.8383,,,,,,,
15738,,,68,-75.6892,70.0202,,,,,,,
15774,,,36,-23.2871,73.1868,,,,,,,
16000,,,,,,885.1717,852.6421,6609.1543,885.1717,7.7976,432.4794,4.6359
16008,,,234,-211.0038,71.9112,,,,,,,
16104,,,96,-38.8731,70.44,,,,,,,
16495,,,391,-399.8836,73.983,,,,,,,
16500,,,,,,921.4384,887.1254,5484.7153,921.4384,9.5179,680.7166,3.9851
16560,,,65,-35.0916,80.4589,,,,,,,
16621,,,61,-30.9671,75.0425,,,,,,,
16639,,,18,-30.2068,75.0827,,,,,,,
17000,,,,,,934.2111,897.6324,7321.3896,934.2111,9.2739,511.9727,4.0992
17500,,,,,,984.2393,944.8759,6612.9165,984.2393,10.3772,653.8268,4.6558
17639,,,1000,-958.6481,74.6721,,,,,,,
17936,,,297,-311.3566,71.6396,,,,,,,
18000,,,,,,931.177,889.736,7023.7632,931.177,12.9548,692.905,5.5047
18009,,,73,-60.7614,72.969,,,,,,,
18500,,,,,,968.7705,924.3239,6396.5459,968.7705,12.308,570.6275,4.9272
19000,,,,,,988.791,941.5632,7549.7188,988.791,15.3872,1105.1034,5.6277
19009,,,1000,-1089.1506,71.8523,,,,,,,
19070,,,61,-68.5655,71.858,,,,,,,
19103,,,33,-18.7733,74.5902,,,,,,,
19232,,,129,-84.2773,73.0392,,,,,,,
19281,,,49,-26.35,66.3569,,,,,,,
19500,,,,,,979.4644,932.8238,6611.8564,979.4644,20.0403,681.996,7.383
20000,,,,,,939.1255,896.4087,6294.8457,939.1255,14.5084,835.4825,6.1273
20000,412.8474,1000.0,,,,,,,,,,
20281,,,1000,-1034.2931,52.4848,,,,,,,
20386,,,105,-108.5054,72.9808,,,,,,,
20418,,,32,-27.0454,73.8973,,,,,,,
20500,,,,,,957.6185,908.8428,6246.4648,957.6185,19.3589,614.4711,6.0827
21000,,,,,,951.3623,897.9269,7263.5068,951.3623,14.7245,549.0088,5.6909
21418,,,1000,-1103.1113,73.1885,,,,,,,
21499,,,81,-73.0493,73.4643,,,,,,,
21500,,,,,,987.3672,933.6249,6825.6768,987.3672,19.218,1088.5542,7.2985
21807,,,308,-393.2001,72.2479,,,,,,,
22000,,,,,,1008.8101,958.8043,5230.4302,1008.8101,25.1921,840.2335,9.1525
22056,,,249,-335.1804,71.9424,,,,,,,
22202,,,146,-120.5842,72.0578,,,,,,,
22274,,,72,-86.2048,68.2384,,,,,,,
22343,,,69,-47.0194,69.3333,,,,,,,
22390,,,47,-32.1797,71.6099,,,,,,,
22474,,,84,-112.5725,71.1634,,,,,,,
22500,,,,,,991.9209,925.1654,7402.3833,991.9209,39.7078,1010.9575,7.7737
22514,,,40,-65.5538,73.3396,,,,,,,
22586,,,72,-55.4826,72.7559,,,,,,,
23000,,,,,,983.3337,913.3306,8112.4297,983.3337,31.2497,643.5186,8.8432
23500,,,,,,1050.989,986.2845,7381.5972,1050.989,28.887,1498.9567,7.9414
23586,,,1000,-1187.2242,71.8871,,,,,,,
23860,,,274,-218.4035,75.817,,,,,,,
24000,,,,,,992.3025,910.4342,6426.3574,992.3025,44.8258,2084.8354,8.2551
24086,,,226,-233.7367,76.2589,,,,,,,
24163,,,77,-20.121,77.0631,,,,,,,
24360,,,197,-149.8525,76.5008,,,,,,,
24500,,,,,,983.931,912.7069,7259.5625,983.931,54.0733,1960.8638,9.4852
24744,,,384,-469.7792,75.4181,,,,,,,
24801,,,57,-57.8218,72.6641,,,,,,,
24836,,,35,-22.2177,78.5518,,,,,,,
24960,,,124,-126.4934,75.6645,,,,,,,
24970,,,10,-17.2388,75.5166,,,,,,,
25000,,,,,,1080.5208,1000.637,9032.3623,1080.5208,59.5042,1870.5107,10.6044
25000,-179.5197,1000.0,,,,,,,,,,
25090,,,120,-104.8347,17.3744,,,,,,,
25339,,,249,-237.0941,72.0007,,,,,,,
25361,,,22,-27.4976,71.3954,,,,,,,
25394,,,33,-26.0225,71.6891,,,,,,,
25500,,,,,,1041.6882,955.853,7290.0015,1041.6882,89.4417,2623.4246,11.7498
25536,,,142,-109.0735,73.3068,,,,,,,
25667,,,131,-128.5217,73.0891,,,,,,,
26000,,,,,,1055.6993,966.0906,6025.1426,1055.6993,88.5221,3682.2805,11.4226
26500,,,,,,1059.0079,966.964,8057.2783,1059.0079,64.2161,1933.9745,12.287
26667,,,1000,-1253.3216,72.4798,,,,,,,
26804,,,137,-186.85,72.9419,,,,,,,
27000,,,,,,1081.7013,984.7314,6196.75,1081.7013,70.9541,2588.5732,13.3627
27500,,,,,,1064.1028,962.0465,7882.8574,1064.1028,66.5468,3110.646,13.1542
27804,,,1000,-1240.3253,71.658,,,,,,,
28000,,,,,,1054.5883,956.7161,6752.2998,1054.5883,78.6734,3034.1143,13.2028
28146,,,342,-285.3908,74.8803,,,,,,,
28341,,,195,-178.8961,69.2036,,,,,,,
28500,,,,,,1123.923,1009.2472,8083.6387,1123.923,105.5556,3757.4226,14.1409
29000,,,,,,1125.3948,999.5317,7310.3813,1125.3948,94.9874,3362.8694,13.8478
29341,,,1000,-1238.0778,72.6716,,,,,,,
29364,,,23,-22.9879,68.5034,,,,,,,
29500,,,,,,1148.3354,1020.781,6382.2183,1148.3354,111.3615,5104.6597,14.1813
29520,,,156,-141.1461,71.4269,,,,,,,
29577,,,57,-83.7511,74.8944,,,,,,,
29589,,,12,-9.0705,69.6513,,,,,,,
29641,,,52,-56.0201,75.2047,,,,,,,
