env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
22500,,,0.8123,0.72,0.0688,-20.4415,6.3892,0.5857,2.0192,4.6642,0.7233,,,
23000,,,0.8401,0.718,0.0699,-20.7501,7.0341,0.6372,1.9124,5.3812,0.9785,,,
23000,,,,,,,,,,,,1000,340.7914,94.5581
23500,,,0.8161,0.7158,0.0684,-19.988,7.2503,0.5964,2.5057,21.3807,0.6742,,,
24000,,,0.8294,0.7256,0.071,-22.3681,9.438,0.6136,2.0727,7.7018,0.9647,,,
24000,,,,,,,,,,,,1000,265.9855,92.6365
24500,,,0.8198,0.7182,0.0685,-22.9648,6.6721,0.6015,2.0327,13.508,0.8497,,,
25000,,,0.8499,0.7151,0.0743,-24.8467,8.2285,0.6431,2.6053,8.8902,1.1649,,,
25000,1189.5848,1000.0,,,,,,,,,,,,
25000,,,,,,,,,,,,1000,394.6481,78.9231
25500,,,0.841,0.7218,0.0714,-25.3546,7.6076,0.6277,3.1046,9.7703,0.8039,,,
26000,,,0.8591,0.7252,0.0748,-26.1117,8.4727,0.6605,3.0843,7.3198,1.1717,,,
26000,,,,,,,,,,,,1000,849.3816,95.1004
26500,,,0.8498,0.7306,0.0732,-27.4771,6.8783,0.6433,2.0162,8.8498,0.9708,,,
27000,,,0.8378,0.7258,0.0727,-27.0856,9.5754,0.6264,2.2946,7.538,1.1659,,,
27000,,,,,,,,,,,,1000,83.105,97.6603
27500,,,0.854,0.7261,0.0748,-28.2968,6.8469,0.6503,3.3859,15.8082,0.9842,,,
28000,,,0.8576,0.7265,0.0741,-29.8801,7.6049,0.6592,2.9207,10.3701,0.7533,,,
28000,,,,,,,,,,,,1000,87.8467,97.6758
28500,,,0.8594,0.722,0.0748,-29.6806,8.065,0.6618,2.6051,8.9023,1.0554,,,
29000,,,0.8852,0.729,0.0799,-33.2522,8.1256,0.6951,3.1599,13.791,1.2754,,,
29000,,,,,,,,,,,,1000,832.1907,97.9087
29500,,,0.866,0.7413,0.0769,-32.445,7.0913,0.6665,2.9803,13.2184,0.8268,,,
30000,,,0.8826,0.7322,0.0788,-35.0914,10.2981,0.6966,2.4484,12.6813,1.1644,,,
30000,1766.5739,1000.0,,,,,,,,,,,,
30000,,,,,,,,,,,,1000,153.5066,78.7871
30500,,,0.8829,0.7345,0.078,-32.6026,8.2111,0.6981,2.5348,8.8742,0.9001,,,
31000,,,0.8922,0.7395,0.081,-37.4683,11.4851,0.7089,3.1715,15.6421,0.9253,,,
31000,,,,,,,,,,,,1000,997.8807,92.8151
31500,,,0.911,0.7335,0.0825,-39.0275,8.1069,0.7396,3.7139,18.0288,1.1792,,,
32000,,,0.8873,0.753,0.079,-42.5455,8.4042,0.6992,2.629,20.5252,0.6584,,,
32000,,,,,,,,,,,,1000,1041.5454,93.0267
32500,,,0.8964,0.7401,0.0807,-40.8615,9.5834,0.7182,3.1247,20.5724,1.6119,,,
33000,,,0.8981,0.7396,0.0813,-42.5507,10.1116,0.7208,3.4808,18.733,0.8939,,,
33000,,,,,,,,,,,,1000,8.0463,92.7294
33500,,,0.9058,0.7471,0.0836,-44.6916,9.1011,0.7352,3.0734,31.8998,1.159,,,
34000,,,0.8923,0.7492,0.0806,-45.1999,8.236,0.7121,3.2162,14.1381,1.298,,,
34000,,,,,,,,,,,,1000,1077.41,92.7793
34500,,,0.8765,0.7354,0.0788,-44.9628,8.2282,0.689,2.8002,20.6692,1.2507,,,
35000,,,0.8577,0.7406,0.0772,-44.9781,14.5685,0.6548,2.7735,38.9364,1.4625,,,
35000,1735.5405,1000.0,,,,,,,,,,,,
35000,,,,,,,,,,,,1000,83.7274,76.872
35500,,,0.8894,0.7355,0.0793,-47.9628,8.2461,0.705,3.1334,30.2169,0.7894,,,
36000,,,0.9076,0.7474,0.0826,-49.3422,8.2165,0.7414,2.6439,16.3134,1.6352,,,
36000,,,,,,,,,,,,1000,1141.7371,95.1903
36500,,,0.8841,0.742,0.079,-51.3581,8.4286,0.6973,3.3103,17.0294,0.9178,,,
37000,,,0.9023,0.746,0.0811,-54.4858,8.0474,0.7268,4.3608,17.8893,1.3549,,,
37000,,,,,,,,,,,,1000,1203.7956,97.4287
37500,,,0.8917,0.7536,0.0809,-57.5107,10.4744,0.7113,4.7922,17.786,1.2059,,,
38000,,,0.8834,0.7555,0.079,-54.8671,9.3929,0.6955,2.945,15.1174,1.5561,,,
38000,,,,,,,,,,,,1000,728.5813,96.4247
38500,,,0.8802,0.7581,0.0799,-58.2727,8.7442,0.689,3.5892,27.2102,0.9171,,,
39000,,,0.8827,0.747,0.0804,-58.789,8.2266,0.6895,4.6543,44.9306,1.4987,,,
39000,,,,,,,,,,,,1000,1101.9687,93.5151
39500,,,0.8761,0.7568,0.0792,-61.5229,12.0252,0.6821,2.9761,14.9752,1.3611,,,
40000,,,0.8813,0.7508,0.0792,-58.4233,8.2051,0.6932,3.494,17.8558,1.6009,,,
40000,2120.5192,1000.0,,,,,,,,,,,,
40000,,,,,,,,,,,,1000,1089.2857,77.8093
40500,,,0.9177,0.7594,0.0841,-65.1849,10.294,0.7519,2.9536,13.7322,1.611,,,
41000,,,0.8862,0.7619,0.0802,-64.7006,9.5636,0.7013,2.7856,18.2039,1.9078,,,
41000,,,,,,,,,,,,1000,1240.8708,96.2145
41500,,,0.8939,0.7562,0.0819,-70.3014,7.8174,0.7094,2.8198,12.1629,1.4237,,,
42000,,,0.886,0.7581,0.0802,-68.8766,9.9375,0.7015,3.1511,53.3086,1.4948,,,
42000,,,,,,,,,,,,1000,1332.0215,93.5474
42500,,,0.8898,0.7565,0.0816,-68.7295,10.628,0.7093,3.4672,20.9726,0.9163,,,
