env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-43.997,1000.0,,,,,,,,,,,,
500,,,0.6033,0.6929,0.0316,0.9377,2.3345,0.3331,0.3475,0.8909,0.2281,,,
1000,,,0.5918,0.6949,0.0329,1.069,3.9484,0.3196,0.6053,1.0519,0.5017,,,
1000,,,,,,,,,,,,1000,-221.1424,60.0267
1500,,,0.5964,0.6889,0.0349,0.3643,4.2028,0.324,0.7279,1.4348,0.3444,,,
2000,,,0.6125,0.6983,0.0379,0.2476,3.2231,0.3392,0.8276,2.8783,0.1565,,,
2000,,,,,,,,,,,,1000,-222.4345,86.3613
2500,,,0.6065,0.6923,0.0371,-0.065,3.6881,0.3348,0.9315,1.5308,0.2424,,,
3000,,,0.6022,0.6863,0.0368,-0.0895,12.7173,0.3293,0.9622,2.9205,0.474,,,
3000,,,,,,,,,,,,1000,-343.7329,86.0419
3500,,,0.6339,0.6962,0.0431,-0.2694,7.006,0.361,1.1672,3.1611,0.3046,,,
4000,,,0.638,0.696,0.0418,-0.3195,4.5971,0.3679,1.2604,1.3987,0.4468,,,
4000,,,,,,,,,,,,1000,-335.3479,84.7752
4500,,,0.6391,0.6993,0.0426,-0.8534,4.5484,0.3682,1.2387,2.1961,0.6985,,,
5000,,,0.6596,0.7018,0.0457,-1.1195,3.9203,0.3921,1.3096,2.0566,0.2646,,,
5000,-179.0914,1000.0,,,,,,,,,,,,
5000,,,,,,,,,,,,1000,-416.1682,65.7501
5500,,,0.6765,0.6989,0.0495,-1.4199,4.4676,0.4101,1.3762,1.6418,0.3537,,,
6000,,,0.6876,0.6925,0.05,-1.6699,5.8305,0.4261,1.5227,3.6696,0.495,,,
6000,,,,,,,,,,,,1000,-322.7371,85.9788
6500,,,0.7112,0.6908,0.0542,-2.6199,5.7792,0.4529,1.9209,4.6067,0.4475,,,
7000,,,0.719,0.7017,0.0555,-2.6784,5.6929,0.462,1.8784,3.0832,0.6026,,,
7000,,,,,,,,,,,,1000,-180.9499,88.1266
7500,,,0.7376,0.6982,0.0573,-3.7038,6.9182,0.4891,1.6231,3.3401,0.8747,,,
8000,,,0.7432,0.7042,0.0578,-4.3853,7.5204,0.4958,1.8371,2.6493,0.8425,,,
8000,,,,,,,,,,,,1000,-270.5976,87.8066
8500,,,0.7403,0.6907,0.057,-4.8856,7.8344,0.4916,1.9138,4.3923,0.8292,,,
9000,,,0.7375,0.7029,0.0577,-5.3882,7.0599,0.4881,1.5063,3.2084,0.4857,,,
9000,,,,,,,,,,,,1000,-318.22,88.5485
9500,,,0.7374,0.7091,0.057,-6.0112,6.5616,0.49,1.451,2.2769,0.6744,,,
10000,,,0.7336,0.6947,0.056,-5.8208,6.928,0.4892,1.1256,2.1279,0.8562,,,
10000,-89.8977,1000.0,,,,,,,,,,,,
10000,,,,,,,,,,,,1000,-281.518,68.7873
10500,,,0.7304,0.7023,0.0562,-6.8168,6.5221,0.4779,1.3723,4.1118,0.9435,,,
11000,,,0.7472,0.7042,0.0585,-7.1097,7.3042,0.5007,1.4076,6.6023,1.065,,,
11000,,,,,,,,,,,,1000,-54.4831,86.2279
11500,,,0.7374,0.6995,0.0569,-8.0084,6.2034,0.4872,1.867,7.1258,0.9424,,,
12000,,,0.7638,0.6946,0.0617,-8.2666,7.134,0.5211,1.4581,8.8364,0.5864,,,
12000,,,,,,,,,,,,1000,-8.3625,88.4892
12500,,,0.7665,0.6962,0.0618,-10.6952,6.453,0.5222,1.2913,5.0343,0.7031,,,
13000,,,0.775,0.7095,0.0622,-10.4652,5.884,0.5364,1.6037,3.3419,0.9137,,,
13000,,,,,,,,,,,,1000,86.9339,88.3436
13500,,,0.793,0.7117,0.0649,-10.6003,7.6614,0.5619,1.5318,8.1299,1.226,,,
14000,,,0.7804,0.7099,0.0619,-10.1901,6.3114,0.5447,1.4779,4.9965,0.6088,,,
14000,,,,,,,,,,,,1000,-254.7808,87.0777
14500,,,0.7816,0.7039,0.0644,-12.1198,6.9114,0.5412,2.13,6.2426,1.003,,,
15000,,,0.7736,0.7132,0.0632,-12.2352,6.6972,0.5344,1.6308,4.258,0.9426,,,
15000,517.6824,1000.0,,,,,,,,,,,,
15000,,,,,,,,,,,,1000,8.4486,67.6565
15500,,,0.809,0.7112,0.068,-13.9674,6.1157,0.58,1.8087,6.6461,0.604,,,
16000,,,0.7933,0.7093,0.0662,-14.0832,6.5093,0.5595,1.8453,5.3457,0.9205,,,
16000,,,,,,,,,,,,1000,287.8019,83.7301
16500,,,0.8199,0.7142,0.0679,-14.8004,8.4984,0.5995,2.0939,6.5983,1.1963,,,
17000,,,0.81,0.7137,0.0672,-15.9353,6.2666,0.5899,2.0319,6.3676,0.9819,,,
17000,,,,,,,,,,,,1000,427.1075,85.5038
17500,,,0.8232,0.7107,0.0692,-17.3309,6.9189,0.6019,2.0674,8.9216,0.5345,,,
18000,,,0.8187,0.7165,0.0692,-18.6771,6.7291,0.5993,2.1899,10.2243,0.9679,,,
18000,,,,,,,,,,,,1000,599.4162,85.5669
18500,,,0.8383,0.7183,0.0709,-18.9355,7.5174,0.6264,2.5297,13.0418,0.8993,,,
19000,,,0.827,0.7107,0.0711,-20.2178,6.8986,0.6073,2.0776,7.022,0.4644,,,
19000,,,,,,,,,,,,1000,29.5431,85.3424
19500,,,0.8346,0.7073,0.0714,-20.0377,6.5129,0.6193,2.1173,15.7136,0.8458,,,
20000,,,0.8258,0.7225,0.0702,-21.8354,8.0288,0.6058,2.4041,8.1132,1.034,,,
20000,903.4733,1000.0,,,,,,,,,,,,
20000,,,,,,,,,,,,1000,-141.9415,68.6427
20500,,,0.8332,0.7217,0.0716,-22.5987,7.1403,0.6148,2.8321,11.872,0.7315,,,
21000,,,0.8454,0.7189,0.0735,-22.9177,6.5881,0.6305,2.297,7.2093,1.2413,,,
21000,,,,,,,,,,,,1000,31.9014,83.5869
21500,,,0.8593,0.7166,0.0752,-24.6699,8.7928,0.6518,1.8333,8.5305,0.9597,,,
22000,,,0.8462,0.719,0.0729,-24.7842,7.7136,0.636,1.9678,6.2093,0.6697,,,
22000,,,,,,,,,,,,1000,460.2531,88.0518
22500,,,0.8403,0.7326,0.0731,-25.0419,7.3616,0.6262,2.6001,26.9901,0.663,,,
23000,,,0.8511,0.7201,0.0735,-26.0679,7.8163,0.6425,2.4564,20.8123,0.5687,,,
23000,,,,,,,,,,,,1000,74.2262,88.2352
23500,,,0.8493,0.7347,0.0731,-25.7029,7.5576,0.6428,2.3474,7.1495,0.5989,,,
24000,,,0.8563,0.741,0.0747,-29.0925,8.0904,0.6491,2.4625,6.4134,1.3888,,,
24000,,,,,,,,,,,,1000,26.3994,88.1617
24500,,,0.8723,0.7339,0.077,-29.6743,8.0496,0.6731,2.409,10.3555,0.7567,,,
25000,,,0.872,0.7283,0.0779,-30.6864,8.9206,0.6716,3.1729,8.5585,0.6687,,,
25000,1172.2245,1000.0,,,,,,,,,,,,
25000,,,,,,,,,,,,1000,851.8724,68.8805
25500,,,0.8774,0.7436,0.0776,-31.8681,8.116,0.6791,2.9819,12.3824,0.776,,,
26000,,,0.8807,0.7321,0.0788,-31.0053,8.0566,0.6905,2.7419,24.0238,1.0211,,,
26000,,,,,,,,,,,,1000,-54.4267,85.6253
26500,,,0.855,0.7222,0.0747,-32.4457,7.45,0.6536,2.5836,14.033,1.7122,,,
27000,,,0.8838,0.7369,0.0792,-34.6403,7.946,0.6894,3.036,11.5965,0.9139,,,
27000,,,,,,,,,,,,1000,352.4897,86.7917
27500,,,0.8673,0.7351,0.0765,-32.918,9.4604,0.6679,2.3668,13.2164,0.9751,,,
28000,,,0.8766,0.7373,0.077,-36.3113,7.9384,0.6863,2.6896,27.3282,1.0024,,,
28000,,,,,,,,,,,,1000,117.8661,86.79
28500,,,0.8562,0.7315,0.0745,-33.2178,7.3267,0.6567,2.9514,28.2114,0.762,,,
