env_steps,return,length,op-l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
27000,,,,,,,,,,1000,2340.3119,107.778
27500,,,7.7649,-163.0281,85.7633,7.7649,4.6019,118.8298,5.0223,,,
28000,,,7.0514,-167.4418,127.889,7.0514,4.8745,137.5077,3.8847,,,
28000,,,,,,,,,,1000,2674.7898,107.8025
28500,,,8.0495,-170.7369,102.9141,8.0495,4.1464,124.0022,6.2114,,,
29000,,,8.2191,-172.0537,92.0222,8.2191,4.9579,222.155,2.2977,,,
29000,,,,,,,,,,1000,2637.9163,107.4326
29500,,,9.088,-176.3589,126.5149,9.088,4.4446,100.4052,3.5662,,,
30000,,,8.7967,-180.0601,103.2205,8.7967,5.2033,142.7823,4.3848,,,
30000,5455.0155,1000.0,,,,,,,,,,
30000,,,,,,,,,,1000,2675.0941,93.9002
30500,,,8.6572,-185.7562,126.7013,8.6572,4.1427,284.5871,5.564,,,
31000,,,8.3637,-185.1093,162.2961,8.3637,4.2782,135.2251,4.0038,,,
31000,,,,,,,,,,1000,3072.2043,107.4282
31500,,,7.4885,-191.3926,108.0009,7.4885,4.4832,183.6193,6.157,,,
32000,,,7.4746,-194.0638,128.2834,7.4746,4.4637,192.8442,6.0417,,,
32000,,,,,,,,,,1000,2731.6254,108.2966
32500,,,8.3636,-200.8504,135.0065,8.3636,4.2713,157.5452,4.9504,,,
33000,,,7.8164,-207.639,106.4411,7.8164,5.0328,222.0358,5.3672,,,
33000,,,,,,,,,,1000,2954.7673,107.1013
33500,,,7.4488,-209.4699,118.2852,7.4488,4.3272,111.47,3.6692,,,
34000,,,7.3689,-210.1239,112.2322,7.3689,4.0765,129.3635,4.2274,,,
34000,,,,,,,,,,1000,2972.8685,107.557
34500,,,7.2449,-215.8135,110.0896,7.2449,4.581,156.0747,5.3449,,,
35000,,,8.0924,-215.8689,103.5012,8.0924,5.4713,227.1183,2.5222,,,
35000,5538.9237,1000.0,,,,,,,,,,
35000,,,,,,,,,,1000,2759.0051,93.5943
35500,,,7.3368,-223.3316,108.1989,7.3368,4.7182,197.8212,5.7927,,,
36000,,,7.0812,-230.5835,83.8529,7.0812,5.0768,213.0024,4.1617,,,
36000,,,,,,,,,,1000,3077.5566,109.3273
36500,,,8.0086,-232.6138,137.7136,8.0086,4.8773,154.4818,4.7723,,,
37000,,,7.4676,-232.4365,155.0136,7.4676,4.6733,198.1636,3.5025,,,
37000,,,,,,,,,,1000,3160.4721,107.3336
