env_steps,return,length,train/length,train/return,FPS,op-l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
10126,,,155,268.7254,106.0789,,,,,,,
10282,,,156,266.7344,107.1334,,,,,,,
10292,,,10,-2.7364,107.0642,,,,,,,
10301,,,9,-3.9792,107.6945,,,,,,,
10383,,,82,7.2706,107.0551,,,,,,,
10407,,,24,-1.6551,107.4251,,,,,,,
10418,,,11,-3.839,107.1959,,,,,,,
10494,,,76,-18.0565,107.1066,,,,,,,
10500,,,,,,27.5245,-120.5434,180.0516,27.5245,61.6745,921.9717,6.2647
10524,,,30,1.6267,107.028,,,,,,,
10533,,,9,-3.5527,108.0622,,,,,,,
10640,,,107,28.1788,107.1899,,,,,,,
10773,,,133,234.5963,106.9329,,,,,,,
10935,,,162,263.5725,107.1117,,,,,,,
10985,,,50,34.0678,106.8669,,,,,,,
11000,,,,,,26.6352,-131.9646,216.6732,26.6352,86.5201,1843.1455,4.5037
11046,,,61,39.0703,110.1911,,,,,,,
11153,,,107,211.9173,107.5518,,,,,,,
11162,,,9,-2.5208,106.6659,,,,,,,
11351,,,189,325.2955,109.3598,,,,,,,
11375,,,24,0.5339,111.3126,,,,,,,
11407,,,32,5.6949,110.0208,,,,,,,
11425,,,18,-5.8113,110.7673,,,,,,,
11500,,,,,,27.0997,-141.5508,189.0981,27.0997,71.6675,1072.7604,10.3794
11559,,,134,255.2242,110.8779,,,,,,,
11579,,,20,-2.6892,110.643,,,,,,,
11619,,,40,28.101,110.9398,,,,,,,
11626,,,7,-4.2504,109.7702,,,,,,,
11651,,,25,-1.7483,110.5954,,,,,,,
11702,,,51,15.8401,110.6104,,,,,,,
11726,,,24,0.0008,111.171,,,,,,,
11735,,,9,-5.1205,110.7193,,,,,,,
11844,,,109,220.7549,110.8852,,,,,,,
11857,,,13,-5.2418,110.3956,,,,,,,
11871,,,14,-6.2154,110.872,,,,,,,
11943,,,72,30.2972,110.4374,,,,,,,
11976,,,33,10.1362,106.6261,,,,,,,
12000,,,,,,26.9515,-151.9682,186.8993,26.9515,79.677,1997.451,7.1673
12002,,,26,-1.6124,106.5527,,,,,,,
12143,,,141,337.5516,106.4526,,,,,,,
12166,,,23,-0.9175,104.8087,,,,,,,
12188,,,22,-2.8606,106.6006,,,,,,,
12213,,,25,-1.5526,106.9183,,,,,,,
12239,,,26,0.7946,107.1618,,,,,,,
12378,,,139,264.1362,106.9394,,,,,,,
12389,,,11,-2.719,106.9313,,,,,,,
12440,,,51,17.6088,105.7519,,,,,,,
12458,,,18,-4.6016,107.4284,,,,,,,
12468,,,10,-3.5781,107.5578,,,,,,,
12486,,,18,-3.1235,106.9236,,,,,,,
12500,,,,,,24.5044,-169.4308,134.4761,24.5044,112.4354,2182.6086,4.2658
12537,,,51,19.3548,106.9027,,,,,,,
12558,,,21,-0.0214,107.3439,,,,,,,
12582,,,24,1.1924,106.9261,,,,,,,
12713,,,131,257.7476,106.8961,,,,,,,
12887,,,174,302.58,107.0044,,,,,,,
12914,,,27,3.6201,107.1673,,,,,,,
12955,,,41,20.985,106.714,,,,,,,
12974,,,19,-5.7123,107.45,,,,,,,
13000,,,,,,26.5285,-180.2559,179.5029,26.5285,103.765,2279.8037,7.3626
13150,,,176,340.431,106.9395,,,,,,,
13279,,,129,91.402,106.7401,,,,,,,
13286,,,7,-3.726,106.353,,,,,,,
13343,,,57,8.3126,106.8979,,,,,,,
13426,,,83,14.4506,106.9002,,,,,,,
13436,,,10,-4.6958,106.9209,,,,,,,
13465,,,29,8.9944,106.8582,,,,,,,
13489,,,24,0.9324,106.7931,,,,,,,
13500,,,,,,24.9408,-188.8645,148.4628,24.9408,113.3196,2135.4221,10.8038
13655,,,166,278.5353,106.9344,,,,,,,
13716,,,61,41.9007,106.7351,,,,,,,
13858,,,142,285.3777,106.6432,,,,,,,
13870,,,12,-1.7016,106.8243,,,,,,,
13942,,,72,33.9919,106.5934,,,,,,,
14000,,,,,,24.5476,-200.2585,160.6138,24.5476,102.0509,2746.7957,8.2781
14114,,,172,265.4463,106.6359,,,,,,,
14197,,,83,54.1325,106.7303,,,,,,,
14292,,,95,108.4363,106.738,,,,,,,
14424,,,132,264.5367,106.7529,,,,,,,
14450,,,26,2.8605,105.4774,,,,,,,
14500,,,,,,25.3375,-201.75,224.3703,25.3375,90.541,1315.016,9.3426
14555,,,105,205.5762,106.3332,,,,,,,
