env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
10903,,,80,-69.2104,96.5101,,,,,,,,,
10931,,,28,-25.72,96.6011,,,,,,,,,
11000,,,,,,1.691,0.7519,0.1824,-81.4826,13.2703,0.7315,34.6038,177.6528,8.0736
11500,,,,,,1.699,0.754,0.1839,-90.0756,7.6859,0.7352,46.8439,426.8089,4.9146
11931,,,1000,-1057.9153,96.0838,,,,,,,,,
12000,,,,,,1.7033,0.7547,0.1848,-86.9529,9.3593,0.7467,47.8957,219.6061,6.9251
12500,,,,,,1.6995,0.7508,0.1853,-101.2693,11.5844,0.7477,57.7781,334.3277,5.2639
12931,,,1000,-1018.8224,95.8983,,,,,,,,,
12962,,,31,-39.634,96.0183,,,,,,,,,
12986,,,24,-16.5595,95.856,,,,,,,,,
12999,,,13,-20.1176,95.5232,,,,,,,,,
13000,,,,,,1.6827,0.7386,0.184,-101.5699,14.407,0.7468,49.3294,311.1386,8.8899
13106,,,107,-139.6509,95.6083,,,,,,,,,
13120,,,14,-13.892,95.7529,,,,,,,,,
13151,,,31,-42.5116,95.7164,,,,,,,,,
13500,,,,,,1.6979,0.7407,0.1843,-104.5497,13.7253,0.773,66.879,540.3954,9.979
14000,,,,,,1.6605,0.7452,0.1808,-107.6539,14.5536,0.705,73.2552,550.9846,10.3825
14151,,,1000,-1011.7942,98.9521,,,,,,,,,
14172,,,21,-20.9812,99.2335,,,,,,,,,
14195,,,23,-19.3439,98.843,,,,,,,,,
14227,,,32,-52.9582,99.3363,,,,,,,,,
14276,,,49,-93.3624,99.3069,,,,,,,,,
14390,,,114,-139.411,99.4349,,,,,,,,,
14425,,,35,-25.277,99.1911,,,,,,,,,
14471,,,46,-46.9926,99.4537,,,,,,,,,
14500,,,,,,1.7026,0.7512,0.1834,-118.3213,15.3403,0.7579,94.372,516.2651,8.3328
14518,,,47,-6.1586,99.2723,,,,,,,,,
14598,,,80,-81.7961,99.1946,,,,,,,,,
14629,,,31,-18.8055,99.379,,,,,,,,,
14650,,,21,-22.0624,99.4219,,,,,,,,,
14753,,,103,-104.8498,99.0584,,,,,,,,,
14768,,,15,-10.5511,98.8467,,,,,,,,,
14972,,,204,-149.1711,99.3433,,,,,,,,,
15000,,,,,,1.6555,0.7424,0.1804,-127.9616,11.9851,0.7029,122.52,793.3606,10.3269
15000,-18.8147,807.4,,,,,,,,,,,,
