env_steps,return,length,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
26500,,,572.6342,1029.5266,31359.4727,572.6342,2.1965,57.3196,3.6882,,,
27000,,,614.3654,1111.6521,51388.1758,614.3654,2.4818,102.3801,2.9911,,,
27000,,,,,,,,,,1000,2302.0673,92.6356
27500,,,569.1229,1017.7504,34580.9727,569.1229,2.2528,131.8444,2.3047,,,
28000,,,591.8984,1062.7013,31390.5039,591.8984,2.3699,52.308,2.5773,,,
28000,,,,,,,,,,1000,1652.3541,92.2607
28500,,,562.6547,998.6591,36088.8438,562.6547,2.509,82.6868,2.6569,,,
29000,,,614.6625,1101.9652,40498.6758,614.6625,2.7097,71.8818,4.2122,,,
29000,,,,,,,,,,1000,2187.9034,92.2894
29500,,,617.5513,1105.5741,38746.1133,617.5513,2.1297,42.3271,3.2653,,,
30000,,,611.1963,1091.7333,38293.8086,611.1963,2.8784,141.3283,4.8391,,,
30000,4263.0591,1000.0,,,,,,,,,,
30000,,,,,,,,,,1000,265.9209,77.8925
30500,,,649.8811,1165.9243,41505.7969,649.8811,2.5726,140.89,3.2011,,,
31000,,,571.5071,1006.9111,28742.9805,571.5071,2.5247,88.1053,2.709,,,
31000,,,,,,,,,,1000,2321.5181,93.8822
31500,,,630.2999,1118.4686,46755.1172,630.2999,2.608,114.7413,3.0295,,,
32000,,,620.5887,1098.6925,36979.418,620.5887,2.577,101.9468,3.2253,,,
32000,,,,,,,,,,1000,2430.9591,92.2453
32500,,,617.6417,1085.3733,30483.043,617.6417,2.7853,87.4565,3.3616,,,
33000,,,592.6099,1029.1301,30500.8301,592.6099,3.3921,130.9581,2.8318,,,
33000,,,,,,,,,,1000,2554.7689,92.1676
33500,,,622.572,1088.4161,38505.5742,622.572,2.4937,132.8181,4.2682,,,
34000,,,616.0929,1076.6719,30662.6523,616.0929,2.6039,84.4838,3.3817,,,
34000,,,,,,,,,,1000,2647.3054,92.0796
34500,,,617.7076,1077.9846,47262.5859,617.7076,2.9664,135.8755,3.1346,,,
35000,,,576.8906,991.8882,28718.3379,576.8906,2.6385,166.4578,2.735,,,
35000,4497.1291,1000.0,,,,,,,,,,
35000,,,,,,,,,,1000,2779.3675,77.6072
35500,,,625.5899,1082.1672,36935.7734,625.5899,3.1791,205.6996,3.2863,,,
36000,,,571.0018,967.9584,36089.3945,571.0018,2.9639,131.6965,2.8117,,,
36000,,,,,,,,,,1000,2738.6942,94.3139
36500,,,634.6576,1097.6143,46602.8477,634.6576,2.4694,80.6654,2.6655,,,
37000,,,564.9338,949.9213,29327.0234,564.9338,2.4495,164.6433,3.4273,,,
37000,,,,,,,,,,1000,2926.5821,92.7353
37500,,,573.1987,969.4963,39387.6094,573.1987,4.0616,220.3737,3.3792,,,
38000,,,597.9873,1010.6378,69052.1094,597.9873,3.2732,150.0202,4.2549,,,
38000,,,,,,,,,,1000,2796.9059,92.8016
38500,,,556.1268,925.4922,28792.1992,556.1268,3.0761,163.9446,2.5314,,,
39000,,,599.464,1010.8338,37011.043,599.464,2.9154,114.7812,2.6434,,,
39000,,,,,,,,,,1000,2964.5176,91.9159
39500,,,606.432,1016.4178,52932.0898,606.432,3.8476,113.9074,3.9838,,,
40000,,,634.6913,1075.5171,75828.1328,634.6913,3.5284,283.5826,3.6562,,,
40000,4949.9031,1000.0,,,,,,,,,,
40000,,,,,,,,,,1000,3034.8586,77.1056
40500,,,586.6426,969.5479,39891.5742,586.6426,2.6926,163.403,3.0658,,,
41000,,,565.2744,929.1422,46319.832,565.2744,3.5359,145.1281,4.9904,,,
41000,,,,,,,,,,1000,2909.2481,92.0121
41500,,,543.6066,878.5508,37274.6953,543.6066,2.4811,133.4729,4.0702,,,
42000,,,562.1674,917.1707,43490.4258,562.1674,2.9589,234.6094,2.5622,,,
42000,,,,,,,,,,1000,3055.2812,92.4657
42500,,,539.1971,869.8289,30732.6133,539.1971,2.833,140.8591,3.6336,,,
43000,,,635.4719,1057.2966,57125.918,635.4719,3.1388,249.6755,2.9567,,,
43000,,,,,,,,,,1000,3386.9975,92.3916
43500,,,546.136,874.3998,33590.4648,546.136,2.9691,143.2034,3.6044,,,
44000,,,508.6567,796.618,33980.3984,508.6567,3.1799,168.7001,2.7097,,,
44000,,,,,,,,,,1000,3293.1561,92.1672
44500,,,570.8191,921.2023,33355.7539,570.8191,2.831,137.0791,2.5489,,,
45000,,,536.0465,846.3328,40648.4648,536.0465,3.0379,270.4983,4.7545,,,
45000,5420.4479,1000.0,,,,,,,,,,
45000,,,,,,,,,,1000,3355.1463,77.4357
45500,,,579.2697,926.0507,48269.9141,579.2697,3.5058,162.148,2.914,,,
46000,,,577.798,924.4715,63424.2578,577.798,3.169,228.361,3.0407,,,
46000,,,,,,,,,,1000,3415.9664,92.2472
46500,,,558.798,878.3729,45548.4609,558.798,2.7294,258.9368,4.7268,,,
47000,,,558.2452,882.1481,47040.2891,558.2452,2.9863,130.6908,3.2023,,,
47000,,,,,,,,,,1000,3469.7126,91.954
47500,,,581.4161,920.7251,60249.543,581.4161,2.6806,136.6912,4.9645,,,
48000,,,613.0976,987.7711,61381.7344,613.0976,3.6801,260.9562,3.2977,,,
48000,,,,,,,,,,1000,3519.2835,92.0077
48500,,,529.4613,812.7362,37044.25,529.4613,3.7193,189.2007,3.3093,,,
49000,,,532.3778,818.9376,32627.6328,532.3778,3.7298,182.4636,3.9991,,,
49000,,,,,,,,,,1000,3572.0681,91.9674
49500,,,611.4375,973.7419,51472.7148,611.4375,2.689,118.5454,4.7732,,,
