env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-27.2998,1000.0,,,,,,,,,,,,
500,,,1.3607,0.7394,0.119,0.7142,2.3747,0.5963,0.2913,0.4418,0.2528,,,
1000,,,1.2496,0.7104,0.0754,0.6067,3.6423,0.4962,0.5757,1.0759,0.3329,,,
1000,,,,,,,,,,,,1000,-209.7215,64.524
1500,,,1.2694,0.6881,0.0793,0.0488,4.662,0.5247,0.7428,1.2873,0.3759,,,
2000,,,1.2799,0.7187,0.0822,-0.5459,3.5799,0.5067,0.845,2.8647,0.2445,,,
2000,,,,,,,,,,,,1000,-207.7107,93.4548
2500,,,1.2887,0.725,0.0851,-0.7242,5.9876,0.5174,0.8739,0.9256,0.3291,,,
3000,,,1.3006,0.7239,0.0896,-0.8908,3.6299,0.5008,0.9953,5.2157,0.2836,,,
3000,,,,,,,,,,,,1000,-308.7225,93.6155
3500,,,1.3212,0.7271,0.0909,-1.0348,4.4981,0.5338,1.1286,2.207,0.3869,,,
4000,,,1.3585,0.7087,0.0981,-1.6213,8.8349,0.6007,1.4353,6.251,0.6155,,,
4000,,,,,,,,,,,,1000,-380.5193,95.8275
4500,,,1.421,0.7236,0.1022,-1.1811,9.2339,0.6666,1.8705,9.2717,0.653,,,
5000,,,1.4014,0.7135,0.1027,-2.0849,6.5825,0.6518,2.0345,9.8905,0.3156,,,
5000,-233.2745,1000.0,,,,,,,,,,,,
5000,,,,,,,,,,,,1000,-375.1024,75.8522
5500,,,1.4499,0.7552,0.1111,-3.0288,5.5236,0.6646,2.0072,3.6398,0.4046,,,
6000,,,1.5385,0.7492,0.1207,-3.1368,6.1595,0.7915,2.3177,3.7834,0.6482,,,
6000,,,,,,,,,,,,1000,-328.3799,97.3833
6500,,,1.5683,0.7089,0.1231,-4.1066,7.4145,0.8591,2.559,6.8646,0.4845,,,
7000,,,1.5642,0.7075,0.1238,-4.3533,8.4598,0.8644,2.4742,8.2961,0.5347,,,
7000,,,,,,,,,,,,1000,-298.1138,93.4287
7500,,,1.5889,0.6937,0.1287,-5.9277,9.297,0.905,3.0338,7.4092,0.8161,,,
8000,,,1.6185,0.709,0.1338,-7.8103,8.869,0.9643,2.7039,11.4413,0.9647,,,
8000,,,,,,,,,,,,1000,-329.8789,94.8658
8500,,,1.6392,0.7686,0.1365,-8.5147,8.7107,0.9274,2.9482,8.8089,1.2424,,,
9000,,,1.6986,0.713,0.1421,-9.8895,11.2514,1.1121,2.9244,13.323,1.2492,,,
9000,,,,,,,,,,,,1000,-122.2435,96.771
9500,,,1.7057,0.6882,0.1444,-10.9432,12.9913,1.1593,2.9275,17.8235,1.6572,,,
10000,,,1.709,0.7455,0.1444,-12.1227,10.6524,1.0664,3.1778,14.8442,0.9644,,,
10000,-253.1924,1000.0,,,,,,,,,,,,
