env_steps,return,length,train/length,train/return,FPS,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
2418,,,42,42.0,105.6428,,,,,,,
2432,,,14,14.0,106.89,,,,,,,
2442,,,10,10.0,105.2557,,,,,,,
2481,,,39,39.0,104.915,,,,,,,
2491,,,10,10.0,103.867,,,,,,,
2496,,,5,5.0,103.8724,,,,,,,
2500,,,,,,0.0016,-11.3917,0.2224,0.0016,0.9664,12.7683,0.0114
2503,,,7,7.0,105.7805,,,,,,,
2515,,,12,12.0,104.4145,,,,,,,
2524,,,9,9.0,104.5318,,,,,,,
2543,,,19,19.0,103.288,,,,,,,
2550,,,7,7.0,93.1042,,,,,,,
2581,,,31,31.0,105.0755,,,,,,,
2617,,,36,36.0,105.6138,,,,,,,
2654,,,37,37.0,105.2855,,,,,,,
2664,,,10,10.0,103.6275,,,,,,,
2690,,,26,26.0,104.7128,,,,,,,
2696,,,6,6.0,104.9254,,,,,,,
2706,,,10,10.0,106.0965,,,,,,,
2738,,,32,32.0,105.712,,,,,,,
2741,,,3,3.0,105.1397,,,,,,,
2758,,,17,17.0,104.6237,,,,,,,
2785,,,27,27.0,104.2162,,,,,,,
2826,,,41,41.0,105.4217,,,,,,,
2847,,,21,21.0,105.8638,,,,,,,
2852,,,5,5.0,101.2823,,,,,,,
2899,,,47,47.0,105.014,,,,,,,
2904,,,5,5.0,102.8152,,,,,,,
2926,,,22,22.0,103.4922,,,,,,,
2935,,,9,9.0,104.5558,,,,,,,
2972,,,37,37.0,104.7881,,,,,,,
2984,,,12,12.0,102.4388,,,,,,,
2988,,,4,4.0,105.1053,,,,,,,
2994,,,6,6.0,104.8065,,,,,,,
3000,,,,,,0.0011,-13.2244,0.2299,0.0011,1.118,10.7006,0.0239
3019,,,25,25.0,104.2345,,,,,,,
3044,,,25,25.0,105.7965,,,,,,,
3072,,,28,28.0,104.9065,,,,,,,
3085,,,13,13.0,104.9197,,,,,,,
3089,,,4,4.0,105.3309,,,,,,,
3094,,,5,5.0,103.2464,,,,,,,
3121,,,27,27.0,105.3693,,,,,,,
3125,,,4,4.0,105.3316,,,,,,,
3131,,,6,6.0,105.9123,,,,,,,
3139,,,8,8.0,105.8272,,,,,,,
3145,,,6,6.0,108.8158,,,,,,,
3149,,,4,4.0,105.3448,,,,,,,
3155,,,6,6.0,109.3605,,,,,,,
3168,,,13,13.0,107.9972,,,,,,,
3206,,,38,38.0,103.9535,,,,,,,
3218,,,12,12.0,106.0355,,,,,,,
3236,,,18,18.0,105.6309,,,,,,,
3250,,,14,14.0,105.0425,,,,,,,
3254,,,4,4.0,105.0769,,,,,,,
3293,,,39,39.0,104.0965,,,,,,,
3303,,,10,10.0,103.5367,,,,,,,
3311,,,8,8.0,107.4237,,,,,,,
3316,,,5,5.0,105.274,,,,,,,
3326,,,10,10.0,103.9295,,,,,,,
3333,,,7,7.0,105.9164,,,,,,,
3337,,,4,4.0,107.0631,,,,,,,
3375,,,38,38.0,103.9224,,,,,,,
3387,,,12,12.0,104.0338,,,,,,,
3414,,,27,27.0,101.7997,,,,,,,
3418,,,4,4.0,104.6176,,,,,,,
3422,,,4,4.0,108.1682,,,,,,,
3444,,,22,22.0,104.8267,,,,,,,
3455,,,11,11.0,104.631,,,,,,,
3461,,,6,6.0,102.9496,,,,,,,
3472,,,11,11.0,105.7214,,,,,,,
3489,,,17,17.0,103.3674,,,,,,,
3492,,,3,3.0,110.4219,,,,,,,
3500,,,,,,0.0017,-14.9063,0.696,0.0017,1.5729,36.7481,0.0416
3503,,,11,11.0,105.65,,,,,,,
3512,,,9,9.0,102.8186,,,,,,,
3543,,,31,31.0,104.7734,,,,,,,
3561,,,18,18.0,103.6351,,,,,,,
3580,,,19,19.0,104.6757,,,,,,,
3595,,,15,15.0,105.1216,,,,,,,
3599,,,4,4.0,104.8917,,,,,,,
3609,,,10,10.0,106.2185,,,,,,,
3629,,,20,20.0,103.4405,,,,,,,
3653,,,24,24.0,104.193,,,,,,,
3689,,,36,36.0,104.276,,,,,,,
3702,,,13,13.0,105.1261,,,,,,,
3706,,,4,4.0,101.1748,,,,,,,
3726,,,20,20.0,97.4465,,,,,,,
3741,,,15,15.0,102.8905,,,,,,,
3745,,,4,4.0,107.7396,,,,,,,
3749,,,4,4.0,104.7339,,,,,,,
3762,,,13,13.0,103.1481,,,,,,,
3765,,,3,3.0,108.5024,,,,,,,
3778,,,13,13.0,104.2113,,,,,,,
3802,,,24,24.0,104.7099,,,,,,,
3834,,,32,32.0,104.4825,,,,,,,
3864,,,30,30.0,103.4454,,,,,,,
3871,,,7,7.0,103.3494,,,,,,,
3892,,,21,21.0,103.3292,,,,,,,
3899,,,7,7.0,102.5491,,,,,,,
3922,,,23,23.0,104.0418,,,,,,,
3930,,,8,8.0,99.5896,,,,,,,
3958,,,28,28.0,103.3023,,,,,,,
3971,,,13,13.0,102.8945,,,,,,,
3982,,,11,11.0,104.0888,,,,,,,
3992,,,10,10.0,106.6623,,,,,,,
3999,,,7,7.0,103.79,,,,,,,
4000,,,,,,0.0007,-17.8303,0.3231,0.0007,2.4641,35.7425,0.0517
4002,,,3,3.0,104.2357,,,,,,,
4006,,,4,4.0,102.0667,,,,,,,
4027,,,21,21.0,104.211,,,,,,,
4031,,,4,4.0,104.3015,,,,,,,
4070,,,39,39.0,105.5391,,,,,,,
4099,,,29,29.0,108.4835,,,,,,,
4106,,,7,7.0,107.8675,,,,,,,
4124,,,18,18.0,102.9892,,,,,,,
4134,,,10,10.0,102.8396,,,,,,,
4154,,,20,20.0,107.7308,,,,,,,
4157,,,3,3.0,112.3163,,,,,,,
4162,,,5,5.0,112.251,,,,,,,
4176,,,14,14.0,107.1053,,,,,,,
4213,,,37,37.0,108.1889,,,,,,,
4234,,,21,21.0,109.3195,,,,,,,
4247,,,13,13.0,106.7435,,,,,,,
4253,,,6,6.0,107.1753,,,,,,,
4288,,,35,35.0,106.5831,,,,,,,
4303,,,15,15.0,101.1025,,,,,,,
4311,,,8,8.0,102.9204,,,,,,,
4315,,,4,4.0,102.7273,,,,,,,
4342,,,27,27.0,104.7707,,,,,,,
4355,,,13,13.0,105.3646,,,,,,,
4365,,,10,10.0,104.2319,,,,,,,
4370,,,5,5.0,104.6076,,,,,,,
4383,,,13,13.0,102.1761,,,,,,,
4396,,,13,13.0,105.1249,,,,,,,
4419,,,23,23.0,105.1142,,,,,,,
4425,,,6,6.0,101.6797,,,,,,,
4445,,,20,20.0,101.7493,,,,,,,
4466,,,21,21.0,104.7385,,,,,,,
4472,,,6,6.0,104.1231,,,,,,,
4482,,,10,10.0,102.8512,,,,,,,
4488,,,6,6.0,104.221,,,,,,,
4496,,,8,8.0,102.9972,,,,,,,
4500,,,,,,0.0013,-18.8162,0.539,0.0013,2.724,48.864,0.1872
4509,,,13,13.0,103.8135,,,,,,,
4516,,,7,7.0,101.8703,,,,,,,
4524,,,8,8.0,105.1992,,,,,,,
4538,,,14,14.0,104.8245,,,,,,,
4548,,,10,10.0,103.1469,,,,,,,
4573,,,25,25.0,104.5737,,,,,,,
4590,,,17,17.0,103.7083,,,,,,,
4603,,,13,13.0,105.6485,,,,,,,
4620,,,17,17.0,104.3237,,,,,,,
4642,,,22,22.0,104.0199,,,,,,,
4652,,,10,10.0,106.168,,,,,,,
4666,,,14,14.0,103.306,,,,,,,
4669,,,3,3.0,103.9661,,,,,,,
4686,,,17,17.0,103.3192,,,,,,,
4694,,,8,8.0,106.4288,,,,,,,
4704,,,10,10.0,104.7126,,,,,,,
4724,,,20,20.0,104.8116,,,,,,,
4729,,,5,5.0,102.5668,,,,,,,
4739,,,10,10.0,104.169,,,,,,,
4745,,,6,6.0,103.4745,,,,,,,
4754,,,9,9.0,104.0604,,,,,,,
4767,,,13,13.0,106.2108,,,,,,,
4771,,,4,4.0,102.7047,,,,,,,
4776,,,5,5.0,104.1442,,,,,,,
4795,,,19,19.0,104.4589,,,,,,,
4816,,,21,21.0,105.7607,,,,,,,
4824,,,8,8.0,104.1394,,,,,,,
4837,,,13,13.0,105.659,,,,,,,
4844,,,7,7.0,102.9826,,,,,,,
4852,,,8,8.0,106.0493,,,,,,,
4875,,,23,23.0,103.6138,,,,,,,
4912,,,37,37.0,104.9217,,,,,,,
4934,,,22,22.0,105.5302,,,,,,,
4941,,,7,7.0,104.0026,,,,,,,
4945,,,4,4.0,106.5409,,,,,,,
4961,,,16,16.0,104.0073,,,,,,,
4967,,,6,6.0,104.4359,,,,,,,
4996,,,29,29.0,103.8819,,,,,,,
5000,,,,,,0.0006,-20.6022,0.9835,0.0006,2.8365,31.0155,0.0334
5000,35.3,35.3,,,,,,,,,,
5030,,,34,34.0,59.3902,,,,,,,
5042,,,12,12.0,104.5105,,,,,,,
5046,,,4,4.0,103.9236,,,,,,,
5063,,,17,17.0,104.5694,,,,,,,
5098,,,35,35.0,103.9973,,,,,,,
5109,,,11,11.0,105.1149,,,,,,,
5117,,,8,8.0,103.7052,,,,,,,
5120,,,3,3.0,104.5344,,,,,,,
5124,,,4,4.0,102.2895,,,,,,,
5129,,,5,5.0,108.8299,,,,,,,
5142,,,13,13.0,104.1295,,,,,,,
5145,,,3,3.0,105.299,,,,,,,
5155,,,10,10.0,106.6263,,,,,,,
5182,,,27,27.0,103.6084,,,,,,,
5211,,,29,29.0,103.3225,,,,,,,
5226,,,15,15.0,104.4149,,,,,,,
5236,,,10,10.0,104.1021,,,,,,,
5245,,,9,9.0,107.3224,,,,,,,
5267,,,22,22.0,105.1671,,,,,,,
5271,,,4,4.0,106.0808,,,,,,,
5276,,,5,5.0,102.9788,,,,,,,
5290,,,14,14.0,104.2405,,,,,,,
5304,,,14,14.0,103.2224,,,,,,,
5318,,,14,14.0,104.989,,,,,,,
5332,,,14,14.0,104.2442,,,,,,,
5336,,,4,4.0,106.2623,,,,,,,
5354,,,18,18.0,104.5312,,,,,,,
5379,,,25,25.0,104.477,,,,,,,
5383,,,4,4.0,108.4942,,,,,,,
5388,,,5,5.0,101.3176,,,,,,,
5405,,,17,17.0,104.5049,,,,,,,
5410,,,5,5.0,103.2134,,,,,,,
5424,,,14,14.0,104.6666,,,,,,,
5429,,,5,5.0,109.4947,,,,,,,
5438,,,9,9.0,103.3722,,,,,,,
5442,,,4,4.0,102.2964,,,,,,,
5478,,,36,36.0,105.1523,,,,,,,
5500,,,,,,0.0016,-21.9313,0.2241,0.0016,4.4182,44.8278,0.0874
5502,,,24,24.0,104.9332,,,,,,,
5517,,,15,15.0,103.079,,,,,,,
5528,,,11,11.0,104.764,,,,,,,
5545,,,17,17.0,105.5185,,,,,,,
5556,,,11,11.0,104.1153,,,,,,,
5560,,,4,4.0,102.0115,,,,,,,
5566,,,6,6.0,107.7221,,,,,,,
5584,,,18,18.0,103.4239,,,,,,,
5605,,,21,21.0,104.6998,,,,,,,
5625,,,20,20.0,102.9628,,,,,,,
5636,,,11,11.0,106.2468,,,,,,,
5647,,,11,11.0,104.0198,,,,,,,
5660,,,13,13.0,103.0781,,,,,,,
5664,,,4,4.0,102.6745,,,,,,,
5670,,,6,6.0,104.7982,,,,,,,
5685,,,15,15.0,103.4461,,,,,,,
5704,,,19,19.0,104.0993,,,,,,,
5721,,,17,17.0,102.9997,,,,,,,
5736,,,15,15.0,104.5497,,,,,,,
5742,,,6,6.0,102.5632,,,,,,,
5746,,,4,4.0,106.1285,,,,,,,
5754,,,8,8.0,104.7983,,,,,,,
5778,,,24,24.0,104.3528,,,,,,,
5785,,,7,7.0,106.3137,,,,,,,
5804,,,19,19.0,108.3679,,,,,,,
5813,,,9,9.0,107.0258,,,,,,,
5817,,,4,4.0,99.4046,,,,,,,
5834,,,17,17.0,106.2325,,,,,,,
5838,,,4,4.0,112.7024,,,,,,,
5849,,,11,11.0,110.8674,,,,,,,
5864,,,15,15.0,109.0534,,,,,,,
5878,,,14,14.0,106.7981,,,,,,,
5897,,,19,19.0,109.6116,,,,,,,
5902,,,5,5.0,106.2931,,,,,,,
5908,,,6,6.0,108.0542,,,,,,,
5914,,,6,6.0,108.9269,,,,,,,
5918,,,4,4.0,110.7575,,,,,,,
5923,,,5,5.0,92.6013,,,,,,,
5951,,,28,28.0,105.0865,,,,,,,
5957,,,6,6.0,104.3511,,,,,,,
5960,,,3,3.0,108.4958,,,,,,,
5978,,,18,18.0,102.8104,,,,,,,
5982,,,4,4.0,105.9951,,,,,,,
5987,,,5,5.0,104.4185,,,,,,,
6000,,,,,,0.0012,-23.5358,0.6556,0.0012,5.317,50.7116,0.6473
6008,,,21,21.0,108.2026,,,,,,,
6021,,,13,13.0,110.5033,,,,,,,
6056,,,35,35.0,108.7712,,,,,,,
6064,,,8,8.0,102.0143,,,,,,,
6071,,,7,7.0,105.5398,,,,,,,
6078,,,7,7.0,103.94,,,,,,,
6082,,,4,4.0,105.7845,,,,,,,
6088,,,6,6.0,103.1661,,,,,,,
6110,,,22,22.0,106.0296,,,,,,,
6117,,,7,7.0,103.4441,,,,,,,
6123,,,6,6.0,107.1037,,,,,,,
6132,,,9,9.0,98.5988,,,,,,,
6149,,,17,17.0,105.7263,,,,,,,
6162,,,13,13.0,103.8995,,,,,,,
6182,,,20,20.0,103.5333,,,,,,,
6207,,,25,25.0,104.1791,,,,,,,
6220,,,13,13.0,103.0413,,,,,,,
6223,,,3,3.0,104.8471,,,,,,,
6228,,,5,5.0,104.9395,,,,,,,
6250,,,22,22.0,104.4693,,,,,,,
6258,,,8,8.0,105.1827,,,,,,,
