env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
6640,,,126,267.3526,87.5314,,,,,,,,,,
6778,,,138,332.1573,87.451,,,,,,,,,,
6921,,,143,287.9114,83.0395,,,,,,,,,,
7000,,,,,,0.4197,0.7532,0.1753,-70.3182,3.1352,0.0101,-0.3245,8.807,220.8059,1.1004
7075,,,154,321.0675,81.2029,,,,,,,,,,
7216,,,141,306.2247,81.356,,,,,,,,,,
7342,,,126,263.8666,86.5642,,,,,,,,,,
7484,,,142,289.1806,81.9048,,,,,,,,,,
7500,,,,,,0.4172,0.7421,0.1667,-77.2321,3.84,0.0095,-0.3154,11.5756,127.2359,1.1066
7653,,,169,345.6704,80.5303,,,,,,,,,,
7822,,,169,347.2522,81.1512,,,,,,,,,,
7829,,,7,4.7445,81.8284,,,,,,,,,,
7969,,,140,314.1431,81.2375,,,,,,,,,,
8000,,,,,,0.4281,0.7544,0.1666,-81.3524,3.2863,0.0087,-0.32,9.2676,82.2788,0.5805
8126,,,157,332.0138,84.3372,,,,,,,,,,
8267,,,141,311.4923,80.6628,,,,,,,,,,
8441,,,174,345.0053,80.4213,,,,,,,,,,
8463,,,22,24.634,81.5909,,,,,,,,,,
8481,,,18,18.8584,81.6099,,,,,,,,,,
8500,,,,,,0.4268,0.7529,0.1745,-88.0783,3.317,0.0094,-0.3336,8.479,144.7997,0.8832
8622,,,141,308.3591,81.1813,,,,,,,,,,
8791,,,169,329.4005,80.6997,,,,,,,,,,
8932,,,141,312.0951,80.7073,,,,,,,,,,
8945,,,13,13.1196,80.4346,,,,,,,,,,
9000,,,,,,0.4336,0.7589,0.1914,-93.585,4.0073,0.0097,-0.3353,11.1591,255.0402,0.9322
9091,,,146,315.2726,81.058,,,,,,,,,,
9219,,,128,288.7166,80.0553,,,,,,,,,,
9359,,,140,318.1075,80.3974,,,,,,,,,,
9489,,,130,315.2042,81.188,,,,,,,,,,
9500,,,,,,0.4369,0.749,0.1737,-98.3887,3.2278,0.0092,-0.3288,17.8362,196.1768,0.9426
9621,,,132,313.6064,79.4827,,,,,,,,,,
9643,,,22,26.4799,81.1829,,,,,,,,,,
9792,,,149,330.6428,80.9519,,,,,,,,,,
9803,,,11,9.0508,80.7301,,,,,,,,,,
9936,,,133,326.4461,80.5714,,,,,,,,,,
10000,,,,,,0.4357,0.7501,0.1776,-101.8148,3.7475,0.0105,-0.3351,13.5577,133.9079,1.428
10000,323.9728,142.3,,,,,,,,,,,,,
10071,,,135,314.7195,69.3171,,,,,,,,,,
10079,,,8,6.3023,81.8932,,,,,,,,,,
10092,,,13,13.0757,81.393,,,,,,,,,,
10236,,,144,335.931,80.983,,,,,,,,,,
10439,,,203,387.4806,80.6847,,,,,,,,,,
10500,,,,,,0.4429,0.7542,0.1697,-103.9535,2.8768,0.0082,-0.3279,9.8182,178.7637,1.3952
10613,,,174,400.7412,80.9198,,,,,,,,,,
10788,,,175,404.7331,80.881,,,,,,,,,,
10926,,,138,359.5741,80.766,,,,,,,,,,
11000,,,,,,0.4497,0.765,0.1751,-107.9446,8.6323,0.0088,-0.3307,18.0645,240.37,1.734
11052,,,126,291.8595,81.248,,,,,,,,,,
11196,,,144,349.2139,80.9467,,,,,,,,,,
11326,,,130,301.0196,80.8059,,,,,,,,,,
11337,,,11,8.1956,80.6683,,,,,,,,,,
11457,,,120,307.8379,79.9374,,,,,,,,,,
11500,,,,,,0.4528,0.7677,0.1658,-114.4227,4.2756,0.0081,-0.333,19.3763,492.5367,2.2701
11561,,,104,244.0178,80.9093,,,,,,,,,,
11684,,,123,310.5814,81.7767,,,,,,,,,,
11796,,,112,285.0379,81.1751,,,,,,,,,,
11914,,,118,310.5305,81.059,,,,,,,,,,
11927,,,13,13.0544,80.5269,,,,,,,,,,
11955,,,28,31.9567,81.3245,,,,,,,,,,
11984,,,29,37.1247,80.6725,,,,,,,,,,
12000,,,,,,0.4552,0.767,0.1988,-117.2312,5.1795,0.0091,-0.3205,17.8509,581.9313,4.6311
12098,,,114,290.1668,81.1143,,,,,,,,,,
12114,,,16,18.1759,81.1424,,,,,,,,,,
12126,,,12,10.8027,80.6892,,,,,,,,,,
12242,,,116,298.5638,80.9127,,,,,,,,,,
12368,,,126,308.2345,80.9581,,,,,,,,,,
12494,,,126,310.4251,81.107,,,,,,,,,,
12500,,,,,,0.4569,0.764,0.1712,-119.8036,7.1919,0.009,-0.3418,16.0659,344.9449,1.6392
12607,,,113,273.41,81.1158,,,,,,,,,,
12738,,,131,336.6243,81.3706,,,,,,,,,,
12857,,,119,285.9411,86.6865,,,,,,,,,,
12873,,,16,17.5763,86.9001,,,,,,,,,,
12986,,,113,271.2054,86.1147,,,,,,,,,,
12997,,,11,11.3214,85.2283,,,,,,,,,,
13000,,,,,,0.4672,0.7681,0.1878,-125.8477,5.267,0.0082,-0.3433,31.1453,576.4595,2.4718
13124,,,127,321.1824,86.6328,,,,,,,,,,
13247,,,123,299.5352,86.6399,,,,,,,,,,
13264,,,17,18.6506,86.5808,,,,,,,,,,
13373,,,109,260.2175,81.6159,,,,,,,,,,
13399,,,26,34.2842,80.658,,,,,,,,,,
13500,,,,,,0.4554,0.759,0.1655,-130.188,6.7102,0.0097,-0.3295,17.9824,355.9303,2.6283
13514,,,115,261.2403,85.2365,,,,,,,,,,
13526,,,12,12.5662,86.0993,,,,,,,,,,
13655,,,129,321.7895,84.2751,,,,,,,,,,
13767,,,112,260.4691,79.7734,,,,,,,,,,
13890,,,123,313.0664,79.875,,,,,,,,,,
14000,,,,,,0.4708,0.7685,0.1786,-135.006,3.9335,0.0075,-0.3464,11.5535,207.6854,1.0039
14021,,,131,333.068,80.5726,,,,,,,,,,
14091,,,70,141.389,81.0637,,,,,,,,,,
14207,,,116,311.5896,80.6063,,,,,,,,,,
14270,,,63,116.3759,81.121,,,,,,,,,,
14342,,,72,142.2909,80.9972,,,,,,,,,,
14415,,,73,152.8986,80.0946,,,,,,,,,,
14478,,,63,116.1629,80.8659,,,,,,,,,,
14500,,,,,,0.4589,0.7584,0.1782,-137.5721,5.7504,0.0089,-0.3642,12.8389,220.0483,2.3352
14591,,,113,309.0513,80.9997,,,,,,,,,,
14610,,,19,24.1625,80.7147,,,,,,,,,,
14728,,,118,300.1597,80.7025,,,,,,,,,,
14822,,,94,205.8416,80.8825,,,,,,,,,,
14932,,,110,282.2645,80.9497,,,,,,,,,,
