env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5939,1000.0,,,,,,,,,,,,,
500,,,1.301,0.7271,0.3973,-0.3469,0.2621,0.9565,-0.3967,0.3648,1.3004,0.2052,,,
1000,,,1.2901,0.6954,0.4155,-1.5908,0.3507,0.8698,-0.4232,0.367,2.5551,0.2098,,,
1000,,,,,,,,,,,,,1000,-369.2702,31.7431
1500,,,1.2931,0.7285,0.4559,-1.9353,0.2876,1.1289,-0.4578,0.3871,2.7221,0.3403,,,
2000,,,1.2953,0.7324,0.462,-2.8385,0.4448,1.1396,-0.4542,0.4446,5.0004,0.4325,,,
2000,,,,,,,,,,,,,1000,-392.4096,41.7767
2500,,,1.2797,0.6939,0.4927,-3.7963,0.536,1.2964,-0.4838,0.5022,3.5306,0.2769,,,
3000,,,1.2484,0.7174,0.4807,-5.2279,0.6612,1.3055,-0.4727,0.5705,6.5579,0.6133,,,
3000,,,,,,,,,,,,,1000,-426.8987,43.0847
3500,,,1.2472,0.7487,0.4712,-6.5184,0.879,1.3704,-0.4791,0.7725,7.0928,0.8621,,,
4000,,,1.2509,0.716,0.4817,-7.6361,0.8176,1.341,-0.4982,0.8502,9.9313,0.8838,,,
4000,,,,,,,,,,,,,1000,-276.0769,41.2507
4500,,,1.2149,0.7338,0.4647,-9.6685,1.2527,1.3473,-0.4792,1.0239,11.0695,0.9988,,,
5000,,,1.2248,0.7354,0.4659,-10.9067,1.5552,1.3595,-0.4732,1.1162,13.8484,1.3795,,,
5000,-364.1958,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-325.7942,38.1812
5500,,,1.2262,0.7303,0.4841,-12.3493,1.2434,1.4242,-0.4728,1.0479,19.4649,1.3806,,,
6000,,,1.2411,0.687,0.4897,-13.8397,1.2481,1.3331,-0.4828,0.9931,11.015,1.3625,,,
6000,,,,,,,,,,,,,1000,-415.0739,41.7979
6500,,,1.2292,0.7093,0.4687,-15.9273,2.0536,1.319,-0.484,1.4915,21.2693,0.8005,,,
7000,,,1.2351,0.7177,0.4847,-15.2576,1.6151,1.3844,-0.4617,1.3371,18.1552,1.2063,,,
7000,,,,,,,,,,,,,1000,-326.4084,43.9211
7500,,,1.2494,0.75,0.4881,-17.7789,1.6684,1.4358,-0.4985,1.8561,20.9502,1.0692,,,
8000,,,1.2381,0.6659,0.484,-19.0529,1.7423,1.2067,-0.4842,1.3747,18.7868,1.7083,,,
8000,,,,,,,,,,,,,1000,-289.251,42.8675
8500,,,1.2256,0.6978,0.4732,-20.3191,2.3264,1.3059,-0.481,1.7512,24.8845,1.427,,,
9000,,,1.2211,0.7126,0.4712,-20.696,2.1793,1.3194,-0.4768,1.9314,50.4901,1.6701,,,
9000,,,,,,,,,,,,,1000,-192.3769,42.3261
9500,,,1.2343,0.721,0.4812,-21.8155,2.1439,1.3821,-0.4813,1.7537,22.4084,1.2982,,,
10000,,,1.2163,0.6906,0.5011,-22.2309,2.3934,1.4227,-0.4966,2.0419,63.0638,1.5439,,,
10000,344.059,1000.0,,,,,,,,,,,,,
10000,,,,,,,,,,,,,1000,-326.7914,39.019
10500,,,1.2445,0.7212,0.5025,-23.5943,1.9521,1.4999,-0.4954,2.3263,74.8805,2.0235,,,
11000,,,1.2185,0.6843,0.5061,-26.027,2.8735,1.513,-0.4943,1.8012,35.273,2.3736,,,
