env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
10483,,,48,-71.1924,95.9961,,,,,,,,,
10500,,,,,,2.6364,0.7489,0.2938,-68.1349,6.4617,1.5425,24.3957,144.5875,5.4738
10556,,,73,-55.8732,96.0322,,,,,,,,,
11000,,,,,,2.628,0.7391,0.2938,-67.2614,5.3037,1.5296,30.8597,177.2658,4.1049
11500,,,,,,2.6398,0.7444,0.2947,-70.8944,6.1175,1.5484,25.4339,242.7444,5.218
11556,,,1000,-1003.3369,90.9267,,,,,,,,,
11632,,,76,-87.841,90.0119,,,,,,,,,
11653,,,21,-34.0049,95.8274,,,,,,,,,
12000,,,,,,2.6605,0.74,0.2959,-77.3769,5.662,1.5531,31.8235,217.3099,4.308
12500,,,,,,2.636,0.7495,0.2943,-80.0265,6.6178,1.5313,30.1404,212.4339,4.5597
12653,,,1000,-1018.6839,94.1135,,,,,,,,,
12715,,,62,-37.1571,88.1434,,,,,,,,,
12722,,,7,-0.3943,90.9055,,,,,,,,,
12756,,,34,-35.6396,89.7854,,,,,,,,,
12840,,,84,-111.0571,88.7777,,,,,,,,,
12884,,,44,-72.7471,89.8734,,,,,,,,,
12917,,,33,-69.7341,89.8776,,,,,,,,,
13000,,,,,,2.6379,0.7459,0.2942,-88.4409,7.8112,1.53,60.7522,384.6482,4.2955
13500,,,,,,2.6146,0.748,0.2914,-92.2666,7.4649,1.5204,43.1426,501.5601,4.3469
13917,,,1000,-1001.8508,90.5798,,,,,,,,,
14000,,,,,,2.583,0.7366,0.2885,-93.7495,8.3995,1.4674,47.1207,382.7541,5.2411
14032,,,115,-70.6157,89.3415,,,,,,,,,
14052,,,20,-18.1444,89.8238,,,,,,,,,
14077,,,25,-30.1701,90.0167,,,,,,,,,
14108,,,31,-27.79,89.6715,,,,,,,,,
14121,,,13,-9.7701,90.1223,,,,,,,,,
14206,,,85,-51.6951,89.4024,,,,,,,,,
14373,,,167,-290.1885,89.3931,,,,,,,,,
14477,,,104,-137.7379,89.6936,,,,,,,,,
14500,,,,,,2.6207,0.7425,0.293,-97.1135,9.7026,1.535,83.6882,584.4943,7.9922
14522,,,45,-46.365,89.4088,,,,,,,,,
14651,,,129,-122.378,89.9875,,,,,,,,,
14758,,,107,-79.8088,89.9706,,,,,,,,,
15000,,,,,,2.6399,0.7483,0.294,-109.9641,10.1811,1.5582,58.0658,436.0438,5.8129
15000,370.1734,1000.0,,,,,,,,,,,,
15500,,,,,,2.6107,0.7372,0.2907,-111.6391,11.8015,1.543,76.1009,734.9715,8.9295
15758,,,1000,-991.5155,65.826,,,,,,,,,
15790,,,32,-47.1259,91.3924,,,,,,,,,
15824,,,34,-31.0328,95.9689,,,,,,,,,
16000,,,,,,2.576,0.7398,0.2867,-116.8932,9.9493,1.4685,84.6427,711.3655,7.9059
16500,,,,,,2.5822,0.7401,0.2859,-126.8832,9.4954,1.4759,86.0677,692.153,6.5412
16824,,,1000,-1000.3095,95.3645,,,,,,,,,
17000,,,,,,2.551,0.7442,0.2841,-126.4115,12.2387,1.4201,75.9665,734.3077,8.695
17500,,,,,,2.5755,0.749,0.2856,-126.7292,11.7733,1.4619,106.8259,955.2734,8.2878
17824,,,1000,-900.016,93.8811,,,,,,,,,
17860,,,36,-12.274,95.5345,,,,,,,,,
17889,,,29,-48.3684,95.5001,,,,,,,,,
17992,,,103,-120.669,95.4547,,,,,,,,,
18000,,,,,,2.5357,0.7395,0.2833,-132.6618,11.2325,1.4159,85.2806,597.8839,9.1224
18500,,,,,,2.511,0.7306,0.2815,-149.2546,11.7488,1.4056,105.585,1062.2598,12.577
18992,,,1000,-957.4392,94.3159,,,,,,,,,
19000,,,,,,2.5362,0.7398,0.281,-160.3069,12.3487,1.4173,110.881,788.9506,11.2172
19010,,,18,-13.0354,89.2913,,,,,,,,,
19320,,,310,-337.4723,89.6962,,,,,,,,,
19349,,,29,-45.2397,89.746,,,,,,,,,
19439,,,90,-85.6186,89.7599,,,,,,,,,
19500,,,,,,2.5792,0.7511,0.2884,-170.9636,13.1148,1.4731,136.5953,1459.2125,11.6712
20000,,,,,,2.5775,0.7458,0.2864,-175.448,14.6545,1.4803,123.1843,928.4241,11.2769
20000,167.295,641.1,,,,,,,,,,,,
20439,,,1000,-953.0761,73.0609,,,,,,,,,
20500,,,,,,2.5642,0.7475,0.2843,-172.1588,12.7566,1.4685,138.9956,1513.4225,9.5991
20671,,,232,-255.5243,89.7385,,,,,,,,,
21000,,,,,,2.5698,0.7388,0.2839,-186.5354,14.7339,1.4865,143.8624,1185.481,11.5813
21500,,,,,,2.5473,0.7493,0.2845,-192.0093,14.8099,1.4464,166.0108,1150.0339,11.2789
21671,,,1000,-944.9514,89.8725,,,,,,,,,
21748,,,77,-72.5183,90.0865,,,,,,,,,
21783,,,35,-47.2274,89.7762,,,,,,,,,
21815,,,32,-31.4655,89.5848,,,,,,,,,
22000,,,,,,2.5299,0.7376,0.283,-196.1298,15.4101,1.4263,192.0946,1591.4246,14.1078
22500,,,,,,2.5306,0.7345,0.2826,-206.4195,17.6592,1.4262,212.8043,2141.4299,12.443
22815,,,1000,-957.7575,90.4232,,,,,,,,,
22886,,,71,-38.7579,89.994,,,,,,,,,
22919,,,33,-40.7801,89.7689,,,,,,,,,
22989,,,70,-85.8651,89.6602,,,,,,,,,
23000,,,,,,2.5275,0.7328,0.2811,-217.0715,18.5492,1.4355,283.0184,3831.3201,14.0259
23500,,,,,,2.5807,0.7372,0.2862,-229.0585,17.7566,1.4999,243.0685,2348.3489,12.1657
23989,,,1000,-1009.4542,95.2554,,,,,,,,,
24000,,,,,,2.5737,0.7386,0.2872,-228.2749,19.3186,1.4769,238.1783,2828.166,13.5331
24053,,,64,-49.1332,95.458,,,,,,,,,
24149,,,96,-70.9223,95.7173,,,,,,,,,
24243,,,94,-44.4193,95.6082,,,,,,,,,
24375,,,132,-152.0525,95.5713,,,,,,,,,
24401,,,26,-21.0507,95.1495,,,,,,,,,
24500,,,,,,2.5533,0.7381,0.284,-251.9996,17.2663,1.4371,455.563,1800.1912,15.3327
25000,,,,,,2.5514,0.7394,0.2831,-256.8928,18.9688,1.4585,281.0535,2773.2942,18.7483
25000,105.2819,807.0,,,,,,,,,,,,
25401,,,1000,-884.5651,72.1531,,,,,,,,,
25459,,,58,-56.2962,89.7819,,,,,,,,,
25500,,,,,,2.565,0.7397,0.2848,-256.1806,21.3682,1.4524,467.0898,3412.9507,16.9047
25500,,,41,-47.5907,89.8923,,,,,,,,,
25645,,,145,-150.5305,89.945,,,,,,,,,
25713,,,68,-70.3565,89.8225,,,,,,,,,
25781,,,68,-64.3992,90.0674,,,,,,,,,
25902,,,121,-104.5555,95.2033,,,,,,,,,
25958,,,56,-41.9649,95.8099,,,,,,,,,
26000,,,,,,2.606,0.7373,0.2921,-295.2782,21.331,1.5256,474.4247,3669.2139,15.3253
26031,,,73,-19.3414,95.255,,,,,,,,,
26068,,,37,-59.599,95.8645,,,,,,,,,
26090,,,22,-16.5248,95.6234,,,,,,,,,
26111,,,21,-13.7771,95.3199,,,,,,,,,
26145,,,34,-35.752,95.8758,,,,,,,,,
26500,,,,,,2.5562,0.7385,0.2853,-307.7209,27.2113,1.4539,519.3489,5215.272,18.0483
27000,,,,,,2.5371,0.7397,0.2859,-285.848,26.6125,1.424,564.2715,7073.3896,16.76
27145,,,1000,-936.276,93.6418,,,,,,,,,
27173,,,28,-46.3271,89.8862,,,,,,,,,
