env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5463,1000.0,,,,,,,,,,,,,
500,,,0.1603,0.7053,0.0532,-0.2235,1.4878,0.0129,-0.0996,0.2313,1.215,0.2969,,,
1000,,,0.1849,0.6938,0.0687,-0.4319,0.9932,0.0154,-0.1315,0.2918,1.0122,0.262,,,
1000,,,,,,,,,,,,,1000,-202.302,51.5683
1500,,,0.2119,0.6986,0.0764,-0.9852,1.37,0.0211,-0.1421,0.483,1.749,0.3973,,,
2000,,,0.219,0.6891,0.0747,-1.8024,1.319,0.0235,-0.1234,0.6015,6.1829,0.6182,,,
2000,,,,,,,,,,,,,1000,-349.7638,85.3665
2500,,,0.2431,0.6943,0.0912,-3.0034,2.8891,0.0265,-0.1552,0.6937,3.4795,1.2427,,,
3000,,,0.2597,0.6944,0.0823,-4.2199,2.6313,0.035,-0.1597,1.0737,5.1689,0.7942,,,
3000,,,,,,,,,,,,,1000,-197.4456,83.8327
3500,,,0.2785,0.6888,0.0848,-5.7713,3.4895,0.0409,-0.1715,1.0153,6.762,1.0955,,,
4000,,,0.2889,0.7053,0.0864,-7.6777,4.7536,0.0448,-0.1668,1.1589,13.3883,0.8604,,,
4000,,,,,,,,,,,,,1000,-78.9505,86.3144
4500,,,0.2953,0.6962,0.1039,-8.1349,5.4002,0.0405,-0.1899,1.1726,15.1868,1.3039,,,
5000,,,0.2934,0.6989,0.1122,-8.7473,5.3637,0.0371,-0.1922,1.1919,15.8469,1.5723,,,
5000,196.3668,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-393.1164,73.6228
5500,,,0.3023,0.7133,0.1124,-10.782,6.3988,0.0403,-0.2017,1.4599,14.4604,1.4164,,,
6000,,,0.3146,0.7063,0.1019,-12.2396,5.3681,0.0495,-0.191,1.7081,14.3927,1.2607,,,
6000,,,,,,,,,,,,,1000,-17.9407,81.5811
6500,,,0.3222,0.6997,0.1127,-13.0392,7.1183,0.0483,-0.2107,1.8637,20.3642,1.2798,,,
7000,,,0.3312,0.6959,0.1067,-14.3259,8.0223,0.0557,-0.2054,1.8394,19.94,2.2198,,,
7000,,,,,,,,,,,,,1000,-421.274,81.0769
7500,,,0.3367,0.7006,0.116,-15.7952,7.9344,0.0536,-0.2203,2.0564,28.7066,1.3242,,,
8000,,,0.3422,0.6846,0.1179,-18.4156,9.9101,0.0545,-0.2299,2.2477,27.8457,1.1955,,,
8000,,,,,,,,,,,,,1000,-432.6041,81.9997
8500,,,0.3491,0.7088,0.1161,-21.7896,8.8067,0.0599,-0.2224,2.66,37.3723,1.8896,,,
9000,,,0.3623,0.7017,0.1567,-24.4495,9.9802,0.0469,-0.2724,3.1199,35.1047,1.5553,,,
9000,,,,,,,,,,,,,1000,391.954,82.0983
9500,,,0.3792,0.7028,0.1312,-29.1602,7.0446,0.0664,-0.2518,3.001,70.4262,1.4532,,,
10000,,,0.3846,0.7049,0.1401,-31.0119,8.3266,0.065,-0.2622,2.1829,28.4465,1.5554,,,
10000,1283.2219,1000.0,,,,,,,,,,,,,
10000,,,,,,,,,,,,,1000,-31.7125,73.159
10500,,,0.3794,0.7181,0.133,-35.7337,8.3498,0.0657,-0.2612,2.3649,75.0351,0.7369,,,
11000,,,0.3805,0.7139,0.1464,-39.0504,8.2849,0.0598,-0.2764,2.1443,36.5956,1.4528,,,
11000,,,,,,,,,,,,,1000,593.0405,81.4741
11500,,,0.385,0.7251,0.1388,-42.4692,7.1721,0.0658,-0.2688,2.4713,43.9546,1.1319,,,
12000,,,0.3813,0.7174,0.1306,-42.5223,6.8489,0.0685,-0.2655,2.5263,45.4279,2.1494,,,
12000,,,,,,,,,,,,,1000,719.6697,81.2702
12500,,,0.3951,0.7347,0.1399,-47.1471,7.0801,0.0699,-0.2652,2.0707,55.0836,1.7055,,,
13000,,,0.3901,0.7396,0.1362,-50.7007,8.2206,0.0698,-0.2685,2.2572,63.7206,2.4577,,,
13000,,,,,,,,,,,,,1000,819.8249,81.5388
13500,,,0.3894,0.7386,0.1301,-54.455,7.0755,0.0726,-0.2611,2.1064,56.9403,1.6312,,,
