env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5931,1000.0,,,,,,,,,,,,,
500,,,0.6082,0.6948,0.2147,-0.4199,0.7578,0.1221,-0.3834,0.2253,0.894,0.1841,,,
1000,,,0.5973,0.6931,0.1976,-1.1789,0.3901,0.1136,-0.387,0.3619,1.0859,0.1489,,,
1000,,,,,,,,,,,,,1000,-256.5107,53.1082
1500,,,0.6048,0.7007,0.2072,-2.2017,0.6572,0.1186,-0.391,0.4352,2.6283,0.192,,,
2000,,,0.6058,0.6958,0.2194,-3.3928,1.0266,0.1226,-0.4116,0.5423,4.3529,0.3991,,,
2000,,,,,,,,,,,,,1000,-359.8219,90.2468
2500,,,0.5985,0.6963,0.2003,-5.2616,1.4187,0.1164,-0.3774,0.6089,5.6814,0.4608,,,
3000,,,0.5942,0.6918,0.2093,-7.3312,2.2613,0.1214,-0.3941,0.6794,4.325,0.7854,,,
3000,,,,,,,,,,,,,1000,-265.1486,90.8403
3500,,,0.5975,0.6872,0.2051,-8.7406,2.4653,0.112,-0.3845,0.7059,7.7757,0.9051,,,
4000,,,0.5722,0.6909,0.1884,-9.8644,2.9285,0.1201,-0.3699,0.7693,9.6797,1.014,,,
4000,,,,,,,,,,,,,1000,-301.5223,88.4916
4500,,,0.573,0.6992,0.2045,-11.4376,2.9041,0.1393,-0.3828,0.8598,16.3812,0.9928,,,
5000,,,0.5684,0.6866,0.1991,-13.5416,2.9093,0.1291,-0.3744,0.7334,12.8828,1.2568,,,
5000,-50.0914,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-174.4114,76.6171
5500,,,0.5656,0.6995,0.2163,-14.7571,3.0686,0.1533,-0.4094,0.787,14.85,1.2639,,,
6000,,,0.5576,0.6938,0.1901,-14.436,3.0891,0.139,-0.3685,0.8671,15.3726,1.3555,,,
6000,,,,,,,,,,,,,1000,-299.5266,88.735
6500,,,0.5697,0.6886,0.1918,-16.5422,3.6252,0.1249,-0.3797,0.845,9.5758,1.4452,,,
7000,,,0.5657,0.6882,0.1872,-16.2406,2.9972,0.124,-0.3676,0.9021,11.8294,0.748,,,
