env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
6692,,,109,227.0866,92.256,,,,,,,
6794,,,102,218.8979,92.9564,,,,,,,
6891,,,97,218.6011,93.051,,,,,,,
6992,,,101,225.689,92.8747,,,,,,,
7000,,,,,,57.3228,48.0247,3075.4238,57.3228,8.3577,96.1187,1.277
7090,,,98,219.8816,92.7818,,,,,,,
7189,,,99,223.3443,93.0336,,,,,,,
7292,,,103,228.2271,92.8944,,,,,,,
7402,,,110,233.628,92.2338,,,,,,,
7500,,,,,,64.135,57.1321,3534.6514,64.135,11.9836,183.9288,1.8791
7513,,,111,235.6919,93.156,,,,,,,
7617,,,104,232.6874,92.6976,,,,,,,
7719,,,102,224.2611,92.2261,,,,,,,
7822,,,103,233.361,93.1512,,,,,,,
7931,,,109,231.7535,92.9648,,,,,,,
8000,,,,,,67.2373,58.6503,5025.2778,67.2373,12.1503,121.1636,2.0636
8041,,,110,226.7843,93.0426,,,,,,,
8140,,,99,221.2746,96.8973,,,,,,,
8244,,,104,228.1577,99.13,,,,,,,
8348,,,104,227.471,94.5694,,,,,,,
8440,,,92,198.5493,98.9543,,,,,,,
8500,,,,,,62.4846,45.1209,3600.2097,62.4846,8.7319,95.7877,1.2398
8546,,,106,223.6532,98.9499,,,,,,,
8650,,,104,223.9018,98.8583,,,,,,,
8750,,,100,217.8368,95.7362,,,,,,,
8872,,,122,252.3656,95.6178,,,,,,,
8971,,,99,205.4875,98.9505,,,,,,,
9000,,,,,,62.1774,38.8757,2940.9785,62.1774,14.6562,230.5952,3.6598
9098,,,127,279.4204,97.0915,,,,,,,
9204,,,106,229.3139,92.9381,,,,,,,
9297,,,93,206.4414,94.423,,,,,,,
9391,,,94,218.9191,96.9205,,,,,,,
9500,,,,,,60.9004,32.2143,3232.4946,60.9004,7.3269,134.5709,1.3829
9510,,,119,270.9919,92.9542,,,,,,,
9611,,,101,230.2171,92.6993,,,,,,,
9711,,,100,206.6804,93.0212,,,,,,,
9817,,,106,227.5352,92.2412,,,,,,,
9914,,,97,222.3459,92.7629,,,,,,,
10000,,,,,,60.6095,28.6212,2944.8813,60.6095,10.5433,164.0298,2.1591
10000,214.541,102.3,,,,,,,,,,
10030,,,116,245.932,75.3549,,,,,,,
10129,,,99,232.1369,92.0484,,,,,,,
10156,,,27,46.8655,92.7008,,,,,,,
10258,,,102,223.7074,92.7907,,,,,,,
10357,,,99,219.7152,92.658,,,,,,,
10451,,,94,211.1699,92.7964,,,,,,,
10500,,,,,,65.4856,32.455,3812.2595,65.4856,16.754,505.6461,2.8164
10544,,,93,185.1154,93.0189,,,,,,,
10629,,,85,168.8086,95.5198,,,,,,,
10726,,,97,200.2458,99.4392,,,,,,,
10830,,,104,210.1241,99.2487,,,,,,,
10926,,,96,203.4331,99.4235,,,,,,,
11000,,,,,,62.1988,24.3231,4645.4067,62.1988,12.3438,255.8696,2.431
11022,,,96,215.2256,99.1734,,,,,,,
11114,,,92,213.4864,94.4102,,,,,,,
11223,,,109,234.4769,92.4616,,,,,,,
11315,,,92,185.1849,92.9922,,,,,,,
11416,,,101,230.6212,92.0034,,,,,,,
