env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
20500,,,0.402,0.7664,0.1374,-74.6734,6.8269,0.0755,-0.2738,3.529,122.4762,1.8619,,,
21000,,,0.4009,0.7591,0.1372,-76.0171,9.3565,0.075,-0.2741,3.2478,119.1167,2.4625,,,
21000,,,,,,,,,,,,,1000,499.5249,79.4519
21500,,,0.4159,0.7639,0.152,-76.7359,8.8613,0.075,-0.2947,3.9459,82.2528,1.89,,,
22000,,,0.412,0.7696,0.1434,-78.2189,7.9543,0.0779,-0.2857,3.6315,110.4438,3.3361,,,
22000,,,,,,,,,,,,,1000,51.7198,79.7038
22500,,,0.408,0.7562,0.1502,-75.6446,10.91,0.0721,-0.2943,4.2728,162.8212,4.1362,,,
23000,,,0.4122,0.7706,0.1435,-84.4146,7.3672,0.0778,-0.2934,3.0961,52.7581,2.1773,,,
23000,,,,,,,,,,,,,1000,-84.8056,80.173
23500,,,0.4249,0.7651,0.1537,-84.9686,8.5329,0.0803,-0.2948,4.9903,178.8516,2.7408,,,
24000,,,0.4092,0.7746,0.1441,-87.1945,7.7459,0.0764,-0.2985,3.5791,136.5483,2.5476,,,
24000,,,,,,,,,,,,,1000,1218.1791,81.3773
24500,,,0.419,0.7735,0.1434,-89.7515,8.3767,0.0821,-0.274,5.6663,114.3857,2.6571,,,
25000,,,0.4114,0.7731,0.1493,-91.8558,6.2115,0.0743,-0.3019,3.4063,113.4431,1.8385,,,
25000,2006.1347,1000.0,,,,,,,,,,,,,
25000,,,,,,,,,,,,,1000,634.2728,75.4049
25500,,,0.4166,0.7671,0.1479,-91.1437,7.4198,0.0781,-0.2912,4.8613,89.6656,1.9103,,,
26000,,,0.4195,0.768,0.1519,-96.0604,8.2732,0.0777,-0.2996,3.5748,94.6672,2.1336,,,
26000,,,,,,,,,,,,,1000,1315.9007,79.6152
26500,,,0.4093,0.7726,0.1469,-98.5768,7.8989,0.0747,-0.3028,2.91,88.9048,2.7186,,,
