env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,rkl,prior_entropy,posterior_entropy,alm_reward_batch,alm_loss,model_grad_norm,reward_loss,min_true_reward,max_true_reward,mean_true_reward,classifier_loss,reward_grad_norm,critic_loss,critic_grad_norm,min_imag_reward,max_imag_reward,mean_imag_reward,min_imag_kl_reward,max_imag_kl_reward,mean_imag_kl_reward,actor_loss,lambda_cost,min_imag_value,max_imag_value,mean_imag_value,action_std,actor_grad_norm
1082,,,18,86.6277,50.0849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,,,41,198.5763,50.2756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,,,53,231.503,49.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,,,28,134.9107,49.7049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,,,22,107.1208,49.8628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,,,37,176.2309,50.0788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,,,32,146.1192,52.0822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333,,,38,176.927,52.2412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363,,,30,136.4498,52.6182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403,,,40,182.6583,51.9989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425,,,22,105.0357,50.2708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458,,,33,146.5782,50.1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,,,20,97.891,48.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,,,,,,50,50,14,28.32,2771.3726,-43.1176,-43.232,4.9677,8786.9229,12289.8408,0.0378,4.0929,5.9726,4.946,0.0395,2.9201,22.1513,17.6921,4.4442,5.1896,4.7872,-17.9527,3.781,-6.7781,-47.7112,0.1,14.9837,44.5554,38.0364,0.9865,11.7918
1502,,,24,115.1129,46.8917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,,,34,160.7082,50.3109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,,,65,293.839,50.1463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,,,46,210.5695,49.3587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,,,47,228.8072,49.2497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,,,43,216.1495,48.8094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,,,47,244.5881,49.1697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,,,64,322.6971,50.3373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,,,53,268.2054,51.7729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,,,48,233.699,51.7166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,44,222.5748,52.6626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,50,50,16,28.2632,2839.2495,-43.5488,-43.7335,4.9291,9041.0566,16984.4336,0.0341,4.0614,5.8462,4.955,0.032,1.1936,27.7586,111.5872,4.4418,5.4353,4.9655,-15.7248,5.1819,-5.4209,-61.8303,0.1,-3.266,59.3932,49.5955,0.982,20.5446
2045,,,52,259.7118,52.5067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2122,,,77,401.3438,52.6967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2162,,,40,172.3484,52.2727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2234,,,72,391.0443,51.2263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273,,,39,192.6416,51.9335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2296,,,23,115.1151,51.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2352,,,56,294.6658,52.7547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411,,,59,297.2604,50.5919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470,,,59,316.5106,52.8305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,,,,,,50,50,17,27.7057,2850.8218,-43.8021,-43.9892,4.9746,9018.8945,17606.8398,0.0501,3.8402,6.3949,4.9773,0.0281,2.9194,45.0695,116.5716,4.5907,5.7386,5.0219,-19.8197,6.4765,-6.3179,-73.8162,0.1,10.062,72.8178,61.0309,0.9775,23.5952
2514,,,44,223.1424,52.4246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557,,,43,225.0074,52.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2586,,,29,139.4103,52.6267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2644,,,58,280.4404,52.6381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2682,,,38,176.6799,52.7143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721,,,39,194.1326,51.9921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2770,,,49,244.3531,51.0703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821,,,51,222.408,49.1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2846,,,25,124.655,49.4171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2897,,,51,262.905,50.2219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2923,,,26,133.9884,49.6026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2961,,,38,177.7881,49.0152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,,,,,,50,50,19,27.3576,2756.894,-43.9021,-44.0427,4.9477,8709.1035,20953.5957,0.0284,4.0049,6.3202,4.9623,0.0292,4.3073,48.5245,230.9199,4.4482,5.7137,4.9345,-19.5353,5.5809,-6.5623,-83.2553,0.1,-3.1698,86.3049,69.5133,0.973,22.0204
3003,,,42,215.3716,50.4012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050,,,47,213.2392,48.9525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3081,,,31,152.1096,49.8853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3134,,,53,265.8305,51.0598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,,,33,161.229,52.4115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3191,,,24,117.904,51.8666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3234,,,43,208.5336,52.3079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3260,,,26,117.8099,51.9738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3305,,,45,213.0691,51.4715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3347,,,42,200.7325,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391,,,44,218.8089,50.3547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3432,,,41,197.8573,50.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3480,,,48,233.4665,50.0507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3500,,,,,,50,50,20,29.3463,2480.1592,-43.9793,-44.086,4.9355,8079.9766,17531.8457,0.0282,3.8763,5.7881,4.9405,0.0339,1.865,59.2914,206.9271,4.158,5.5718,4.8618,-21.11,6.0722,-6.3152,-92.0121,0.1,-7.1788,97.2443,78.112,0.9685,20.3758
3520,,,40,183.9529,49.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3573,,,53,249.0918,50.3569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3614,,,41,202.7999,50.1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3669,,,55,272.4927,49.4728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3728,,,59,271.0277,49.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3775,,,47,206.9673,50.1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3833,,,58,282.2638,50.3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3877,,,44,212.1573,50.5233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3918,,,41,204.6429,49.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3978,,,60,292.2328,50.1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,,,,,,50,50,19,30.2352,2350.2969,-44.0463,-44.1225,4.9608,7491.4814,18039.7539,0.0236,3.9106,5.8836,4.9578,0.0464,3.8993,37.4574,486.6675,4.265,5.9977,4.9156,-18.9619,8.7613,-5.9021,-98.1125,0.1,-10.85,105.0014,84.0784,0.964,21.6656
4025,,,47,213.9108,50.3369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4064,,,39,180.1503,49.8657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4122,,,58,269.373,49.9513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4179,,,57,281.9453,49.7851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4235,,,56,250.9539,50.1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4279,,,44,206.7545,50.4194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4368,,,89,409.3361,50.4629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394,,,26,121.8936,49.5955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4438,,,44,217.3789,50.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4500,,,,,,50,50,20,30.4443,2060.207,-44.0696,-44.1458,4.8853,6763.4238,21655.1719,0.0258,3.8763,5.9918,4.9167,0.0664,2.9579,56.3636,315.7199,3.9458,5.6308,4.8724,-20.4212,9.5608,-5.7506,-104.3599,0.1,-9.5885,112.0572,90.3598,0.9595,20.7232
4501,,,63,280.1788,50.2242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4569,,,68,321.3645,49.4182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4618,,,49,205.0973,50.1406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4659,,,41,195.5171,50.1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4734,,,75,385.0306,49.9446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4781,,,47,204.5384,50.6478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4831,,,50,231.2096,52.3892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4876,,,45,215.9956,52.2444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4906,,,30,153.6903,49.4201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4967,,,61,273.7367,50.6847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,,,,,,50,50,21,30.6898,1894.9236,-44.0898,-44.1519,4.8761,5999.0127,17384.4316,0.0244,3.4279,6.409,4.9212,0.1273,17.455,50.0766,370.2087,3.9982,6.1295,4.8671,-17.9766,11.3213,-4.2675,-107.8231,0.1,-5.9086,121.7639,92.0589,0.955,39.7739
5000,402.6023,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5008,,,41,205.2201,29.1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5068,,,60,283.1546,51.4841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5150,,,82,382.7099,51.4021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5246,,,96,505.022,52.7403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5286,,,40,188.6396,49.8541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5362,,,76,379.9891,50.0484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5401,,,39,186.699,50.2571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5446,,,45,236.1131,51.6879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5500,,,,,,50,50,23,27.2879,1763.5012,-44.1127,-44.1637,4.9003,5730.7197,14398.8633,0.0262,3.2802,5.7855,4.9264,0.1401,7.2378,66.3119,264.8235,3.8093,5.8811,4.9229,-15.7376,10.6291,-3.3575,-115.2606,0.1,0.2351,130.3283,98.9202,0.9505,22.0617
5511,,,65,323.2984,52.4245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5533,,,22,111.0197,52.0962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5587,,,54,268.5983,52.3082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5654,,,67,291.2819,52.6048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5720,,,66,354.5075,50.4981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5803,,,83,402.2341,50.3261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5901,,,98,483.7415,50.1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5972,,,71,383.1777,49.9756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5990,,,18,87.3019,52.2662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000,,,,,,50,50,23,26.0643,1649.3082,-44.1259,-44.1666,4.8726,5344.6572,17834.3926,0.0198,3.3004,6.3988,4.9144,0.166,17.9104,55.1338,455.4601,3.7673,6.2945,4.9979,-15.7227,11.5562,-3.8677,-120.6546,0.1,-0.3614,136.8599,103.474,0.946,42.611
6038,,,48,238.046,51.0637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6065,,,27,136.1821,49.8767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6135,,,70,338.2126,49.7403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6193,,,58,265.4323,52.5872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6237,,,44,232.1754,51.9914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6267,,,30,152.4545,52.4126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6323,,,56,280.8299,52.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6390,,,67,323.9578,52.4469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6445,,,55,297.7749,52.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500,,,,,,50,50,23,26.3958,1462.9561,-44.1379,-44.1691,4.889,4833.2124,20634.2031,0.0207,3.5752,6.1396,4.9268,0.1561,9.4626,50.9692,794.4856,3.5618,6.1035,4.9523,-16.5905,9.4158,-3.9982,-125.1113,0.1,-3.6213,143.6293,109.3868,0.9415,39.8583
6503,,,58,276.4759,52.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6587,,,84,429.5445,52.3001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6640,,,53,283.5295,51.9779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6671,,,31,162.5493,51.9748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6689,,,18,87.561,51.3948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6727,,,38,195.9667,49.8116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6758,,,31,160.0956,48.3909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6785,,,27,138.5942,50.1427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6817,,,32,165.6345,48.9096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6868,,,51,259.5513,50.7305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6912,,,44,231.0687,50.3289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6961,,,49,236.1802,50.4228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,,,,,,50,50,25,24.2016,1520.6709,-44.1466,-44.1718,4.9605,4895.9233,14896.7812,0.0191,3.2942,5.9248,4.9369,0.1838,14.752,74.3942,452.8165,3.6938,6.6152,5.0156,-13.2737,9.7097,-3.079,-134.5263,0.1,-4.6286,155.5887,119.0686,0.937,36.8977
7013,,,52,250.8609,50.2934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7057,,,44,222.2574,49.3549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7106,,,49,237.8757,49.8443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7213,,,107,516.0247,50.3606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7240,,,27,137.681,49.9868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7273,,,33,161.0549,50.3573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7324,,,51,260.7906,49.7274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7388,,,64,302.4477,50.5209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7451,,,63,311.6168,49.6633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500,,,,,,50,50,26,25.6981,1477.137,-44.157,-44.1758,4.8945,4773.7266,13885.708,0.0145,3.326,6.5112,4.9413,0.2128,12.7439,62.4818,1022.1867,3.3546,6.4545,4.9607,-14.1658,9.4009,-3.0567,-138.0489,0.1,-3.8856,161.5596,121.6378,0.9325,39.9337
7504,,,53,260.5627,50.2963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7575,,,71,326.7784,49.8943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7623,,,48,242.1936,50.0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7669,,,46,225.3981,50.2818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7726,,,57,266.0193,49.9316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7787,,,61,283.8844,50.4296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7846,,,59,302.9633,49.6595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7928,,,82,372.3995,50.1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7982,,,54,281.3518,50.1384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000,,,,,,50,50,27,23.1114,1455.0601,-44.1644,-44.1758,4.9258,4669.3066,16681.418,0.014,3.6452,6.5112,4.9106,0.2144,14.572,85.5208,578.1877,3.7089,6.3988,4.9234,-12.1014,8.2708,-2.1947,-140.5997,0.1,-10.941,167.6848,123.9453,0.928,32.6268
8037,,,55,285.9178,49.6502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8093,,,56,263.317,49.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8184,,,91,414.2526,49.9404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8220,,,36,178.5936,49.9231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8253,,,33,166.4833,49.6736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8346,,,93,453.6308,50.1711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8405,,,59,290.1559,49.6774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8452,,,47,247.3144,49.6899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8495,,,43,212.61,50.0108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8500,,,,,,50,50,27,25.7293,1446.7971,-44.1681,-44.1777,4.9251,4692.8882,26189.3379,0.0139,3.255,6.2826,4.8999,0.2357,5.8833,54.5219,571.5469,3.3318,6.3418,4.9035,-14.0964,8.437,-2.8156,-144.492,0.1,-10.5777,173.2233,127.4568,0.9235,29.6291
8570,,,75,379.8254,50.4154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8637,,,67,343.5033,50.1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8709,,,72,330.8999,50.1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8775,,,66,294.7548,51.6018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8841,,,66,282.2229,50.0476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8897,,,56,268.2013,50.3248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8967,,,70,352.6699,52.4452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9000,,,,,,50,50,27,25.2288,1353.5752,-44.173,-44.1785,4.9548,4441.3774,17121.0117,0.0141,3.2839,5.9478,4.9219,0.2344,9.5243,58.786,874.939,3.2157,5.8975,4.8409,-11.4714,9.9704,-2.3945,-149.1519,0.1,-6.7038,179.0627,130.8597,0.919,39.0383
9045,,,78,409.1391,52.4898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9119,,,74,351.7678,52.2403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9153,,,34,164.5472,50.7873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9223,,,70,343.8426,50.3631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9299,,,76,383.5369,50.0363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9366,,,67,333.2814,49.8899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9402,,,36,175.3819,50.1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
